,PV1MATH,PV2MATH,PV3MATH,PV4MATH,PV5MATH,PV6MATH,PV7MATH,PV8MATH,PV9MATH,PV10MATH,ST268Q01JA,ST268Q04JA,ST268Q07JA,SC064Q01TA,SC064Q02TA,SC064Q03TA,SC064Q04NA,SC064Q05WA,SC064Q06WA,MISCED,ESCS,ESCS_z,ST001D01T,SCHSIZE,SCHSIZE_z
PV1MATH,1.0,0.921786106884098,0.9187423922779371,0.9201649136946614,0.9190113312854048,0.921041413966004,0.9170286093314571,0.9189850680598931,0.9187356424728059,0.9194466891468116,0.25884213683678675,0.32940775223467106,0.19030633606846784,0.11736258978945258,-0.20385154386480292,-0.07107803372581084,0.0005656424941185944,0.0338445584967149,-0.15580511499704783,0.23270086876812274,0.44932368631286046,0.4493236863128602,0.16750010125723575,0.25528491471713116,0.2552849147171309
PV2MATH,0.921786106884098,1.0,0.9224799188492669,0.9243062579993464,0.9225392088709727,0.9235919579812271,0.9239170213840875,0.9211709324605084,0.9195324223242562,0.92423566821261,0.2561366643519055,0.3168878917340156,0.18813320556368895,0.12359429722468424,-0.2073805383590289,-0.06474591963456898,0.011213799463797731,0.040377819772067884,-0.1574180917065512,0.24321556806790035,0.45711349054239225,0.45711349054239214,0.16380837260685618,0.23927058015064573,0.23927058015064567
PV3MATH,0.9187423922779371,0.9224799188492669,1.0,0.9184838466805134,0.9210863564836732,0.9225228175928113,0.9204549516293915,0.9209506232280531,0.9190362815066393,0.9217944650319441,0.2641841464068575,0.3282137667506779,0.1934496385538605,0.11894734574991891,-0.20509049754683722,-0.06143749610459834,0.014036883036761311,0.034115659525489395,-0.15906206462868216,0.21965455550988705,0.44280460576705205,0.44280460576705033,0.17028505109117772,0.23777968912387884,0.23777968912387798
PV4MATH,0.9201649136946614,0.9243062579993464,0.9184838466805134,1.0,0.920119768084185,0.9261990973511249,0.9198025091580416,0.9227740926360881,0.9231860278704703,0.9245831190274726,0.256769335729534,0.32527728513299,0.18903074371673367,0.12480657494206586,-0.20671092472195948,-0.07097809144084047,0.009439948780711542,0.04503358321372247,-0.14881151609986368,0.2265195621470996,0.4515246338103032,0.45152463381030344,0.17845995180813962,0.24336439162524315,0.24336439162524293
PV5MATH,0.9190113312854048,0.9225392088709727,0.9210863564836732,0.920119768084185,1.0,0.9225399293060073,0.921845851659834,0.9229886523049717,0.9235189992292021,0.9251325541703058,0.2739799686513698,0.33445902754577916,0.1855587563527565,0.12205666161900834,-0.19956675675101515,-0.07153517389230583,0.0035449275641406958,0.04071766911254328,-0.15830034354855765,0.23254841170815457,0.4473110858112944,0.4473110858112933,0.17188196962474636,0.23984141352662336,0.2398414135266227
PV6MATH,0.921041413966004,0.9235919579812271,0.9225228175928113,0.9261990973511249,0.9225399293060073,1.0,0.92093064892861,0.9257269008134285,0.9231033501783895,0.9238535117226163,0.25661528828608715,0.3258440834975083,0.18360902984297636,0.11924013218337454,-0.20141417060597258,-0.06553264978954321,0.016181305309609154,0.033579363066862676,-0.1534769215332897,0.2302487791697997,0.455685656550103,0.4556856565501034,0.16705059274164125,0.24748155112367362,0.24748155112367318
PV7MATH,0.9170286093314571,0.9239170213840875,0.9204549516293915,0.9198025091580416,0.921845851659834,0.92093064892861,1.0,0.9216151409011818,0.9221432535043304,0.9177143654270614,0.26298415441210454,0.3313568650467144,0.19030596674931924,0.12060565156705068,-0.19573727858134957,-0.06500146190655988,0.011134446086170225,0.03583504560101904,-0.1553810397326081,0.2363212476836362,0.45191641592897064,0.45191641592897036,0.1745029615948944,0.24096601129640113,0.2409660112964015
PV8MATH,0.9189850680598931,0.9211709324605084,0.9209506232280531,0.9227740926360881,0.9229886523049717,0.9257269008134285,0.9216151409011818,1.0,0.923809693413467,0.9264755785977721,0.2533868970365235,0.31690191423443,0.19525522171923232,0.12957493352466534,-0.1949343627021653,-0.06633756674584093,0.018132589665497995,0.04870890668388758,-0.14286556311176213,0.23462961959521877,0.45247451664196114,0.4524745166419613,0.1795096521617139,0.24770616564493134,0.24770616564493156
PV9MATH,0.9187356424728059,0.9195324223242562,0.9190362815066393,0.9231860278704703,0.9235189992292021,0.9231033501783895,0.9221432535043304,0.923809693413467,1.0,0.9230582543056886,0.25487270350207947,0.3224479654112659,0.1818946546516416,0.12633736554779756,-0.20086815569344946,-0.06396580333936104,0.013379032348324186,0.042098783248218336,-0.15449563245416878,0.22735351570836257,0.4437592757271439,0.4437592757271432,0.17114761743646145,0.24253385290624963,0.24253385290624982
PV10MATH,0.9194466891468116,0.92423566821261,0.9217944650319441,0.9245831190274726,0.9251325541703058,0.9238535117226163,0.9177143654270614,0.9264755785977721,0.9230582543056886,1.0,0.2586490250476432,0.3280926011298221,0.1939469940425331,0.11785916469555024,-0.20169753501335752,-0.06366992953166759,0.005226906395852742,0.035515649696448735,-0.15704330426946733,0.22924285699806626,0.45279685858276963,0.452796858582769,0.16841543966611414,0.23793255115710332,0.2379325511571036
ST268Q01JA,0.25884213683678675,0.2561366643519055,0.2641841464068575,0.256769335729534,0.2739799686513698,0.25661528828608715,0.26298415441210454,0.2533868970365235,0.25487270350207947,0.2586490250476432,1.0,0.7013352523416041,0.33006648071146794,0.00036602199100861145,-0.03496643288702236,-0.028960965384160535,-0.01891351666654266,-0.009138982784715222,-0.018344355424817303,0.029738114312410576,0.05524607124315996,0.055246071243159674,0.030281836466724846,-0.01206170499380488,-0.01206170499380493
ST268Q04JA,0.32940775223467106,0.3168878917340156,0.3282137667506779,0.32527728513299,0.33445902754577916,0.3258440834975083,0.3313568650467144,0.31690191423443,0.3224479654112659,0.3280926011298221,0.7013352523416041,1.0,0.24678893844533206,0.012338959517734628,-0.06460193726026028,-0.028024249633717583,-0.02119001029392625,-0.016597159561324654,-0.029195324780381886,0.09187164981338954,0.1603704451665678,0.16037044516656773,0.018219237762226868,0.04032366292111564,0.0403236629211155
ST268Q07JA,0.19030633606846784,0.18813320556368895,0.1934496385538605,0.18903074371673367,0.1855587563527565,0.18360902984297636,0.19030596674931924,0.19525522171923232,0.1818946546516416,0.1939469940425331,0.33006648071146794,0.24678893844533206,1.0,0.031859272381018246,-0.042286999093496425,0.012681753908934886,0.03211222273321901,0.027458226732548874,-0.02109530632575916,0.03982100541610669,0.07035151027050313,0.07035151027050289,0.07278249932002917,0.018864609819405884,0.018864609819405805
SC064Q01TA,0.11736258978945258,0.12359429722468424,0.11894734574991891,0.12480657494206586,0.12205666161900834,0.11924013218337454,0.12060565156705068,0.12957493352466534,0.12633736554779756,0.11785916469555024,0.00036602199100861145,0.012338959517734628,0.031859272381018246,1.0,0.007277300586575222,0.3834010011106777,0.5088324581989753,0.9047174568774046,0.2427425542562843,0.05003285065475002,0.05196253740850966,0.051962537408509625,-0.02295972149570357,0.3140634576291555,0.31406345762915516
SC064Q02TA,-0.20385154386480292,-0.2073805383590289,-0.20509049754683722,-0.20671092472195948,-0.19956675675101515,-0.20141417060597258,-0.19573727858134957,-0.1949343627021653,-0.20086815569344946,-0.20169753501335752,-0.03496643288702236,-0.06460193726026028,-0.042286999093496425,0.007277300586575222,1.0,0.23447392929783603,-0.03282490334589192,0.04340714526074487,0.5689002703800206,-0.0664486790907668,-0.13462176783375296,-0.1346217678337533,-0.024092408344813684,0.019158058539288533,0.019158058539288442
SC064Q03TA,-0.07107803372581084,-0.06474591963456898,-0.06143749610459834,-0.07097809144084047,-0.07153517389230583,-0.06553264978954321,-0.06500146190655988,-0.06633756674584093,-0.06396580333936104,-0.06366992953166759,-0.028960965384160535,-0.028024249633717583,0.012681753908934886,0.3834010011106777,0.23447392929783603,1.0,0.44541261740512017,0.38024726602402714,0.2597567413115944,-0.06066986703900226,-0.08964769937080243,-0.08964769937080228,0.0138373564628741,-0.05612676164747634,-0.056126761647476174
SC064Q04NA,0.0005656424941185944,0.011213799463797731,0.014036883036761311,0.009439948780711542,0.0035449275641406958,0.016181305309609154,0.011134446086170225,0.018132589665497995,0.013379032348324186,0.005226906395852742,-0.01891351666654266,-0.02119001029392625,0.03211222273321901,0.5088324581989753,-0.03282490334589192,0.44541261740512017,1.0,0.48633081258871225,0.0651671198360385,-0.0037934695340228774,-0.010933219311391965,-0.010933219311391915,-0.10221699968774421,0.0418202837813073,0.04182028378130731
SC064Q05WA,0.0338445584967149,0.040377819772067884,0.034115659525489395,0.04503358321372247,0.04071766911254328,0.033579363066862676,0.03583504560101904,0.04870890668388758,0.042098783248218336,0.035515649696448735,-0.009138982784715222,-0.016597159561324654,0.027458226732548874,0.9047174568774046,0.04340714526074487,0.38024726602402714,0.48633081258871225,1.0,0.2798249597339772,0.004521001181361021,-0.023989162379309252,-0.023989162379309238,-0.026258258981341567,0.25833468335681925,0.25833468335681886
SC064Q06WA,-0.15580511499704783,-0.1574180917065512,-0.15906206462868216,-0.14881151609986368,-0.15830034354855765,-0.1534769215332897,-0.1553810397326081,-0.14286556311176213,-0.15449563245416878,-0.15704330426946733,-0.018344355424817303,-0.029195324780381886,-0.02109530632575916,0.2427425542562843,0.5689002703800206,0.2597567413115944,0.0651671198360385,0.2798249597339772,1.0,-0.07999564992609079,-0.1479942788515036,-0.1479942788515029,-0.020157708627588852,-0.07741357099590876,-0.07741357099590859
MISCED,0.23270086876812274,0.24321556806790035,0.21965455550988705,0.2265195621470996,0.23254841170815457,0.2302487791697997,0.2363212476836362,0.23462961959521877,0.22735351570836257,0.22924285699806626,0.029738114312410576,0.09187164981338954,0.03982100541610669,0.05003285065475002,-0.0664486790907668,-0.06066986703900226,-0.0037934695340228774,0.004521001181361021,-0.07999564992609079,1.0,0.6813293293657589,0.6813293293657574,0.053100913279889264,0.19793462245660706,0.19793462245660787
