CNT,CNTSCHID,SC064Q05WA,SC064Q06WA,SC064Q01TA,SC064Q02TA,SC064Q04NA,SC064Q03TA,SCHSIZE
SGP,70200001.0,30.0,60.0,30.0,60.0,1.0,1.0,1626.0
SGP,70200002.0,80.0,60.0,30.0,45.0,,,918.0
SGP,70200003.0,14.0,19.0,22.0,22.0,12.0,1.0,1061.0
SGP,70200004.0,20.0,20.0,20.0,40.0,10.0,,1112.0
SGP,70200005.0,70.0,100.0,70.0,98.0,20.0,10.0,1119.0
SGP,70200006.0,10.0,88.0,10.0,88.0,,1.0,971.0
SGP,70200007.0,5.0,80.0,5.0,80.0,,3.0,1116.0
SGP,70200008.0,10.0,100.0,10.0,100.0,1.0,10.0,1069.0
SGP,70200009.0,4.0,12.0,8.0,24.0,,,1070.0
SGP,70200010.0,38.0,86.0,31.0,84.0,8.0,8.0,1120.0
SGP,70200011.0,,50.0,,50.0,,1.0,1299.0
SGP,70200012.0,25.0,50.0,15.0,100.0,5.0,5.0,1256.0
SGP,70200013.0,3.0,40.0,3.0,40.0,,,1293.0
SGP,70200014.0,20.0,100.0,30.0,100.0,15.0,30.0,382.0
SGP,70200015.0,20.0,100.0,15.0,100.0,,15.0,964.0
SGP,70200016.0,10.0,20.0,20.0,80.0,5.0,10.0,2990.0
SGP,70200017.0,10.0,70.0,10.0,70.0,,2.0,1110.0
SGP,70200018.0,5.0,10.0,40.0,40.0,,1.0,1447.0
SGP,70200019.0,10.0,100.0,10.0,100.0,,,1080.0
SGP,70200020.0,10.0,10.0,15.0,20.0,5.0,,1345.0
SGP,70200021.0,38.0,60.0,38.0,60.0,,,901.0
SGP,70200022.0,6.0,100.0,8.0,100.0,,20.0,1062.0
SGP,70200023.0,25.0,75.0,25.0,75.0,5.0,5.0,1064.0
SGP,70200024.0,4.0,20.0,20.0,98.0,,,901.0
SGP,70200025.0,25.0,35.0,15.0,100.0,7.0,,812.0
SGP,70200026.0,40.0,99.0,40.0,100.0,,,1248.0
SGP,70200027.0,100.0,100.0,100.0,100.0,,5.0,1120.0
