CNT,CNTSCHID,ST001D01T,ST004D01T,ST268Q01JA,ST268Q04JA,ST268Q07JA,MISCED,ESCS,PV1MATH,PV2MATH,PV3MATH,PV4MATH,PV5MATH,PV6MATH,PV7MATH,PV8MATH,PV9MATH,PV10MATH
SGP,70200052.0,10.0,1.0,2.0,2.0,3.0,8.0,0.1836,639.004,601.251,621.48,631.596,579.276,591.791,600.709,587.322,618.131,581.973
SGP,70200134.0,10.0,2.0,4.0,3.0,4.0,7.0,0.8261,697.191,754.277,671.94,657.3,621.126,655.729,747.934,694.365,742.732,656.934
SGP,70200112.0,10.0,2.0,3.0,3.0,4.0,4.0,-1.0357,693.71,654.45,696.938,646.187,678.119,644.019,720.531,671.425,694.085,668.304
SGP,70200004.0,10.0,2.0,2.0,2.0,4.0,6.0,-0.9606,427.317,410.376,423.586,388.935,330.962,379.988,398.535,422.127,375.354,453.348
SGP,70200152.0,10.0,1.0,3.0,1.0,4.0,7.0,0.0856,436.462,453.45,392.315,439.986,443.125,452.648,396.97,459.945,438.166,448.084
SGP,70200043.0,10.0,1.0,3.0,3.0,4.0,7.0,0.1268,569.982,539.609,531.648,534.368,465.815,528.509,514.326,521.029,472.382,503.387
SGP,70200049.0,10.0,2.0,4.0,4.0,4.0,6.0,-0.0154,771.624,672.817,653.746,734.817,727.529,729.831,597.222,772.277,694.391,725.298
SGP,70200107.0,10.0,2.0,4.0,4.0,4.0,9.0,1.1558,567.724,630.957,601.015,628.501,666.768,661.167,596.705,611.592,620.112,619.595
SGP,70200012.0,10.0,1.0,2.0,2.0,4.0,8.0,1.4654,739.958,767.976,682.627,762.716,748.452,747.987,760.981,689.552,741.1,716.571
SGP,70200061.0,10.0,2.0,3.0,3.0,4.0,8.0,0.5199,586.418,537.468,540.876,548.423,544.072,559.544,558.538,549.859,571.201,558.237
SGP,70200110.0,10.0,2.0,3.0,4.0,4.0,4.0,-0.213,750.113,759.85,673.67,749.083,730.545,733.482,748.391,773.682,716.175,698.515
SGP,70200108.0,10.0,1.0,4.0,4.0,4.0,9.0,0.8799,612.709,612.005,653.238,675.142,612.13,644.663,692.245,693.327,675.362,665.686
SGP,70200067.0,10.0,1.0,3.0,3.0,3.0,10.0,0.142,604.303,577.778,612.659,610.442,652.422,628.12,623.553,590.595,621.224,596.379
SGP,70200113.0,10.0,2.0,4.0,4.0,4.0,6.0,-0.6557,693.669,636.681,687.209,712.321,691.826,659.255,627.379,673.573,697.613,715.794
SGP,70200093.0,10.0,1.0,1.0,1.0,4.0,4.0,0.1999,384.206,457.125,419.802,411.972,423.742,470.535,439.89,412.073,429.436,440.845
SGP,70200035.0,10.0,2.0,3.0,3.0,4.0,9.0,1.1018,713.566,715.993,667.614,705.853,672.433,732.838,703.854,700.641,720.243,690.384
SGP,70200027.0,10.0,1.0,2.0,2.0,4.0,8.0,0.2913,487.733,506.613,535.057,498.311,503.955,485.695,505.149,488.714,505.296,543.29
SGP,70200107.0,10.0,2.0,3.0,2.0,4.0,8.0,1.0186,609.152,578.138,552.711,563.198,532.769,539.537,583.247,563.402,561.75,555.728
SGP,70200102.0,10.0,1.0,2.0,2.0,4.0,6.0,-0.3365,591.897,591.134,610.699,610.183,518.392,588.66,582.999,564.622,629.37,597.729
SGP,70200163.0,10.0,1.0,3.0,1.0,4.0,6.0,0.3704,531.282,493.488,481.346,539.649,519.69,514.507,537.648,506.412,518.159,496.467
SGP,70200097.0,10.0,1.0,3.0,2.0,4.0,2.0,-0.2731,567.842,500.911,591.684,521.979,614.281,564.652,593.107,561.549,552.285,568.411
SGP,70200149.0,10.0,1.0,2.0,2.0,4.0,4.0,-1.0062,331.527,358.418,364.612,329.369,381.138,358.246,393.594,359.733,379.66,399.97
SGP,70200139.0,9.0,2.0,4.0,3.0,4.0,8.0,1.0384,820.201,872.894,769.833,777.461,790.946,841.915,794.664,737.72,789.951,790.24
SGP,70200093.0,10.0,1.0,4.0,4.0,4.0,4.0,0.3125,654.608,645.575,649.081,685.246,593.125,621.167,588.548,615.731,617.221,646.811
SGP,70200081.0,10.0,2.0,4.0,4.0,4.0,6.0,-0.1467,664.16,636.03,643.769,681.303,628.972,661.998,716.287,636.686,665.393,682.633
SGP,70200040.0,10.0,1.0,3.0,2.0,4.0,8.0,1.298,654.974,696.211,706.49,697.22,711.443,688.531,728.914,718.661,685.445,679.102
SGP,70200140.0,10.0,2.0,2.0,2.0,4.0,7.0,0.7318,648.927,597.379,590.387,572.401,605.961,543.564,611.385,654.427,571.542,602.074
SGP,70200113.0,10.0,2.0,4.0,4.0,4.0,8.0,0.9996,660.683,665.42,618.386,664.462,711.384,686.158,637.671,668.685,680.219,695.223
SGP,70200008.0,10.0,1.0,3.0,3.0,3.0,10.0,0.9074,520.411,524.721,470.606,522.836,543.294,507.154,528.018,497.642,483.075,530.607
SGP,70200066.0,10.0,1.0,2.0,2.0,4.0,8.0,1.0219,689.445,635.0,641.947,705.241,675.475,661.457,707.613,683.57,622.444,677.366
SGP,70200118.0,10.0,2.0,1.0,1.0,4.0,9.0,0.9075,528.862,519.292,513.846,481.354,462.352,411.393,474.442,430.634,439.545,469.892
SGP,70200078.0,10.0,1.0,1.0,1.0,4.0,3.0,-0.4998,496.089,534.49,511.724,530.14,477.294,512.947,480.346,515.935,527.756,506.314
SGP,70200110.0,10.0,2.0,4.0,4.0,4.0,6.0,0.2196,648.948,646.333,654.042,698.987,667.438,711.047,636.586,684.962,644.472,642.534
SGP,70200139.0,10.0,2.0,4.0,4.0,4.0,9.0,1.7134,749.987,717.492,700.259,772.103,690.397,705.616,745.213,753.622,734.05,711.474
SGP,70200135.0,10.0,1.0,4.0,3.0,4.0,6.0,0.2957,513.608,500.944,510.509,514.931,524.217,471.936,556.856,480.074,488.511,508.602
SGP,70200161.0,10.0,2.0,2.0,2.0,4.0,3.0,-1.4895,464.68,498.367,534.113,461.099,481.905,555.286,505.311,497.707,495.885,428.102
SGP,70200046.0,9.0,1.0,3.0,3.0,3.0,9.0,1.2751,551.318,463.313,502.941,511.541,528.799,480.691,499.315,505.621,455.977,484.343
SGP,70200040.0,10.0,1.0,4.0,4.0,4.0,4.0,0.1742,712.738,719.574,823.095,765.883,738.912,748.139,686.728,718.082,724.921,691.831
SGP,70200116.0,10.0,2.0,2.0,2.0,4.0,4.0,0.2159,504.892,344.998,418.537,422.295,414.707,361.521,456.032,387.345,333.477,384.047
SGP,70200144.0,9.0,2.0,2.0,2.0,3.0,10.0,1.9041,623.567,580.626,646.139,610.857,582.013,597.701,562.109,600.467,611.948,657.879
SGP,70200136.0,10.0,2.0,4.0,3.0,4.0,8.0,1.1518,676.089,662.166,718.035,658.507,696.104,598.549,674.472,704.884,762.047,716.398
SGP,70200074.0,10.0,2.0,3.0,3.0,4.0,4.0,-1.1379,328.596,415.118,405.489,428.435,364.057,354.825,389.088,373.085,393.386,376.368
SGP,70200127.0,10.0,2.0,3.0,3.0,3.0,10.0,1.1522,587.07,557.721,626.852,588.324,632.984,600.579,634.964,578.813,594.749,594.203
SGP,70200092.0,10.0,1.0,4.0,4.0,4.0,10.0,0.9946,650.214,684.942,619.958,574.81,680.099,669.498,621.27,675.505,692.806,612.042
SGP,70200158.0,10.0,1.0,2.0,2.0,4.0,6.0,-0.265,418.519,376.595,476.195,473.177,450.255,470.778,436.77,499.29,406.749,523.889
SGP,70200140.0,10.0,1.0,4.0,3.0,4.0,7.0,0.4744,571.772,604.343,561.952,566.801,525.484,538.289,548.533,573.33,578.467,566.914
SGP,70200156.0,10.0,1.0,4.0,3.0,4.0,9.0,0.9545,612.535,643.135,597.105,614.622,587.971,626.656,631.881,593.299,627.61,612.874
SGP,70200100.0,10.0,2.0,4.0,3.0,4.0,4.0,-0.543,596.299,593.712,548.175,583.309,519.444,555.898,581.815,661.356,564.512,563.5
SGP,70200008.0,10.0,1.0,1.0,2.0,3.0,8.0,0.5856,585.765,510.762,560.398,533.165,572.654,519.975,509.508,555.853,547.142,525.153
