,mean,std,min,25%,50%,75%,max,skewness,kurtosis
PV1MATH,582.679527559055,105.76386453923173,237.547,511.263,593.2075,658.397,943.041,-0.2679658875906443,-0.2264929941306697
PV2MATH,582.0636649964209,106.09127442540235,248.23,511.66200000000003,592.3824999999999,660.04575,886.284,-0.3283381156918208,-0.23859302588330467
PV3MATH,582.7066571224051,106.95696143637042,255.623,510.28225,590.264,659.79925,882.696,-0.2556829385988396,-0.2948231298464652
PV4MATH,581.3836435218325,107.51566796349864,201.465,509.98024999999996,591.1495,657.61675,911.464,-0.3343141830327173,-0.21284363414831242
PV5MATH,582.1256195418755,107.15435181305034,206.358,510.83375,592.4395,658.96,887.989,-0.29266584142052193,-0.2789260303665517
PV6MATH,582.5716607015032,106.34479674451599,214.895,513.3765,591.3365,661.07725,902.737,-0.33236314529730426,-0.19924538164785854
PV7MATH,583.3592419470293,106.24074203797696,234.99,511.82325000000003,591.947,660.5435,879.991,-0.3167966903813834,-0.2463033252920872
PV8MATH,583.0231481746599,107.41390447412373,270.882,513.34875,592.4929999999999,664.53275,877.676,-0.3292751333701815,-0.2966947594669427
PV9MATH,583.1400977093772,107.05314471158506,229.846,511.8005,591.4984999999999,663.204,869.498,-0.30267715944674256,-0.2571426839853297
PV10MATH,583.3518120973515,105.79809372030344,238.496,515.24525,593.4245,658.9975000000001,876.089,-0.34351173045724376,-0.22315176996700048
ST268Q01JA,2.8396564065855405,0.9392896109299702,1.0,2.0,3.0,4.0,4.0,-0.39999076965066527,-0.7405219998998716
ST268Q04JA,2.6639226914817464,0.9073482504439686,1.0,2.0,3.0,3.0,4.0,-0.21132576564814545,-0.7370756426127167
ST268Q07JA,3.689692197566213,0.5670140050750717,1.0,3.0,4.0,4.0,4.0,-2.102191699714681,5.420486284736002
SC064Q01TA,30.097709377236935,25.79972109900137,1.0,10.0,22.0,40.0,100.0,1.1987043174466698,0.6471834160450687
SC064Q02TA,78.84860415175376,28.330569732469932,10.0,70.0,90.0,100.0,100.0,-1.2226135411384567,0.13558790383789043
SC064Q03TA,7.278811739441661,8.451114783662343,1.0,2.0,5.0,10.0,42.0,1.9320122843314154,3.372618385372946
SC064Q04NA,8.11023622047244,8.053749957600749,1.0,2.0,5.0,10.0,40.0,1.813990110749603,3.6861288670385637
SC064Q05WA,27.812813171080887,26.64631631268412,1.0,10.0,20.0,33.0,100.0,1.3959671293682974,1.1295808675789516
SC064Q06WA,61.17931281317108,34.79811944888511,3.0,25.0,67.0,100.0,100.0,-0.24727804651712088,-1.4612687118780057
MISCED,6.907487401007919,2.117303938411343,1.0,6.0,7.0,8.0,10.0,-0.7641538242072548,-0.1361619574499282
ESCS,0.3445119670369043,0.8374513816563327,-3.5488,-0.1467,0.5597,0.94895,2.766,-0.8643941171205242,0.49461309136874165
ESCS_z,4.0733370735082774e-17,1.0,-4.649000589546598,-0.5865558022787816,0.25695585161910095,0.7217589536572533,2.8914968510456274,-0.8643941171205242,0.49461309136874165
ST001D01T,9.910880458124552,0.3533934688335131,7.0,10.0,10.0,10.0,11.0,-4.268313814739818,21.81438630231142
SCHSIZE,1221.959198282033,669.0012256630281,100.0,1042.0,1112.0,1274.0,4020.0,2.298486679194013,6.505072075615363
SCHSIZE_z,-2.1616368124412497e-17,0.9999999999999999,-1.6770659832051744,-0.26899681402478826,-0.1643632239583052,0.07778879876698415,4.182415060517877,2.2984866791940135,6.505072075615363
