Variable,Technique,Type,Category_Adherence,Category_Proportions
IMMIG,REAL,categorical,,"1.0: 71.1%, 2.0: 10.2%, 3.0: 18.7%"
IMMIG,CTGAN,categorical,1.000,"1: 64.1%, 2: 13.3%, 3: 22.7%"
IMMIG,GReaT_DistilGPT2,categorical,1.000,"1: 74.8%, 2: 7.0%, 3: 18.2%"
IMMIG,GReaT_GPT2,categorical,1.000,"1: 75.5%, 2: 7.3%, 3: 17.1%"
IMMIG,PredLLM_DistilGPT2,categorical,1.000,"1: 81.0%, 2: 5.1%, 3: 13.9%"
IMMIG,PredLLM_GPT2,categorical,1.000,"1: 79.2%, 2: 6.3%, 3: 14.5%"
IMMIG,REaLTabFormer,categorical,1.000,"1: 53.2%, 2: 16.2%, 3: 30.6%"
IMMIG,TabDiff,categorical,1.000,"1: 70.7%, 2: 9.9%, 3: 19.4%"
IMMIG,TabSyn,categorical,1.000,"1: 81.9%, 2: 6.7%, 3: 11.4%"
IMMIG,Tabula_DistilGPT2,categorical,1.000,"1: 70.5%, 2: 6.6%, 3: 22.9%"
IMMIG,Tabula_GPT2,categorical,1.000,"1: 69.7%, 2: 7.4%, 3: 22.9%"
IMMIG,TapTap_DistilGPT2,categorical,1.000,"1: 79.2%, 2: 6.8%, 3: 14.0%"
IMMIG,TapTap_GPT2,categorical,1.000,"1: 79.7%, 2: 5.3%, 3: 15.0%"
MISCED,REAL,ordinal,,"1.0: 1.2%, 2.0: 1.6%, 3.0: 3.2%, 4.0: 13.0%, 6.0: 12.9%, 7.0: 14.6%, 8.0: 24.6%, 9.0: 21.1%, 10.0: 7.8%"
MISCED,CTGAN,ordinal,1.000,"1: 1.9%, 2: 2.3%, 3: 4.3%, 4: 12.9%, 6: 11.3%, 7: 12.4%, 8: 20.9%, 9: 24.9%, 10: 9.1%"
MISCED,GReaT_DistilGPT2,ordinal,1.000,"1: 0.2%, 2: 0.7%, 3: 1.5%, 4: 10.2%, 6: 11.0%, 7: 13.9%, 8: 31.8%, 9: 25.3%, 10: 5.3%"
MISCED,GReaT_GPT2,ordinal,1.000,"1: 0.1%, 2: 0.4%, 3: 1.1%, 4: 8.5%, 6: 12.4%, 7: 14.6%, 8: 30.5%, 9: 27.0%, 10: 5.4%"
MISCED,PredLLM_DistilGPT2,ordinal,1.000,"1: 0.5%, 2: 0.7%, 3: 2.1%, 4: 12.3%, 6: 13.0%, 7: 18.6%, 8: 28.3%, 9: 20.4%, 10: 4.1%"
MISCED,PredLLM_GPT2,ordinal,1.000,"1: 0.6%, 2: 0.9%, 3: 2.3%, 4: 12.8%, 6: 13.2%, 7: 18.4%, 8: 27.2%, 9: 20.4%, 10: 4.4%"
MISCED,REaLTabFormer,ordinal,1.000,"1: 1.3%, 2: 0.9%, 3: 4.1%, 4: 9.8%, 6: 12.9%, 7: 7.6%, 8: 26.5%, 9: 29.2%, 10: 7.8%"
MISCED,TabDiff,ordinal,1.000,"1: 1.2%, 2: 1.4%, 3: 2.8%, 4: 14.3%, 6: 12.1%, 7: 13.9%, 8: 24.0%, 9: 22.6%, 10: 7.7%"
