Technique,Distribution_Rank,Path_Rank,LatentCorr_Rank,Covariate_Rank,Loading_Rank,Reliability_Rank,HTMT_Rank,Fit_Rank,Privacy_Rank,Overall_Rank
TabSyn,1,1,2,2,3,4,1,9,5,1
TabDiff,2,3,1,1,10,12,1,6,1,2
TapTap_GPT2,9,4,3,4,2,2,1,1,7,3
TapTap_DistilGPT2,10,6,4,5,4,1,1,1,8,4
GReaT_DistilGPT2,3,2,9,6,1,3,1,9,11,5
CTGAN,5,11,6,3,7,10,1,5,2,6
GReaT_GPT2,4,5,7,8,8,5,1,6,9,7
Tabula_GPT2,7,7,5,7,9,7,1,9,12,8
Tabula_DistilGPT2,6,8,10,9,5,9,1,6,10,9
PredLLM_DistilGPT2,11,12,8,10,11,8,1,1,3,10
PredLLM_GPT2,8,9,11,11,12,6,1,1,6,11
REaLTabFormer,12,10,12,12,6,11,1,9,4,12
