Variable,Metric,REAL,CTGAN,GReaT_DistilGPT2,GReaT_GPT2,PredLLM_DistilGPT2,PredLLM_GPT2,REaLTabFormer,TabDiff,TabSyn,Tabula_DistilGPT2,Tabula_GPT2,TapTap_DistilGPT2,TapTap_GPT2
AGE,Mean ± SD,15.780 ± 0.285,15.887 ± 0.285,15.748 ± 0.284,15.747 ± 0.277,15.759 ± 0.272,15.754 ± 0.266,15.818 ± 0.297,15.781 ± 0.324,15.782 ± 0.274,15.753 ± 0.277,15.756 ± 0.280,15.751 ± 0.276,15.755 ± 0.273
AGE,Range,15 to 16,15 to 16,15 to 16,15 to 16,15 to 16,15 to 16,15 to 16,15 to 16,15 to 16,15 to 16,15 to 16,15 to 16,15 to 16
ESCS,Mean ± SD,0.483 ± 0.835,0.460 ± 0.948,0.615 ± 0.670,0.640 ± 0.674,0.555 ± 0.726,0.535 ± 0.777,0.561 ± 0.796,0.502 ± 0.882,0.573 ± 0.737,0.685 ± 0.628,0.713 ± 0.640,0.489 ± 0.774,0.512 ± 0.741
ESCS,Range,-2 to 2,-2 to 2,-2 to 1,-2 to 2,-2 to 1,-2 to 2,-3 to 2,-2 to 2,-2 to 2,-2 to 2,-2 to 2,-2 to 1,-2 to 2
MCLSIZE,Mean ± SD,29.478 ± 8.006,29.176 ± 7.814,29.620 ± 8.063,29.671 ± 8.036,30.337 ± 7.973,30.463 ± 7.857,29.155 ± 7.966,29.384 ± 8.200,29.321 ± 8.024,29.312 ± 8.012,29.373 ± 7.927,29.974 ± 7.988,30.125 ± 8.075
MCLSIZE,Range,18 to 38,18 to 38,18 to 38,18 to 38,18 to 37,18 to 37,14 to 41,18 to 38,18 to 38,18 to 38,18 to 38,18 to 37,18 to 37
PV10MATH,Mean ± SD,589.650 ± 100.782,580.259 ± 112.086,610.080 ± 68.662,617.997 ± 67.807,593.882 ± 93.934,592.297 ± 101.575,585.818 ± 86.395,583.406 ± 136.705,594.431 ± 92.115,613.361 ± 65.192,615.415 ± 66.937,592.065 ± 98.874,591.756 ± 98.705
PV10MATH,Range,238 to 817,238 to 816,297 to 817,238 to 802,238 to 817,210 to 841,188 to 825,238 to 817,246 to 816,352 to 838,379 to 838,238 to 817,238 to 823
PV1MATH,Mean ± SD,588.305 ± 101.412,581.138 ± 126.316,608.329 ± 69.532,616.211 ± 69.153,591.656 ± 94.758,590.522 ± 102.067,580.228 ± 93.604,591.244 ± 134.814,587.563 ± 96.130,611.157 ± 65.434,612.735 ± 66.681,590.659 ± 98.984,589.673 ± 98.608
PV1MATH,Range,237 to 943,237 to 916,297 to 816,237 to 816,207 to 817,224 to 816,188 to 943,246 to 942,249 to 936,331 to 844,367 to 838,206 to 816,237 to 816
PV2MATH,Mean ± SD,586.826 ± 102.033,604.837 ± 116.365,607.477 ± 69.038,615.086 ± 67.053,590.678 ± 95.279,590.030 ± 102.050,583.566 ± 91.341,582.478 ± 138.463,589.564 ± 94.530,613.344 ± 65.074,613.603 ± 66.658,589.586 ± 100.931,587.581 ± 99.283
PV2MATH,Range,277 to 878,277 to 856,285 to 878,277 to 878,286 to 878,262 to 848,281 to 868,277 to 878,277 to 878,365 to 813,379 to 838,209 to 878,277 to 878
PV3MATH,Mean ± SD,587.005 ± 100.635,593.351 ± 115.022,606.945 ± 70.073,613.958 ± 68.053,591.036 ± 95.287,590.400 ± 101.922,577.570 ± 83.032,585.365 ± 129.394,593.131 ± 91.944,612.184 ± 65.502,613.096 ± 67.204,589.860 ± 98.840,588.152 ± 98.242
PV3MATH,Range,282 to 838,282 to 838,287 to 878,303 to 821,287 to 831,215 to 838,289 to 809,282 to 838,290 to 837,373 to 834,376 to 838,282 to 838,282 to 871
