Variable,Target,Technique,REAL,Synth_Lo,Synth_Hi,Contains_REAL
gender,SMP,TapTap_GPT2,-0.010,-0.040,0.010,True
gender,SMP,TabSyn,-0.010,-0.050,0.040,True
gender,SMP,PredLLM_GPT2,-0.010,0.030,0.070,False
gender,SMP,TabDiff,-0.010,0.000,0.030,False
gender,SMP,GReaT_GPT2,-0.010,0.060,0.110,False
gender,SMP,Tabula_DistilGPT2,-0.010,0.100,0.140,False
gender,SMP,GReaT_DistilGPT2,-0.010,-0.020,0.150,True
gender,SMP,PredLLM_DistilGPT2,-0.010,0.000,0.090,False
gender,SMP,CTGAN,-0.010,-0.080,-0.010,True
gender,SMP,REaLTabFormer,-0.010,-0.010,0.070,False
gender,SMP,Tabula_GPT2,-0.010,0.140,0.220,False
gender,SMP,TapTap_DistilGPT2,-0.010,-0.090,0.090,True
gender,SPI,TapTap_GPT2,-0.037,-0.070,0.040,True
gender,SPI,TabSyn,-0.037,-0.040,0.040,True
gender,SPI,PredLLM_GPT2,-0.037,-0.110,-0.030,True
gender,SPI,TabDiff,-0.037,-0.060,0.000,True
gender,SPI,GReaT_GPT2,-0.037,-0.060,0.000,True
gender,SPI,Tabula_DistilGPT2,-0.037,-0.080,0.010,True
gender,SPI,GReaT_DistilGPT2,-0.037,-0.070,0.000,True
gender,SPI,PredLLM_DistilGPT2,-0.037,-0.080,-0.040,False
gender,SPI,CTGAN,-0.037,-0.080,0.060,True
gender,SPI,REaLTabFormer,-0.037,-0.100,-0.020,True
gender,SPI,Tabula_GPT2,-0.037,-0.130,-0.030,True
gender,SPI,TapTap_DistilGPT2,-0.037,-0.060,0.010,True
gender,SMS,TapTap_GPT2,0.105,0.060,0.130,True
gender,SMS,TabSyn,0.105,0.060,0.120,True
gender,SMS,PredLLM_GPT2,0.105,0.050,0.140,True
gender,SMS,TabDiff,0.105,0.100,0.140,True
gender,SMS,GReaT_GPT2,0.105,0.090,0.170,True
gender,SMS,Tabula_DistilGPT2,0.105,0.010,0.150,True
gender,SMS,GReaT_DistilGPT2,0.105,0.040,0.120,True
gender,SMS,PredLLM_DistilGPT2,0.105,0.050,0.130,True
gender,SMS,CTGAN,0.105,0.020,0.080,False
gender,SMS,REaLTabFormer,0.105,0.040,0.130,True
gender,SMS,Tabula_GPT2,0.105,0.030,0.140,True
gender,SMS,TapTap_DistilGPT2,0.105,0.040,0.120,True
grade,SMP,TapTap_GPT2,0.199,0.200,0.230,False
grade,SMP,TabSyn,0.199,0.130,0.260,True
grade,SMP,PredLLM_GPT2,0.199,0.110,0.180,False
grade,SMP,TabDiff,0.199,0.160,0.220,True
grade,SMP,GReaT_GPT2,0.199,0.130,0.200,True
grade,SMP,Tabula_DistilGPT2,0.199,0.050,0.150,False
grade,SMP,GReaT_DistilGPT2,0.199,0.110,0.170,False
grade,SMP,PredLLM_DistilGPT2,0.199,0.120,0.190,False
grade,SMP,CTGAN,0.199,0.180,0.260,True
grade,SMP,REaLTabFormer,0.199,0.020,0.100,False
grade,SMP,Tabula_GPT2,0.199,0.110,0.180,False
grade,SMP,TapTap_DistilGPT2,0.199,0.140,0.240,True
grade,SPI,TapTap_GPT2,-0.041,-0.090,0.020,True
grade,SPI,TabSyn,-0.041,-0.090,0.030,True
grade,SPI,PredLLM_GPT2,-0.041,-0.090,0.020,True
grade,SPI,TabDiff,-0.041,-0.050,0.070,True
grade,SPI,GReaT_GPT2,-0.041,-0.070,0.020,True
grade,SPI,Tabula_DistilGPT2,-0.041,-0.050,0.050,True
grade,SPI,GReaT_DistilGPT2,-0.041,-0.040,0.030,False
grade,SPI,PredLLM_DistilGPT2,-0.041,-0.110,-0.020,True
