Technique,Variable,Target,DeltaAbs,DeltaSigned,r_REAL,r_SYNTH
CTGAN,SMP,SMP,0.000,0.000,1.000,1.000
GReaT_DistilGPT2,SMP,SMP,0.000,0.000,1.000,1.000
GReaT_GPT2,SMP,SMP,0.000,0.000,1.000,1.000
Tabula_DistilGPT2,SMP,SMP,0.000,0.000,1.000,1.000
Tabula_GPT2,SMP,SMP,0.000,0.000,1.000,1.000
TapTap_DistilGPT2,SMP,SMP,0.000,0.000,1.000,1.000
TapTap_GPT2,SMP,SMP,0.000,0.000,1.000,1.000
PredLLM_DistilGPT2,SMP,SMP,0.000,0.000,1.000,1.000
PredLLM_GPT2,SMP,SMP,0.000,0.000,1.000,1.000
TabSyn,SMP,SMP,0.000,0.000,1.000,1.000
TabDiff,SMP,SMP,0.000,0.000,1.000,1.000
REaLTabFormer,SMP,SMP,0.000,0.000,1.000,1.000
CTGAN,SPI,SMP,0.015,-0.015,-0.183,-0.198
GReaT_DistilGPT2,SPI,SMP,0.058,0.058,-0.183,-0.125
GReaT_GPT2,SPI,SMP,0.042,0.042,-0.183,-0.141
Tabula_DistilGPT2,SPI,SMP,0.090,0.090,-0.183,-0.093
Tabula_GPT2,SPI,SMP,0.049,0.049,-0.183,-0.135
TapTap_DistilGPT2,SPI,SMP,0.044,0.044,-0.183,-0.139
TapTap_GPT2,SPI,SMP,0.060,0.060,-0.183,-0.123
PredLLM_DistilGPT2,SPI,SMP,0.165,0.165,-0.183,-0.019
PredLLM_GPT2,SPI,SMP,0.164,0.164,-0.183,-0.019
TabSyn,SPI,SMP,0.047,-0.047,-0.183,-0.230
TabDiff,SPI,SMP,0.011,-0.011,-0.183,-0.195
REaLTabFormer,SPI,SMP,0.062,0.062,-0.183,-0.121
CTGAN,SPI,SPI,0.000,0.000,1.000,1.000
GReaT_DistilGPT2,SPI,SPI,0.000,0.000,1.000,1.000
GReaT_GPT2,SPI,SPI,0.000,0.000,1.000,1.000
Tabula_DistilGPT2,SPI,SPI,0.000,0.000,1.000,1.000
Tabula_GPT2,SPI,SPI,0.000,0.000,1.000,1.000
TapTap_DistilGPT2,SPI,SPI,0.000,0.000,1.000,1.000
TapTap_GPT2,SPI,SPI,0.000,0.000,1.000,1.000
PredLLM_DistilGPT2,SPI,SPI,0.000,0.000,1.000,1.000
PredLLM_GPT2,SPI,SPI,0.000,0.000,1.000,1.000
TabSyn,SPI,SPI,0.000,0.000,1.000,1.000
TabDiff,SPI,SPI,0.000,0.000,1.000,1.000
REaLTabFormer,SPI,SPI,0.000,0.000,1.000,1.000
CTGAN,SMS,SMP,0.059,0.059,0.299,0.358
GReaT_DistilGPT2,SMS,SMP,0.081,-0.081,0.299,0.218
GReaT_GPT2,SMS,SMP,0.031,-0.031,0.299,0.268
Tabula_DistilGPT2,SMS,SMP,0.017,0.017,0.299,0.316
Tabula_GPT2,SMS,SMP,0.003,0.003,0.299,0.302
TapTap_DistilGPT2,SMS,SMP,0.055,0.055,0.299,0.354
TapTap_GPT2,SMS,SMP,0.034,0.034,0.299,0.333
PredLLM_DistilGPT2,SMS,SMP,0.007,0.007,0.299,0.306
PredLLM_GPT2,SMS,SMP,0.042,0.042,0.299,0.341
TabSyn,SMS,SMP,0.015,-0.015,0.299,0.284
TabDiff,SMS,SMP,0.010,-0.010,0.299,0.289
REaLTabFormer,SMS,SMP,0.143,0.143,0.299,0.442
CTGAN,SMS,SPI,0.028,0.028,0.013,0.041
GReaT_DistilGPT2,SMS,SPI,0.025,0.025,0.013,0.037
GReaT_GPT2,SMS,SPI,0.024,0.024,0.013,0.036
Tabula_DistilGPT2,SMS,SPI,0.010,0.010,0.013,0.023
Tabula_GPT2,SMS,SPI,0.058,-0.058,0.013,-0.045
TapTap_DistilGPT2,SMS,SPI,0.040,-0.040,0.013,-0.028
TapTap_GPT2,SMS,SPI,0.036,-0.036,0.013,-0.023
PredLLM_DistilGPT2,SMS,SPI,0.015,0.015,0.013,0.027
PredLLM_GPT2,SMS,SPI,0.004,-0.004,0.013,0.009
TabSyn,SMS,SPI,0.037,-0.037,0.013,-0.024
TabDiff,SMS,SPI,0.017,-0.017,0.013,-0.004
REaLTabFormer,SMS,SPI,0.034,-0.034,0.013,-0.022
CTGAN,SMS,SMS,0.000,0.000,1.000,1.000
GReaT_DistilGPT2,SMS,SMS,0.000,0.000,1.000,1.000
GReaT_GPT2,SMS,SMS,0.000,0.000,1.000,1.000
Tabula_DistilGPT2,SMS,SMS,0.000,0.000,1.000,1.000
Tabula_GPT2,SMS,SMS,0.000,0.000,1.000,1.000
TapTap_DistilGPT2,SMS,SMS,0.000,0.000,1.000,1.000
TapTap_GPT2,SMS,SMS,0.000,0.000,1.000,1.000
PredLLM_DistilGPT2,SMS,SMS,0.000,0.000,1.000,1.000
PredLLM_GPT2,SMS,SMS,0.000,0.000,1.000,1.000
TabSyn,SMS,SMS,0.000,0.000,1.000,1.000
TabDiff,SMS,SMS,0.000,0.000,1.000,1.000
REaLTabFormer,SMS,SMS,0.000,0.000,1.000,1.000
CTGAN,gender,SMP,0.036,-0.036,-0.010,-0.046
GReaT_DistilGPT2,gender,SMP,0.061,0.061,-0.010,0.051
GReaT_GPT2,gender,SMP,0.088,0.088,-0.010,0.078
Tabula_DistilGPT2,gender,SMP,0.125,0.125,-0.010,0.114
Tabula_GPT2,gender,SMP,0.173,0.173,-0.010,0.163
TapTap_DistilGPT2,gender,SMP,0.015,0.015,-0.010,0.005
TapTap_GPT2,gender,SMP,0.009,0.009,-0.010,-0.002
