Variable,Metric,CTGAN,GReaT_DistilGPT2,GReaT_GPT2,PredLLM_DistilGPT2,PredLLM_GPT2,REaLTabFormer,TabDiff,TabSyn,Tabula_DistilGPT2,Tabula_GPT2,TapTap_DistilGPT2,TapTap_GPT2
ESCS → SMP,"$r_{\mathrm{REAL}} \in [\min(r_{\mathrm{SYN}}), \max(r_{\mathrm{SYN}})]$","[0.36, 0.44] ✓","[0.23, 0.33] ✗","[0.20, 0.27] ✗","[0.33, 0.47] ✓","[0.39, 0.43] ✗","[0.40, 0.48] ✗","[0.26, 0.37] ✗","[0.36, 0.45] ✓","[0.23, 0.29] ✗","[0.24, 0.30] ✗","[0.45, 0.50] ✗","[0.45, 0.51] ✗"
ESCS → SMS,"$r_{\mathrm{REAL}} \in [\min(r_{\mathrm{SYN}}), \max(r_{\mathrm{SYN}})]$","[-0.07, 0.03] ✗","[-0.01, 0.03] ✗","[-0.01, 0.06] ✓","[0.06, 0.18] ✗","[0.08, 0.16] ✗","[0.13, 0.21] ✗","[-0.01, 0.08] ✓","[0.06, 0.11] ✗","[0.03, 0.11] ✓","[0.05, 0.07] ✗","[0.15, 0.22] ✗","[0.13, 0.21] ✗"
ESCS → SPI,"$r_{\mathrm{REAL}} \in [\min(r_{\mathrm{SYN}}), \max(r_{\mathrm{SYN}})]$","[-0.12, -0.01] ✓","[-0.14, -0.01] ✓","[-0.10, 0.00] ✓","[0.03, 0.13] ✗","[0.01, 0.11] ✗","[-0.08, -0.02] ✗","[-0.10, 0.00] ✓","[-0.18, -0.14] ✗","[-0.13, -0.03] ✓","[-0.05, 0.03] ✗","[-0.12, -0.05] ✓","[-0.09, 0.01] ✓"
age → SMP,"$r_{\mathrm{REAL}} \in [\min(r_{\mathrm{SYN}}), \max(r_{\mathrm{SYN}})]$","[0.07, 0.29] ✓","[-0.02, 0.05] ✗","[0.01, 0.08] ✓","[0.01, 0.12] ✓","[0.03, 0.15] ✓","[-0.06, 0.02] ✗","[0.01, 0.08] ✓","[0.02, 0.13] ✓","[0.00, 0.08] ✓","[0.02, 0.07] ✗","[0.06, 0.10] ✓","[0.03, 0.14] ✓"
age → SMS,"$r_{\mathrm{REAL}} \in [\min(r_{\mathrm{SYN}}), \max(r_{\mathrm{SYN}})]$","[0.04, 0.14] ✗","[-0.05, 0.02] ✓","[0.00, 0.06] ✓","[0.00, 0.08] ✓","[0.03, 0.15] ✗","[-0.14, 0.00] ✗","[-0.07, 0.00] ✗","[-0.04, 0.04] ✓","[-0.04, 0.04] ✓","[-0.03, 0.01] ✓","[-0.03, 0.06] ✓","[-0.03, 0.01] ✓"
age → SPI,"$r_{\mathrm{REAL}} \in [\min(r_{\mathrm{SYN}}), \max(r_{\mathrm{SYN}})]$","[-0.12, 0.15] ✓","[-0.03, 0.05] ✓","[-0.05, 0.06] ✓","[-0.06, 0.04] ✓","[-0.06, 0.09] ✓","[-0.02, 0.11] ✓","[-0.03, 0.10] ✓","[-0.04, 0.02] ✓","[-0.05, 0.04] ✓","[-0.06, 0.04] ✓","[-0.12, 0.07] ✓","[-0.09, 0.00] ✓"
classSize → SMP,"$r_{\mathrm{REAL}} \in [\min(r_{\mathrm{SYN}}), \max(r_{\mathrm{SYN}})]$","[0.07, 0.13] ✓","[0.02, 0.13] ✓","[0.01, 0.13] ✓","[0.06, 0.09] ✗","[-0.03, 0.14] ✓","[0.01, 0.09] ✗","[0.08, 0.15] ✓","[0.05, 0.16] ✓","[0.09, 0.15] ✓","[0.11, 0.15] ✗","[0.11, 0.17] ✗","[0.05, 0.22] ✓"
classSize → SMS,"$r_{\mathrm{REAL}} \in [\min(r_{\mathrm{SYN}}), \max(r_{\mathrm{SYN}})]$","[0.05, 0.11] ✗","[0.00, 0.07] ✓","[-0.01, 0.11] ✓","[-0.06, 0.08] ✓","[-0.06, 0.05] ✓","[0.03, 0.08] ✓","[0.01, 0.08] ✓","[-0.05, 0.05] ✓","[-0.05, 0.05] ✓","[-0.06, 0.07] ✓","[0.02, 0.05] ✓","[-0.02, 0.10] ✓"
classSize → SPI,"$r_{\mathrm{REAL}} \in [\min(r_{\mathrm{SYN}}), \max(r_{\mathrm{SYN}})]$","[-0.25, -0.18] ✗","[-0.17, -0.09] ✓","[-0.10, 0.06] ✗","[-0.05, 0.00] ✗","[-0.07, 0.00] ✗","[-0.30, -0.21] ✗","[-0.23, -0.11] ✓","[-0.17, -0.12] ✓","[-0.09, 0.00] ✗","[-0.24, -0.15] ✓","[-0.18, -0.07] ✓","[-0.12, -0.05] ✗"
gender → SMP,"$r_{\mathrm{REAL}} \in [\min(r_{\mathrm{SYN}}), \max(r_{\mathrm{SYN}})]$","[-0.08, -0.01] ✓","[-0.02, 0.15] ✓","[0.06, 0.11] ✗","[0.00, 0.09] ✗","[0.03, 0.07] ✗","[-0.01, 0.07] ✗","[0.00, 0.03] ✗","[-0.05, 0.04] ✓","[0.10, 0.14] ✗","[0.14, 0.22] ✗","[-0.09, 0.09] ✓","[-0.04, 0.01] ✓"
gender → SMS,"$r_{\mathrm{REAL}} \in [\min(r_{\mathrm{SYN}}), \max(r_{\mathrm{SYN}})]$","[0.02, 0.08] ✗","[0.04, 0.12] ✓","[0.09, 0.17] ✓","[0.05, 0.13] ✓","[0.05, 0.14] ✓","[0.04, 0.13] ✓","[0.10, 0.14] ✓","[0.06, 0.12] ✓","[0.01, 0.15] ✓","[0.03, 0.14] ✓","[0.04, 0.12] ✓","[0.06, 0.13] ✓"
gender → SPI,"$r_{\mathrm{REAL}} \in [\min(r_{\mathrm{SYN}}), \max(r_{\mathrm{SYN}})]$","[-0.08, 0.06] ✓","[-0.07, 0.00] ✓","[-0.06, 0.00] ✓","[-0.08, -0.04] ✗","[-0.11, -0.03] ✓","[-0.10, -0.02] ✓","[-0.06, 0.00] ✓","[-0.04, 0.04] ✓","[-0.08, 0.01] ✓","[-0.13, -0.03] ✓","[-0.06, 0.01] ✓","[-0.07, 0.04] ✓"
grade → SMP,"$r_{\mathrm{REAL}} \in [\min(r_{\mathrm{SYN}}), \max(r_{\mathrm{SYN}})]$","[0.18, 0.26] ✓","[0.11, 0.17] ✗","[0.13, 0.20] ✓","[0.12, 0.19] ✗","[0.11, 0.18] ✗","[0.02, 0.10] ✗","[0.16, 0.22] ✓","[0.13, 0.26] ✓","[0.05, 0.15] ✗","[0.11, 0.18] ✗","[0.14, 0.24] ✓","[0.20, 0.23] ✗"
grade → SMS,"$r_{\mathrm{REAL}} \in [\min(r_{\mathrm{SYN}}), \max(r_{\mathrm{SYN}})]$","[0.04, 0.14] ✓","[0.01, 0.08] ✗","[0.02, 0.12] ✓","[0.04, 0.14] ✓","[0.04, 0.12] ✓","[0.03, 0.08] ✗","[0.06, 0.11] ✓","[0.01, 0.08] ✗","[-0.07, 0.03] ✗","[0.01, 0.08] ✗","[0.04, 0.09] ✓","[0.05, 0.10] ✓"
grade → SPI,"$r_{\mathrm{REAL}} \in [\min(r_{\mathrm{SYN}}), \max(r_{\mathrm{SYN}})]$","[-0.07, -0.01] ✓","[-0.04, 0.03] ✗","[-0.07, 0.02] ✓","[-0.11, -0.02] ✓","[-0.09, 0.02] ✓","[-0.07, 0.04] ✓","[-0.05, 0.07] ✓","[-0.09, 0.03] ✓","[-0.05, 0.05] ✓","[-0.04, 0.06] ✗","[-0.06, -0.02] ✓","[-0.09, 0.02] ✓"
immig → SMP,"$r_{\mathrm{REAL}} \in [\min(r_{\mathrm{SYN}}), \max(r_{\mathrm{SYN}})]$","[0.07, 0.14] ✗","[-0.07, -0.04] ✗","[-0.08, -0.03] ✗","[-0.03, 0.12] ✓","[0.02, 0.11] ✓","[0.02, 0.14] ✓","[0.02, 0.10] ✓","[0.05, 0.12] ✓","[-0.19, -0.13] ✗","[-0.19, -0.07] ✗","[0.00, 0.08] ✓","[-0.01, 0.10] ✓"
immig → SMS,"$r_{\mathrm{REAL}} \in [\min(r_{\mathrm{SYN}}), \max(r_{\mathrm{SYN}})]$","[-0.04, 0.10] ✓","[-0.05, 0.00] ✗","[-0.05, 0.05] ✓","[-0.04, 0.07] ✓","[0.01, 0.06] ✓","[-0.15, -0.06] ✗","[0.00, 0.08] ✓","[0.01, 0.10] ✓","[-0.05, 0.01] ✗","[-0.06, 0.01] ✗","[0.00, 0.10] ✓","[-0.05, 0.08] ✓"
immig → SPI,"$r_{\mathrm{REAL}} \in [\min(r_{\mathrm{SYN}}), \max(r_{\mathrm{SYN}})]$","[0.02, 0.11] ✗","[0.13, 0.20] ✗","[0.11, 0.21] ✓","[0.15, 0.30] ✗","[0.20, 0.30] ✗","[0.19, 0.30] ✗","[0.07, 0.16] ✓","[0.01, 0.12] ✗","[0.07, 0.14] ✓","[0.12, 0.18] ✓","[0.08, 0.18] ✓","[0.11, 0.18] ✓"
motherEdu → SMP,"$r_{\mathrm{REAL}} \in [\min(r_{\mathrm{SYN}}), \max(r_{\mathrm{SYN}})]$","[0.15, 0.31] ✓","[0.06, 0.18] ✗","[0.04, 0.12] ✗","[0.19, 0.36] ✗","[0.28, 0.33] ✗","[0.33, 0.45] ✗","[0.08, 0.22] ✓","[0.12, 0.24] ✓","[0.07, 0.16] ✗","[0.04, 0.16] ✗","[0.25, 0.32] ✗","[0.22, 0.31] ✗"
motherEdu → SMS,"$r_{\mathrm{REAL}} \in [\min(r_{\mathrm{SYN}}), \max(r_{\mathrm{SYN}})]$","[-0.07, 0.05] ✓","[-0.06, 0.02] ✗","[-0.04, 0.03] ✗","[0.04, 0.11] ✓","[0.08, 0.15] ✗","[0.17, 0.33] ✗","[0.01, 0.06] ✓","[0.04, 0.11] ✓","[0.02, 0.11] ✓","[-0.02, 0.07] ✓","[0.07, 0.17] ✗","[0.07, 0.16] ✗"
motherEdu → SPI,"$r_{\mathrm{REAL}} \in [\min(r_{\mathrm{SYN}}), \max(r_{\mathrm{SYN}})]$","[-0.10, 0.00] ✓","[-0.10, -0.01] ✓","[-0.07, 0.09] ✓","[0.00, 0.10] ✗","[0.04, 0.13] ✗","[-0.04, 0.02] ✓","[-0.09, 0.08] ✓","[-0.09, -0.04] ✗","[-0.10, -0.02] ✗","[-0.02, 0.06] ✓","[-0.05, 0.01] ✓","[-0.04, 0.02] ✓"
schoolSize → SMP,"$r_{\mathrm{REAL}} \in [\min(r_{\mathrm{SYN}}), \max(r_{\mathrm{SYN}})]$","[0.10, 0.17] ✓","[-0.01, 0.05] ✗","[0.00, 0.08] ✗","[-0.02, 0.12] ✓","[-0.02, 0.11] ✗","[0.10, 0.18] ✓","[0.05, 0.12] ✓","[0.10, 0.19] ✓","[-0.03, 0.06] ✗","[-0.10, 0.03] ✗","[0.07, 0.13] ✓","[0.00, 0.15] ✓"
schoolSize → SMS,"$r_{\mathrm{REAL}} \in [\min(r_{\mathrm{SYN}}), \max(r_{\mathrm{SYN}})]$","[-0.06, 0.05] ✓","[-0.07, -0.03] ✓","[-0.09, -0.01] ✓","[0.02, 0.05] ✗","[-0.03, 0.04] ✗","[-0.05, 0.01] ✗","[-0.09, -0.05] ✓","[-0.09, 0.00] ✓","[-0.06, 0.01] ✓","[-0.09, 0.01] ✓","[0.00, 0.10] ✗","[-0.05, 0.08] ✗"
schoolSize → SPI,"$r_{\mathrm{REAL}} \in [\min(r_{\mathrm{SYN}}), \max(r_{\mathrm{SYN}})]$","[-0.03, 0.10] ✓","[-0.06, -0.01] ✗","[-0.11, 0.00] ✗","[0.22, 0.33] ✗","[0.19, 0.28] ✗","[0.28, 0.38] ✗","[-0.04, 0.09] ✓","[-0.12, 0.01] ✗","[-0.08, 0.02] ✓","[0.04, 0.14] ✗","[-0.14, -0.02] ✗","[-0.05, 0.01] ✗"
