Indicator,CTGAN,GReaT_DistilGPT2,GReaT_GPT2,Tabula_DistilGPT2,Tabula_GPT2,TapTap_DistilGPT2,TapTap_GPT2,PredLLM_DistilGPT2,PredLLM_GPT2,TabSyn,TabDiff,REaLTabFormer
PV10MATH,0.030,0.010,0.010,0.000,0.000,0.010,0.000,0.000,0.000,0.000,0.060,0.000
PV1MATH,0.050,0.020,0.010,0.010,0.010,0.000,0.000,0.010,0.000,0.000,0.030,0.010
PV2MATH,0.060,0.010,0.010,0.010,0.010,0.000,0.000,0.000,0.010,0.010,0.030,0.040
PV3MATH,0.040,0.000,0.010,0.010,0.010,0.000,0.000,0.000,0.010,0.000,0.050,0.010
PV4MATH,0.030,0.010,0.010,0.000,0.000,0.010,0.000,0.010,0.020,0.010,0.070,0.000
PV5MATH,0.040,0.010,0.010,0.000,0.010,0.010,0.010,0.010,0.010,0.000,0.000,0.020
PV6MATH,0.040,0.010,0.030,0.010,0.000,0.000,0.010,0.010,0.010,0.010,0.070,0.020
PV7MATH,0.050,0.010,0.010,0.020,0.010,0.000,0.000,0.000,0.000,0.010,0.030,0.030
PV8MATH,0.030,0.010,0.020,0.000,0.000,0.010,0.010,0.010,0.010,0.000,0.060,0.000
PV9MATH,0.020,0.010,0.010,0.010,0.010,0.000,0.000,0.010,0.000,0.000,0.050,0.010
ST268Q01JA,0.080,0.100,0.070,0.080,0.060,0.040,0.050,0.030,0.040,0.060,0.040,0.050
ST268Q04JA,0.050,0.100,0.060,0.120,0.050,0.050,0.060,0.030,0.020,0.020,0.010,0.040
ST268Q07JA,0.060,0.300,0.220,0.400,0.240,0.110,0.090,0.080,0.130,0.070,0.070,0.110
SC064Q01TA,0.310,0.640,1.020,0.430,0.590,0.310,0.880,1.150,0.450,0.240,0.420,0.570
SC064Q02TA,0.150,0.430,0.650,0.200,0.490,0.270,0.490,1.080,1.010,0.120,0.130,0.280
SC064Q03TA,0.080,0.250,0.170,0.270,0.150,0.310,0.350,1.120,0.570,0.160,0.250,0.200
SC064Q04NA,0.310,0.290,0.620,0.390,0.430,0.330,0.630,0.390,0.550,0.210,0.190,0.460
SC064Q05WA,0.190,0.450,0.910,0.410,0.470,0.280,0.840,0.520,1.040,0.220,0.220,0.530
SC064Q06WA,0.070,0.300,0.210,0.190,0.250,0.210,0.280,0.840,0.940,0.100,0.130,0.230
SC064Q07WA,0.110,0.430,0.570,0.270,0.360,0.190,0.130,0.520,1.110,0.170,0.040,0.400
