ST001D01T,ST004D01T,ST268Q01JA,ST268Q04JA,ST268Q07JA,AGE,IMMIG,MISCED,ESCS,PV1MATH,PV2MATH,PV3MATH,PV4MATH,PV5MATH,PV6MATH,PV7MATH,PV8MATH,PV9MATH,PV10MATH,SC064Q05WA,SC064Q06WA,SC064Q01TA,SC064Q02TA,SC064Q04NA,SC064Q03TA,SC064Q07WA,SCHSIZE,MCLSIZE,LV_SMP
10,2,2,1,4,16.08,1,8,0.4168,488.291,456.284,461.777,449.468,449.675,435.976,453.389,475.383,412.48,419.815,93,90,90,90,89,90,91,286,18,-0.8183364601764058
10,1,3,2,4,16.17,1,8,1.2884,619.742,572.866,642.578,633.411,610.75,652.816,601.092,511.921,618.695,575.602,10,0,40,40,100,100,0,824,23,0.7060422988452816
10,1,2,2,2,15.5,1,7,0.4107,347.699,382.164,342.619,348.048,357.032,341.139,308.52,297.182,329.243,335.534,20,20,33,39,41,32,11,972,23,-1.9209714585570017
10,1,2,1,4,15.75,1,4,0.203,580.784,607.322,578.731,574.217,648.113,565.474,592.589,604.22,566.91,628.816,14,0,16,17,26,5,0,725,28,0.6127355568026508
10,1,2,1,4,15.92,1,4,-0.4307,662.605,649.423,727.283,653.46,652.3,681.097,645.595,631.442,697.466,685.689,45,45,30,40,40,65,0,634,18,1.3457859417057256
10,2,3,2,4,16.17,1,7,0.1447,653.672,613.907,605.354,629.778,624.08,609.305,637.84,592.294,587.978,610.303,20,80,100,100,0,5,0,875,28,0.8290393655667136
10,2,4,4,4,15.75,1,4,0.1002,518.389,455.527,454.166,522.347,460.752,460.181,543.797,463.939,476.324,478.202,10,0,16,35,13,5,0,960,23,-0.4883638189060566
10,1,2,1,4,16.08,1,8,1.4755,671.673,564.426,572.128,618.079,612.553,613.011,556.195,629.496,691.827,600.917,20,21,39,39,3,63,0,924,28,0.7946013057099092
10,1,3,2,4,15.92,1,8,1.0009,672.264,640.436,633.088,653.96,677.197,627.533,618.953,604.078,649.051,666.645,70,70,70,80,80,10,0,600,23,1.1044898572211057
10,1,3,2,4,16.17,1,8,1.2836,585.688,583.574,555.855,595.34,596.868,553.426,565.096,566.077,590.528,575.74,30,20,80,20,11,20,1,1091,28,0.4358935620127001
10,1,1,1,3,16,1,4,0.2605,636.77,579.794,608.605,576.244,555.71,620.438,618.162,596.408,609.904,613.384,30,10,30,10,10,30,1,727,28,0.6818942385122686
