technique,variable,type,distance
CTGAN,AGE,continuous,0.10766121495327108
CTGAN,ESCS,continuous,0.07310871495327102
CTGAN,IMMIG,categorical,0.05399516208221282
CTGAN,MCLSIZE,continuous,0.4350467289719623
CTGAN,MISCED,categorical,0.06057493055321887
CTGAN,PV10MATH,continuous,11.426675934579437
CTGAN,PV1MATH,continuous,23.121148130841124
CTGAN,PV2MATH,continuous,20.69293668224299
CTGAN,PV3MATH,continuous,15.233386682242987
CTGAN,PV4MATH,continuous,21.532973130841125
CTGAN,PV5MATH,continuous,22.18783691588785
CTGAN,PV6MATH,continuous,21.87511401869159
CTGAN,PV7MATH,continuous,16.489119392523364
CTGAN,PV8MATH,continuous,14.409053738317759
CTGAN,PV9MATH,continuous,17.006895794392523
CTGAN,SC064Q01TA,categorical,0.5642825501184014
CTGAN,SC064Q02TA,categorical,0.5468568677507774
CTGAN,SC064Q03TA,categorical,0.2659707524534104
CTGAN,SC064Q04NA,categorical,0.3365560744286613
CTGAN,SC064Q05WA,categorical,0.55645215401788
CTGAN,SC064Q06WA,categorical,0.6530012575567515
CTGAN,SC064Q07WA,categorical,0.420214935327743
CTGAN,SCHSIZE,continuous,131.23014018691586
CTGAN,ST001D01T,categorical,0.12023455216843511
CTGAN,ST004D01T,categorical,0.017680506944810888
CTGAN,ST268Q01JA,categorical,0.04510697527848741
CTGAN,ST268Q04JA,categorical,0.04872342114072997
CTGAN,ST268Q07JA,categorical,0.07928733731996905
GReaT_DistilGPT2,AGE,continuous,0.03134472804983845
GReaT_DistilGPT2,ESCS,continuous,0.1541341747534629
GReaT_DistilGPT2,IMMIG,categorical,0.041840209121413556
GReaT_DistilGPT2,MCLSIZE,continuous,0.15102925012946897
GReaT_DistilGPT2,MISCED,categorical,0.09853916673516866
GReaT_DistilGPT2,PV10MATH,continuous,27.39927249268528
GReaT_DistilGPT2,PV1MATH,continuous,27.996750009833068
GReaT_DistilGPT2,PV2MATH,continuous,28.259570595491205
GReaT_DistilGPT2,PV3MATH,continuous,27.568515584882405
GReaT_DistilGPT2,PV4MATH,continuous,29.002751046403382
GReaT_DistilGPT2,PV5MATH,continuous,27.933962794090974
GReaT_DistilGPT2,PV6MATH,continuous,27.659731478578095
GReaT_DistilGPT2,PV7MATH,continuous,28.27364586743044
GReaT_DistilGPT2,PV8MATH,continuous,28.49841208430663
GReaT_DistilGPT2,PV9MATH,continuous,27.14201776919144
GReaT_DistilGPT2,SC064Q01TA,categorical,0.07247467138419295
GReaT_DistilGPT2,SC064Q02TA,categorical,0.04653276086137762
GReaT_DistilGPT2,SC064Q03TA,categorical,0.07245275444822627
GReaT_DistilGPT2,SC064Q04NA,categorical,0.08239080955024436
GReaT_DistilGPT2,SC064Q05WA,categorical,0.09122653622746003
GReaT_DistilGPT2,SC064Q06WA,categorical,0.07585265655695558
GReaT_DistilGPT2,SC064Q07WA,categorical,0.08055201871965655
GReaT_DistilGPT2,SCHSIZE,continuous,27.92642645185389
GReaT_DistilGPT2,ST001D01T,categorical,0.06032833526599583
GReaT_DistilGPT2,ST004D01T,categorical,0.0636823147099151
GReaT_DistilGPT2,ST268Q01JA,categorical,0.07175554043202198
GReaT_DistilGPT2,ST268Q04JA,categorical,0.08353151256118573
GReaT_DistilGPT2,ST268Q07JA,categorical,0.09587183908607598
GReaT_GPT2,AGE,continuous,0.03212746928832895
GReaT_GPT2,ESCS,continuous,0.16344344613594913
GReaT_GPT2,IMMIG,categorical,0.04055498989407383
GReaT_GPT2,MCLSIZE,continuous,0.19815259841073393
GReaT_GPT2,MISCED,categorical,0.11944781209854341
GReaT_GPT2,PV10MATH,continuous,31.60465499717921
GReaT_GPT2,PV1MATH,continuous,30.808267839883843
GReaT_GPT2,PV2MATH,continuous,32.81125219868888
GReaT_GPT2,PV3MATH,continuous,30.91250343852636
GReaT_GPT2,PV4MATH,continuous,31.20446765434555
GReaT_GPT2,PV5MATH,continuous,32.224219118315915
GReaT_GPT2,PV6MATH,continuous,30.88084910663914
GReaT_GPT2,PV7MATH,continuous,31.276503213846816
GReaT_GPT2,PV8MATH,continuous,32.44469190803773
GReaT_GPT2,PV9MATH,continuous,31.98284455072837
GReaT_GPT2,SC064Q01TA,categorical,0.09537938502936363
GReaT_GPT2,SC064Q02TA,categorical,0.071872038942393
GReaT_GPT2,SC064Q03TA,categorical,0.07025555461490265
GReaT_GPT2,SC064Q04NA,categorical,0.10115374319003252
GReaT_GPT2,SC064Q05WA,categorical,0.12078142613195815
GReaT_GPT2,SC064Q06WA,categorical,0.11098843578727217
GReaT_GPT2,SC064Q07WA,categorical,0.10188887911593869
GReaT_GPT2,SCHSIZE,continuous,58.380008549849435
GReaT_GPT2,ST001D01T,categorical,0.05577987420225917
GReaT_GPT2,ST004D01T,categorical,0.049656927112501074
GReaT_GPT2,ST268Q01JA,categorical,0.07942409907721548
GReaT_GPT2,ST268Q04JA,categorical,0.08596995243174191
GReaT_GPT2,ST268Q07JA,categorical,0.10130815494589791
Tabula_DistilGPT2,AGE,continuous,0.026995192583346966
Tabula_DistilGPT2,ESCS,continuous,0.2288423449453763
Tabula_DistilGPT2,IMMIG,categorical,0.05437095690408967
Tabula_DistilGPT2,MCLSIZE,continuous,0.16586414416957337
Tabula_DistilGPT2,MISCED,categorical,0.12506923463994915
Tabula_DistilGPT2,PV10MATH,continuous,28.892060659321764
Tabula_DistilGPT2,PV1MATH,continuous,28.795315355947295
Tabula_DistilGPT2,PV2MATH,continuous,30.85098000714497
Tabula_DistilGPT2,PV3MATH,continuous,29.583340481544372
Tabula_DistilGPT2,PV4MATH,continuous,32.224930679587885
Tabula_DistilGPT2,PV5MATH,continuous,33.05444375509961
Tabula_DistilGPT2,PV6MATH,continuous,29.838908946668546
Tabula_DistilGPT2,PV7MATH,continuous,30.615630493113045
Tabula_DistilGPT2,PV8MATH,continuous,30.61346292460736
Tabula_DistilGPT2,PV9MATH,continuous,30.38903762445255
Tabula_DistilGPT2,SC064Q01TA,categorical,0.09535605486878172
Tabula_DistilGPT2,SC064Q02TA,categorical,0.08530285665817676
Tabula_DistilGPT2,SC064Q03TA,categorical,0.08487637158454131
Tabula_DistilGPT2,SC064Q04NA,categorical,0.09167964936997568
Tabula_DistilGPT2,SC064Q05WA,categorical,0.10935492511793092
Tabula_DistilGPT2,SC064Q06WA,categorical,0.10172260733232898
Tabula_DistilGPT2,SC064Q07WA,categorical,0.09587491170161033
Tabula_DistilGPT2,SCHSIZE,continuous,27.62145177367211
Tabula_DistilGPT2,ST001D01T,categorical,0.06856901040750793
Tabula_DistilGPT2,ST004D01T,categorical,0.01938486531975509
