Variable,Metric,CTGAN,GReaT_DistilGPT2,GReaT_GPT2,PredLLM_DistilGPT2,PredLLM_GPT2,REaLTabFormer,TabDiff,TabSyn,Tabula_DistilGPT2,Tabula_GPT2,TapTap_DistilGPT2,TapTap_GPT2
IMMIG,Category Adherence,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
MISCED,Category Adherence,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
SC064Q01TA,Category Adherence,0.3579,1.0000,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.9998,0.9998,0.0000,0.0000
SC064Q02TA,Category Adherence,0.4379,1.0000,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.9998,1.0000,0.0000,0.0000
SC064Q03TA,Category Adherence,0.8386,0.9998,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,0.9998,0.0000,0.0000
SC064Q04NA,Category Adherence,0.7636,1.0000,0.9998,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000
SC064Q05WA,Category Adherence,0.4089,0.9998,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.9995,1.0000,0.0000,0.0000
SC064Q06WA,Category Adherence,0.2236,1.0000,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.9993,1.0000,0.0000,0.0000
SC064Q07WA,Category Adherence,0.7196,1.0000,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.9995,1.0000,0.0000,0.0000
ST001D01T,Category Adherence,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
ST004D01T,Category Adherence,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
ST268Q01JA,Category Adherence,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
ST268Q04JA,Category Adherence,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
ST268Q07JA,Category Adherence,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
