Variable,Technique,REAL_Range,Synthetic_Range,Same_As_REAL
AGE,REAL,"[15.33, 16.25]","[15.33, 16.25]",-
AGE,CTGAN,"[15.33, 16.25]","[15.33, 16.25]",✓
AGE,GReaT_DistilGPT2,"[15.33, 16.25]","[15.33, 16.25]",✓
AGE,GReaT_GPT2,"[15.33, 16.25]","[15.33, 16.25]",✓
AGE,PredLLM_DistilGPT2,"[15.33, 16.25]","[15.33, 16.37]",✗
AGE,PredLLM_GPT2,"[15.33, 16.25]","[15.33, 16.25]",✓
AGE,REaLTabFormer,"[15.33, 16.25]","[15.33, 16.25]",✓
AGE,TabDiff,"[15.33, 16.25]","[15.33, 16.25]",✓
AGE,TabSyn,"[15.33, 16.25]","[15.33, 16.25]",✓
AGE,Tabula_DistilGPT2,"[15.33, 16.25]","[15.25, 16.25]",✗
AGE,Tabula_GPT2,"[15.33, 16.25]","[15.33, 16.25]",✓
AGE,TapTap_DistilGPT2,"[15.33, 16.25]","[15.33, 16.25]",✓
AGE,TapTap_GPT2,"[15.33, 16.25]","[15.33, 16.25]",✓
ESCS,REAL,"[-2.94, 2.77]","[-2.94, 2.77]",-
ESCS,CTGAN,"[-2.94, 2.77]","[-2.94, 2.2]",✗
ESCS,GReaT_DistilGPT2,"[-2.94, 2.77]","[-2.94, 1.97]",✗
ESCS,GReaT_GPT2,"[-2.94, 2.77]","[-2.94, 2.27]",✗
ESCS,PredLLM_DistilGPT2,"[-2.94, 2.77]","[-2.67, 1.97]",✗
ESCS,PredLLM_GPT2,"[-2.94, 2.77]","[-2.27, 2.52]",✗
ESCS,REaLTabFormer,"[-2.94, 2.77]","[-3.07, 2.8]",✗
ESCS,TabDiff,"[-2.94, 2.77]","[-2.94, 2.77]",✓
ESCS,TabSyn,"[-2.94, 2.77]","[-2.92, 2.66]",✗
ESCS,Tabula_DistilGPT2,"[-2.94, 2.77]","[-2.99, 2.66]",✗
ESCS,Tabula_GPT2,"[-2.94, 2.77]","[-2.94, 2.85]",✗
ESCS,TapTap_DistilGPT2,"[-2.94, 2.77]","[-2.67, 1.93]",✗
ESCS,TapTap_GPT2,"[-2.94, 2.77]","[-2.69, 2.27]",✗
MCLSIZE,REAL,"[18.0, 38.0]","[18.0, 38.0]",-
MCLSIZE,CTGAN,"[18.0, 38.0]","[18.0, 38.0]",✓
MCLSIZE,GReaT_DistilGPT2,"[18.0, 38.0]","[18.0, 38.0]",✓
MCLSIZE,GReaT_GPT2,"[18.0, 38.0]","[18.0, 38.0]",✓
MCLSIZE,PredLLM_DistilGPT2,"[18.0, 38.0]","[18.04, 37.96]",✗
