Construct,Technique,alpha_Range,rhoC_Range,rhoA_Range,AVE_Range
SPI,CTGAN,0.070,0.190,0.100,0.020
SPI,GReaT_DistilGPT2,0.060,0.290,0.180,0.030
SPI,GReaT_GPT2,0.050,0.140,0.490,0.040
SPI,Tabula_DistilGPT2,0.090,0.280,0.010,0.020
SPI,Tabula_GPT2,0.050,0.260,0.220,0.060
SPI,TapTap_DistilGPT2,0.050,0.150,0.040,0.040
SPI,TapTap_GPT2,0.050,0.560,0.170,0.060
SPI,PredLLM_DistilGPT2,0.060,0.500,0.390,0.090
SPI,PredLLM_GPT2,0.050,0.270,1.270,0.180
SPI,TabSyn,0.090,0.180,0.060,0.010
SPI,TabDiff,0.050,0.150,0.050,0.010
SPI,REaLTabFormer,0.030,0.390,0.230,0.070
SMS,CTGAN,0.030,0.020,0.040,0.020
SMS,GReaT_DistilGPT2,0.060,0.030,0.170,0.040
SMS,GReaT_GPT2,0.060,0.030,0.110,0.030
SMS,Tabula_DistilGPT2,0.060,0.040,0.160,0.020
SMS,Tabula_GPT2,0.040,0.020,0.110,0.010
SMS,TapTap_DistilGPT2,0.030,0.020,0.070,0.030
SMS,TapTap_GPT2,0.040,0.020,0.110,0.030
SMS,PredLLM_DistilGPT2,0.050,0.020,0.070,0.030
SMS,PredLLM_GPT2,0.060,0.030,0.090,0.040
SMS,TabSyn,0.060,0.030,0.070,0.030
SMS,TabDiff,0.050,0.030,0.030,0.040
SMS,REaLTabFormer,0.070,0.020,0.080,0.040
SMP,CTGAN,0.010,0.000,0.010,0.040
SMP,GReaT_DistilGPT2,0.010,0.000,0.010,0.010
SMP,GReaT_GPT2,0.010,0.000,0.010,0.010
SMP,Tabula_DistilGPT2,0.000,0.000,0.000,0.000
SMP,Tabula_GPT2,0.000,0.000,0.000,0.010
SMP,TapTap_DistilGPT2,0.000,0.000,0.000,0.010
SMP,TapTap_GPT2,0.000,0.000,0.000,0.000
SMP,PredLLM_DistilGPT2,0.000,0.000,0.000,0.010
SMP,PredLLM_GPT2,0.000,0.000,0.000,0.010
SMP,TabSyn,0.000,0.000,0.000,0.000
SMP,TabDiff,0.010,0.000,0.010,0.010
SMP,REaLTabFormer,0.000,0.010,0.000,0.020
