Construct,Metric,REAL,CTGAN,GReaT_DistilGPT2,GReaT_GPT2,Tabula_DistilGPT2,Tabula_GPT2,TapTap_DistilGPT2,TapTap_GPT2,PredLLM_DistilGPT2,PredLLM_GPT2,TabSyn,TabDiff,REaLTabFormer
SPI,α ≥ .7,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗
SPI,ρC ≥ .7,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗
SPI,ρA ≥ .7,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗
SPI,AVE ≥ .5,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗
SMS,α ≥ .7,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗
SMS,ρC ≥ .7,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
SMS,ρA ≥ .7,✓,✗,✓,✓,✗,✗,✓,✓,✓,✓,✓,✓,✗
SMS,AVE ≥ .5,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
SMP,α ≥ .7,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
SMP,ρC ≥ .7,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
SMP,ρA ≥ .7,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
SMP,AVE ≥ .5,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
