Variable,Technique,Missing_%
AGE,REAL,0.000
AGE,CTGAN,0.000
AGE,GReaT_DistilGPT2,0.000
AGE,GReaT_GPT2,0.000
AGE,PredLLM_DistilGPT2,0.000
AGE,PredLLM_GPT2,0.000
AGE,REaLTabFormer,0.000
AGE,TabDiff,0.000
AGE,TabSyn,0.000
AGE,Tabula_DistilGPT2,0.000
AGE,Tabula_GPT2,0.000
AGE,TapTap_DistilGPT2,0.000
AGE,TapTap_GPT2,0.000
ESCS,REAL,0.000
ESCS,CTGAN,0.000
ESCS,GReaT_DistilGPT2,0.000
ESCS,GReaT_GPT2,0.000
ESCS,PredLLM_DistilGPT2,0.000
ESCS,PredLLM_GPT2,0.000
ESCS,REaLTabFormer,0.000
ESCS,TabDiff,0.000
ESCS,TabSyn,0.000
ESCS,Tabula_DistilGPT2,0.000
ESCS,Tabula_GPT2,0.000
ESCS,TapTap_DistilGPT2,0.000
ESCS,TapTap_GPT2,0.000
IMMIG,REAL,0.000
IMMIG,CTGAN,0.000
IMMIG,GReaT_DistilGPT2,0.000
IMMIG,GReaT_GPT2,0.000
IMMIG,PredLLM_DistilGPT2,0.000
IMMIG,PredLLM_GPT2,0.000
IMMIG,REaLTabFormer,0.000
IMMIG,TabDiff,0.000
IMMIG,TabSyn,0.000
IMMIG,Tabula_DistilGPT2,0.000
IMMIG,Tabula_GPT2,0.000
IMMIG,TapTap_DistilGPT2,0.000
IMMIG,TapTap_GPT2,0.000
MCLSIZE,REAL,0.000
MCLSIZE,CTGAN,0.000
MCLSIZE,GReaT_DistilGPT2,0.000
MCLSIZE,GReaT_GPT2,0.000
MCLSIZE,PredLLM_DistilGPT2,0.000
MCLSIZE,PredLLM_GPT2,0.000
MCLSIZE,REaLTabFormer,0.000
MCLSIZE,TabDiff,0.000
MCLSIZE,TabSyn,0.000
MCLSIZE,Tabula_DistilGPT2,0.000
MCLSIZE,Tabula_GPT2,0.000
MCLSIZE,TapTap_DistilGPT2,0.000
MCLSIZE,TapTap_GPT2,0.000
MISCED,REAL,0.000
MISCED,CTGAN,0.000
MISCED,GReaT_DistilGPT2,0.000
MISCED,GReaT_GPT2,0.000
MISCED,PredLLM_DistilGPT2,0.000
MISCED,PredLLM_GPT2,0.000
MISCED,REaLTabFormer,0.000
MISCED,TabDiff,0.000
MISCED,TabSyn,0.000
MISCED,Tabula_DistilGPT2,0.000
MISCED,Tabula_GPT2,0.000
MISCED,TapTap_DistilGPT2,0.000
MISCED,TapTap_GPT2,0.000
PV10MATH,REAL,0.000
PV10MATH,CTGAN,0.000
PV10MATH,GReaT_DistilGPT2,0.000
PV10MATH,GReaT_GPT2,0.000
PV10MATH,PredLLM_DistilGPT2,0.000
PV10MATH,PredLLM_GPT2,0.000
PV10MATH,REaLTabFormer,0.000
PV10MATH,TabDiff,0.000
PV10MATH,TabSyn,0.000
PV10MATH,Tabula_DistilGPT2,0.000
PV10MATH,Tabula_GPT2,0.000
PV10MATH,TapTap_DistilGPT2,0.000
PV10MATH,TapTap_GPT2,0.000
PV1MATH,REAL,0.000
PV1MATH,CTGAN,0.000
PV1MATH,GReaT_DistilGPT2,0.000
PV1MATH,GReaT_GPT2,0.000
PV1MATH,PredLLM_DistilGPT2,0.000
PV1MATH,PredLLM_GPT2,0.000
PV1MATH,REaLTabFormer,0.000
PV1MATH,TabDiff,0.000
PV1MATH,TabSyn,0.000
PV1MATH,Tabula_DistilGPT2,0.000
PV1MATH,Tabula_GPT2,0.000
PV1MATH,TapTap_DistilGPT2,0.000
PV1MATH,TapTap_GPT2,0.000
PV2MATH,REAL,0.000
PV2MATH,CTGAN,0.000
PV2MATH,GReaT_DistilGPT2,0.000
PV2MATH,GReaT_GPT2,0.000
PV2MATH,PredLLM_DistilGPT2,0.000
PV2MATH,PredLLM_GPT2,0.000
PV2MATH,REaLTabFormer,0.000
PV2MATH,TabDiff,0.000
PV2MATH,TabSyn,0.000
PV2MATH,Tabula_DistilGPT2,0.000
PV2MATH,Tabula_GPT2,0.000
PV2MATH,TapTap_DistilGPT2,0.000
PV2MATH,TapTap_GPT2,0.000
PV3MATH,REAL,0.000
PV3MATH,CTGAN,0.000
PV3MATH,GReaT_DistilGPT2,0.000
PV3MATH,GReaT_GPT2,0.000
PV3MATH,PredLLM_DistilGPT2,0.000
PV3MATH,PredLLM_GPT2,0.000
PV3MATH,REaLTabFormer,0.000
PV3MATH,TabDiff,0.000
PV3MATH,TabSyn,0.000
PV3MATH,Tabula_DistilGPT2,0.000
PV3MATH,Tabula_GPT2,0.000
PV3MATH,TapTap_DistilGPT2,0.000
PV3MATH,TapTap_GPT2,0.000
PV4MATH,REAL,0.000
PV4MATH,CTGAN,0.000
PV4MATH,GReaT_DistilGPT2,0.000
PV4MATH,GReaT_GPT2,0.000
PV4MATH,PredLLM_DistilGPT2,0.000
PV4MATH,PredLLM_GPT2,0.000
PV4MATH,REaLTabFormer,0.000
PV4MATH,TabDiff,0.000
PV4MATH,TabSyn,0.000
PV4MATH,Tabula_DistilGPT2,0.000
PV4MATH,Tabula_GPT2,0.000
PV4MATH,TapTap_DistilGPT2,0.000
PV4MATH,TapTap_GPT2,0.000
PV5MATH,REAL,0.000
PV5MATH,CTGAN,0.000
PV5MATH,GReaT_DistilGPT2,0.000
PV5MATH,GReaT_GPT2,0.000
PV5MATH,PredLLM_DistilGPT2,0.000
PV5MATH,PredLLM_GPT2,0.000
PV5MATH,REaLTabFormer,0.000
PV5MATH,TabDiff,0.000
PV5MATH,TabSyn,0.000
PV5MATH,Tabula_DistilGPT2,0.000
PV5MATH,Tabula_GPT2,0.000
PV5MATH,TapTap_DistilGPT2,0.000
PV5MATH,TapTap_GPT2,0.000
PV6MATH,REAL,0.000
PV6MATH,CTGAN,0.000
PV6MATH,GReaT_DistilGPT2,0.000
PV6MATH,GReaT_GPT2,0.000
PV6MATH,PredLLM_DistilGPT2,0.000
PV6MATH,PredLLM_GPT2,0.000
PV6MATH,REaLTabFormer,0.000
PV6MATH,TabDiff,0.000
PV6MATH,TabSyn,0.000
PV6MATH,Tabula_DistilGPT2,0.000
PV6MATH,Tabula_GPT2,0.000
PV6MATH,TapTap_DistilGPT2,0.000
PV6MATH,TapTap_GPT2,0.000
PV7MATH,REAL,0.000
PV7MATH,CTGAN,0.000
PV7MATH,GReaT_DistilGPT2,0.000
PV7MATH,GReaT_GPT2,0.000
PV7MATH,PredLLM_DistilGPT2,0.000
PV7MATH,PredLLM_GPT2,0.000
PV7MATH,REaLTabFormer,0.000
PV7MATH,TabDiff,0.000
PV7MATH,TabSyn,0.000
PV7MATH,Tabula_DistilGPT2,0.000
PV7MATH,Tabula_GPT2,0.000
PV7MATH,TapTap_DistilGPT2,0.000
PV7MATH,TapTap_GPT2,0.000
PV8MATH,REAL,0.000
PV8MATH,CTGAN,0.000
PV8MATH,GReaT_DistilGPT2,0.000
PV8MATH,GReaT_GPT2,0.000
PV8MATH,PredLLM_DistilGPT2,0.000
PV8MATH,PredLLM_GPT2,0.000
PV8MATH,REaLTabFormer,0.000
PV8MATH,TabDiff,0.000
PV8MATH,TabSyn,0.000
PV8MATH,Tabula_DistilGPT2,0.000
PV8MATH,Tabula_GPT2,0.000
PV8MATH,TapTap_DistilGPT2,0.000
PV8MATH,TapTap_GPT2,0.000
PV9MATH,REAL,0.000
PV9MATH,CTGAN,0.000
PV9MATH,GReaT_DistilGPT2,0.000
PV9MATH,GReaT_GPT2,0.000
PV9MATH,PredLLM_DistilGPT2,0.000
PV9MATH,PredLLM_GPT2,0.000
PV9MATH,REaLTabFormer,0.000
PV9MATH,TabDiff,0.000
PV9MATH,TabSyn,0.000
PV9MATH,Tabula_DistilGPT2,0.000
PV9MATH,Tabula_GPT2,0.000
PV9MATH,TapTap_DistilGPT2,0.000
PV9MATH,TapTap_GPT2,0.000
SC064Q01TA,REAL,0.000
SC064Q01TA,CTGAN,0.000
SC064Q01TA,GReaT_DistilGPT2,0.000
SC064Q01TA,GReaT_GPT2,0.000
SC064Q01TA,PredLLM_DistilGPT2,0.000
SC064Q01TA,PredLLM_GPT2,0.000
SC064Q01TA,REaLTabFormer,0.000
SC064Q01TA,TabDiff,0.000
SC064Q01TA,TabSyn,0.000
SC064Q01TA,Tabula_DistilGPT2,0.000
SC064Q01TA,Tabula_GPT2,0.000
SC064Q01TA,TapTap_DistilGPT2,0.000
SC064Q01TA,TapTap_GPT2,0.000
SC064Q02TA,REAL,0.000
SC064Q02TA,CTGAN,0.000
SC064Q02TA,GReaT_DistilGPT2,0.000
SC064Q02TA,GReaT_GPT2,0.000
