Variable,Metric,REAL,CTGAN,GReaT,PredLLM,REaLTabFormer,TabDiff,TabSyn,Tabula,TapTap
AGE,Mean ± SD,15.780 ± 0.285,15.887 ± 0.285,15.748 ± 0.284,15.759 ± 0.272,15.818 ± 0.297,15.781 ± 0.324,15.782 ± 0.274,15.630 ± 0.235,15.751 ± 0.276
AGE,Range,15 to 16,15 to 16,15 to 16,15 to 16,15 to 16,15 to 16,15 to 16,15 to 16,15 to 16
ESCS,Mean ± SD,0.483 ± 0.835,0.460 ± 0.948,0.615 ± 0.670,0.555 ± 0.726,0.561 ± 0.796,0.502 ± 0.882,0.573 ± 0.737,0.494 ± 0.803,0.489 ± 0.774
ESCS,Range,-2 to 2,-2 to 2,-2 to 1,-2 to 1,-3 to 2,-2 to 2,-2 to 2,-2 to 2,-2 to 1
MCLSIZE,Mean ± SD,29.478 ± 8.006,29.176 ± 7.814,29.620 ± 8.063,30.337 ± 7.973,29.155 ± 7.966,29.384 ± 8.200,29.321 ± 8.024,29.783 ± 7.915,29.974 ± 7.988
MCLSIZE,Range,18 to 38,18 to 38,18 to 38,18 to 37,14 to 41,18 to 38,18 to 38,18 to 38,18 to 37
PV10MATH,Mean ± SD,589.650 ± 100.782,580.259 ± 112.086,610.080 ± 68.662,593.882 ± 93.934,585.818 ± 86.395,583.406 ± 136.705,594.431 ± 92.115,631.779 ± 89.765,592.065 ± 98.874
PV10MATH,Range,238 to 817,238 to 816,297 to 817,238 to 817,188 to 825,238 to 817,246 to 816,238 to 792,238 to 817
PV1MATH,Mean ± SD,588.305 ± 101.412,581.138 ± 126.316,608.329 ± 69.532,591.656 ± 94.758,580.228 ± 93.604,591.244 ± 134.814,587.563 ± 96.130,616.319 ± 97.926,590.659 ± 98.984
PV1MATH,Range,237 to 943,237 to 916,297 to 816,207 to 817,188 to 943,246 to 942,249 to 936,237 to 812,206 to 816
PV2MATH,Mean ± SD,586.826 ± 102.033,604.837 ± 116.365,607.477 ± 69.038,590.678 ± 95.279,583.566 ± 91.341,582.478 ± 138.463,589.564 ± 94.530,621.047 ± 98.032,589.586 ± 100.931
PV2MATH,Range,277 to 878,277 to 856,285 to 878,286 to 878,281 to 868,277 to 878,277 to 878,238 to 802,209 to 878
PV3MATH,Mean ± SD,587.005 ± 100.635,593.351 ± 115.022,606.945 ± 70.073,591.036 ± 95.287,577.570 ± 83.032,585.365 ± 129.394,593.131 ± 91.944,615.807 ± 93.627,589.860 ± 98.840
PV3MATH,Range,282 to 838,282 to 838,287 to 878,287 to 831,289 to 809,282 to 838,290 to 837,282 to 811,282 to 838
PV4MATH,Mean ± SD,585.364 ± 104.014,587.553 ± 127.010,607.231 ± 71.060,591.250 ± 97.408,577.981 ± 87.755,577.489 ± 144.926,588.356 ± 94.436,615.997 ± 95.762,587.169 ± 101.950
PV4MATH,Range,201 to 833,201 to 833,306 to 838,274 to 882,201 to 860,201 to 833,211 to 833,201 to 805,203 to 833
PV5MATH,Mean ± SD,585.738 ± 103.278,586.250 ± 127.446,607.952 ± 72.410,588.866 ± 96.497,571.738 ± 89.800,586.159 ± 104.166,585.737 ± 95.041,614.753 ± 100.904,588.334 ± 101.696
PV5MATH,Range,206 to 850,206 to 850,341 to 850,205 to 874,278 to 870,206 to 806,211 to 806,206 to 850,206 to 850
PV6MATH,Mean ± SD,588.044 ± 101.433,601.411 ± 118.186,608.294 ± 68.725,590.944 ± 94.153,582.411 ± 87.679,581.917 ± 137.875,591.246 ± 92.333,614.190 ± 94.538,590.330 ± 99.418
PV6MATH,Range,266 to 851,266 to 851,266 to 851,214 to 811,211 to 865,266 to 851,266 to 851,266 to 834,258 to 851
PV7MATH,Mean ± SD,589.522 ± 102.242,604.112 ± 113.140,611.163 ± 71.369,593.390 ± 95.577,583.714 ± 92.478,587.454 ± 140.640,594.182 ± 96.590,619.977 ± 97.281,592.304 ± 101.070
PV7MATH,Range,238 to 876,238 to 841,303 to 876,232 to 875,194 to 872,238 to 876,239 to 874,238 to 801,231 to 881
PV8MATH,Mean ± SD,588.596 ± 102.047,595.059 ± 114.892,610.585 ± 70.165,592.658 ± 95.557,581.806 ± 85.930,584.298 ± 132.476,592.491 ± 95.297,621.276 ± 100.580,592.067 ± 101.078
PV8MATH,Range,293 to 828,293 to 828,323 to 828,254 to 843,293 to 870,293 to 828,295 to 828,293 to 808,211 to 832
PV9MATH,Mean ± SD,588.478 ± 101.088,594.220 ± 116.629,609.050 ± 69.867,592.402 ± 94.446,581.449 ± 96.122,584.326 ± 138.785,591.392 ± 92.718,625.262 ± 85.248,590.675 ± 99.640
PV9MATH,Range,269 to 841,269 to 841,337 to 841,270 to 842,186 to 887,269 to 841,269 to 841,277 to 841,269 to 883
SCHSIZE,Mean ± SD,1330.076 ± 832.751,1459.014 ± 908.731,1343.658 ± 816.806,1379.422 ± 740.037,1651.648 ± 997.703,1332.067 ± 811.570,1299.773 ± 787.334,1024.596 ± 718.783,1268.993 ± 702.869
SCHSIZE,Range,315 to 4020,315 to 4020,315 to 4020,314 to 4018,164 to 4018,315 to 4020,315 to 4020,70 to 4020,63 to 4019
