CTGAN,GReaT,PredLLM,REaLTabFormer,TabDiff,TabSyn,Tabula,TapTap
0.030,0.060,0.080,0.070,0.030,0.050,0.120,0.080
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.030,0.010,0.010,0.060,0.010,0.020,0.110,0.030
0.010,0.000,0.080,0.030,0.010,0.020,0.040,0.020
0.070,0.020,0.020,0.090,0.040,0.000,0.050,0.010
0.030,0.050,0.060,0.060,0.010,0.020,0.050,0.030
0.040,0.030,0.020,0.020,0.020,0.020,0.170,0.020
0.010,0.010,0.020,0.060,0.020,0.030,0.080,0.010
0.040,0.070,0.050,0.090,0.020,0.030,0.080,0.010
0.030,0.050,0.060,0.130,0.020,0.030,0.090,0.060
0.020,0.060,0.130,0.130,0.010,0.040,0.160,0.070
