Technique,Variable,Target,DeltaAbs,DeltaSigned,r_REAL,r_SYNTH
CTGAN,SMP,SMP,0.000,0.000,1.000,1.000
GReaT,SMP,SMP,0.000,0.000,1.000,1.000
Tabula,SMP,SMP,0.000,0.000,1.000,1.000
TapTap,SMP,SMP,0.000,0.000,1.000,1.000
PredLLM,SMP,SMP,0.000,0.000,1.000,1.000
TabSyn,SMP,SMP,0.000,0.000,1.000,1.000
TabDiff,SMP,SMP,0.000,0.000,1.000,1.000
REaLTabFormer,SMP,SMP,0.000,0.000,1.000,1.000
CTGAN,SPI,SMP,0.015,-0.015,-0.183,-0.198
GReaT,SPI,SMP,0.001,-0.001,-0.183,-0.185
Tabula,SPI,SMP,0.086,0.086,-0.183,-0.097
TapTap,SPI,SMP,0.044,0.044,-0.183,-0.139
PredLLM,SPI,SMP,0.165,0.165,-0.183,-0.019
TabSyn,SPI,SMP,0.047,-0.047,-0.183,-0.230
TabDiff,SPI,SMP,0.011,-0.011,-0.183,-0.195
REaLTabFormer,SPI,SMP,0.062,0.062,-0.183,-0.121
CTGAN,SPI,SPI,0.000,0.000,1.000,1.000
GReaT,SPI,SPI,0.000,0.000,1.000,1.000
Tabula,SPI,SPI,0.000,0.000,1.000,1.000
TapTap,SPI,SPI,0.000,0.000,1.000,1.000
PredLLM,SPI,SPI,0.000,0.000,1.000,1.000
TabSyn,SPI,SPI,0.000,0.000,1.000,1.000
TabDiff,SPI,SPI,0.000,0.000,1.000,1.000
REaLTabFormer,SPI,SPI,0.000,0.000,1.000,1.000
CTGAN,SMS,SMP,0.059,0.059,0.299,0.358
GReaT,SMS,SMP,0.035,-0.035,0.299,0.264
Tabula,SMS,SMP,0.140,0.140,0.299,0.439
TapTap,SMS,SMP,0.055,0.055,0.299,0.354
PredLLM,SMS,SMP,0.007,0.007,0.299,0.306
TabSyn,SMS,SMP,0.015,-0.015,0.299,0.284
TabDiff,SMS,SMP,0.010,-0.010,0.299,0.289
REaLTabFormer,SMS,SMP,0.143,0.143,0.299,0.442
CTGAN,SMS,SPI,0.028,0.028,0.013,0.041
GReaT,SMS,SPI,0.006,-0.006,0.013,0.006
Tabula,SMS,SPI,0.019,-0.019,0.013,-0.007
TapTap,SMS,SPI,0.040,-0.040,0.013,-0.028
PredLLM,SMS,SPI,0.015,0.015,0.013,0.027
TabSyn,SMS,SPI,0.037,-0.037,0.013,-0.024
TabDiff,SMS,SPI,0.017,-0.017,0.013,-0.004
REaLTabFormer,SMS,SPI,0.034,-0.034,0.013,-0.022
CTGAN,SMS,SMS,0.000,0.000,1.000,1.000
GReaT,SMS,SMS,0.000,0.000,1.000,1.000
Tabula,SMS,SMS,0.000,0.000,1.000,1.000
TapTap,SMS,SMS,0.000,0.000,1.000,1.000
PredLLM,SMS,SMS,0.000,0.000,1.000,1.000
TabSyn,SMS,SMS,0.000,0.000,1.000,1.000
TabDiff,SMS,SMS,0.000,0.000,1.000,1.000
REaLTabFormer,SMS,SMS,0.000,0.000,1.000,1.000
CTGAN,gender,SMP,0.036,-0.036,-0.010,-0.046
GReaT,gender,SMP,0.076,0.076,-0.010,0.065
Tabula,gender,SMP,0.162,0.162,-0.010,0.152
TapTap,gender,SMP,0.015,0.015,-0.010,0.005
PredLLM,gender,SMP,0.039,0.039,-0.010,0.029
TabSyn,gender,SMP,0.007,-0.007,-0.010,-0.017
TabDiff,gender,SMP,0.029,0.029,-0.010,0.019
REaLTabFormer,gender,SMP,0.036,0.036,-0.010,0.026
CTGAN,gender,SPI,0.038,0.038,-0.037,0.002
GReaT,gender,SPI,0.007,0.007,-0.037,-0.030
Tabula,gender,SPI,0.045,-0.045,-0.037,-0.081
TapTap,gender,SPI,0.007,0.007,-0.037,-0.030
PredLLM,gender,SPI,0.025,-0.025,-0.037,-0.061
TabSyn,gender,SPI,0.042,0.042,-0.037,0.006
TabDiff,gender,SPI,0.007,0.007,-0.037,-0.029
REaLTabFormer,gender,SPI,0.011,-0.011,-0.037,-0.047
CTGAN,gender,SMS,0.046,-0.046,0.105,0.059
GReaT,gender,SMS,0.009,-0.009,0.105,0.096
Tabula,gender,SMS,0.043,0.043,0.105,0.148
TapTap,gender,SMS,0.024,-0.024,0.105,0.081
PredLLM,gender,SMS,0.010,-0.010,0.105,0.095
TabSyn,gender,SMS,0.011,-0.011,0.105,0.094
TabDiff,gender,SMS,0.012,0.012,0.105,0.118
REaLTabFormer,gender,SMS,0.007,-0.007,0.105,0.098
CTGAN,grade,SMP,0.017,0.017,0.199,0.216
GReaT,grade,SMP,0.019,0.019,0.199,0.218
Tabula,grade,SMP,0.057,-0.057,0.199,0.142
TapTap,grade,SMP,0.009,-0.009,0.199,0.190
PredLLM,grade,SMP,0.052,-0.052,0.199,0.147
TabSyn,grade,SMP,0.027,-0.027,0.199,0.172
TabDiff,grade,SMP,0.023,-0.023,0.199,0.175
