Variable,Metric,REAL,CTGAN,GReaT,PredLLM,REaLTabFormer,TabDiff,TabSyn,Tabula,TapTap
AGE,Mean,15.78,15.89,15.78,15.76,15.82,15.78,15.78,15.76,15.75
AGE,SD,0.28,0.29,0.29,0.27,0.30,0.32,0.27,0.27,0.28
AGE,Range,15 to 16,15 to 16,15 to 16,15 to 16,15 to 16,15 to 16,15 to 16,15 to 16,15 to 16
ESCS,Mean,0.48,0.46,0.63,0.56,0.56,0.50,0.57,0.77,0.49
ESCS,SD,0.84,0.95,0.68,0.73,0.80,0.88,0.74,0.58,0.77
ESCS,Range,-2 to 2,-2 to 2,-2 to 2,-2 to 1,-3 to 2,-2 to 2,-2 to 2,-2 to 2,-2 to 1
MCLSIZE,Mean,29.48,29.18,29.24,30.34,29.16,29.38,29.32,29.21,29.97
MCLSIZE,SD,8.01,7.81,8.04,7.97,7.97,8.20,8.02,8.02,7.99
MCLSIZE,Range,18 to 38,18 to 38,18 to 38,18 to 37,14 to 41,18 to 38,18 to 38,18 to 38,18 to 37
PV10MATH,Mean,589.65,580.26,613.94,593.88,585.82,583.41,594.43,639.33,592.07
PV10MATH,SD,100.78,112.09,70.76,93.93,86.40,136.71,92.12,61.73,98.87
PV10MATH,Range,238 to 817,238 to 816,238 to 817,238 to 817,188 to 825,238 to 817,246 to 816,311 to 844,238 to 817
PV1MATH,Mean,588.30,581.14,612.96,591.66,580.23,591.24,587.56,635.44,590.66
PV1MATH,SD,101.41,126.32,71.70,94.76,93.60,134.81,96.13,62.29,98.98
PV1MATH,Range,237 to 943,237 to 916,246 to 816,207 to 817,188 to 943,246 to 942,249 to 936,365 to 815,206 to 816
PV2MATH,Mean,586.83,604.84,612.30,590.68,583.57,582.48,589.56,638.30,589.59
PV2MATH,SD,102.03,116.36,70.01,95.28,91.34,138.46,94.53,62.48,100.93
PV2MATH,Range,277 to 878,277 to 856,285 to 830,286 to 878,281 to 868,277 to 878,277 to 878,372 to 834,209 to 878
PV3MATH,Mean,587.01,593.35,610.76,591.04,577.57,585.36,593.13,637.24,589.86
PV3MATH,SD,100.63,115.02,70.52,95.29,83.03,129.39,91.94,62.31,98.84
PV3MATH,Range,282 to 838,282 to 838,287 to 831,287 to 831,289 to 809,282 to 838,290 to 837,335 to 834,282 to 838
PV4MATH,Mean,585.36,587.55,610.79,591.25,577.98,577.49,588.36,637.59,587.17
PV4MATH,SD,104.01,127.01,72.90,97.41,87.75,144.93,94.44,63.91,101.95
PV4MATH,Range,201 to 833,201 to 833,258 to 805,274 to 882,201 to 860,201 to 833,211 to 833,336 to 878,203 to 833
PV5MATH,Mean,585.74,586.25,610.60,588.87,571.74,586.16,585.74,637.52,588.33
PV5MATH,SD,103.28,127.45,73.56,96.50,89.80,104.17,95.04,63.76,101.70
PV5MATH,Range,206 to 850,206 to 850,282 to 850,205 to 874,278 to 870,206 to 806,211 to 806,336 to 834,206 to 850
PV6MATH,Mean,588.04,601.41,612.26,590.94,582.41,581.92,591.25,638.23,590.33
PV6MATH,SD,101.43,118.19,69.94,94.15,87.68,137.87,92.33,62.77,99.42
PV6MATH,Range,266 to 851,266 to 851,283 to 844,214 to 811,211 to 865,266 to 851,266 to 851,340 to 844,258 to 851
PV7MATH,Mean,589.52,604.11,613.54,593.39,583.71,587.45,594.18,639.64,592.30
PV7MATH,SD,102.24,113.14,73.23,95.58,92.48,140.64,96.59,64.00,101.07
PV7MATH,Range,238 to 876,238 to 841,238 to 876,232 to 875,194 to 872,238 to 876,239 to 874,331 to 838,231 to 881
PV8MATH,Mean,588.60,595.06,614.52,592.66,581.81,584.30,592.49,640.15,592.07
PV8MATH,SD,102.05,114.89,71.08,95.56,85.93,132.48,95.30,62.98,101.08
PV8MATH,Range,293 to 828,293 to 828,293 to 828,254 to 843,293 to 870,293 to 828,295 to 828,330 to 831,211 to 832
PV9MATH,Mean,588.48,594.22,612.71,592.40,581.45,584.33,591.39,640.02,590.67
PV9MATH,SD,101.09,116.63,71.78,94.45,96.12,138.79,92.72,63.48,99.64
PV9MATH,Range,269 to 841,269 to 841,277 to 841,270 to 842,186 to 887,269 to 841,269 to 841,368 to 838,269 to 883
SCHSIZE,Mean,1330.08,1459.01,1372.20,1379.42,1651.65,1332.07,1299.77,1405.39,1268.99
SCHSIZE,SD,832.75,908.73,826.55,740.04,997.70,811.57,787.33,858.61,702.87
SCHSIZE,Range,315 to 4020,315 to 4020,315 to 4020,314 to 4018,164 to 4018,315 to 4020,315 to 4020,315 to 4020,63 to 4019
