Variable,Metric,CTGAN,GReaT,PredLLM,REaLTabFormer,TabDiff,TabSyn,Tabula,TapTap
AGE,Δ Mean (Synthetic − Real),0.11,-0.00,-0.02,0.04,0.00,0.00,-0.02,-0.03
AGE,Δ SD (Synthetic − Real),0.00,0.00,-0.01,0.01,0.04,-0.01,-0.01,-0.01
ESCS,Δ Mean (Synthetic − Real),-0.02,0.15,0.07,0.08,0.02,0.09,0.26,0.01
ESCS,Δ SD (Synthetic − Real),0.11,-0.16,-0.11,-0.04,0.05,-0.10,-0.18,-0.06
MCLSIZE,Δ Mean (Synthetic − Real),-0.30,-0.24,0.86,-0.32,-0.09,-0.16,-0.31,0.50
MCLSIZE,Δ SD (Synthetic − Real),-0.19,0.04,-0.03,-0.04,0.19,0.02,-0.04,-0.02
PV10MATH,Δ Mean (Synthetic − Real),-9.39,24.29,4.23,-3.83,-6.24,4.78,24.81,2.42
PV10MATH,Δ SD (Synthetic − Real),11.30,-30.02,-6.85,-14.39,35.92,-8.67,-40.12,-1.91
PV1MATH,Δ Mean (Synthetic − Real),-7.17,24.65,3.35,-8.08,2.94,-0.74,25.46,2.35
PV1MATH,Δ SD (Synthetic − Real),24.90,-29.71,-6.65,-7.81,33.40,-5.28,-40.91,-2.43
PV2MATH,Δ Mean (Synthetic − Real),18.01,25.47,3.85,-3.26,-4.35,2.74,26.75,2.76
PV2MATH,Δ SD (Synthetic − Real),14.33,-32.03,-6.75,-10.69,36.43,-7.50,-41.37,-1.10
PV3MATH,Δ Mean (Synthetic − Real),6.35,23.75,4.03,-9.44,-1.64,6.13,26.17,2.85
PV3MATH,Δ SD (Synthetic − Real),14.39,-30.12,-5.35,-17.60,28.76,-8.69,-39.68,-1.79
PV4MATH,Δ Mean (Synthetic − Real),2.19,25.43,5.89,-7.38,-7.87,2.99,28.45,1.81
PV4MATH,Δ SD (Synthetic − Real),23.00,-31.11,-6.61,-16.26,40.91,-9.58,-43.05,-2.06
PV5MATH,Δ Mean (Synthetic − Real),0.51,24.86,3.13,-14.00,0.42,-0.00,27.32,2.60
PV5MATH,Δ SD (Synthetic − Real),24.17,-29.72,-6.78,-13.48,0.89,-8.24,-41.99,-1.58
PV6MATH,Δ Mean (Synthetic − Real),13.37,24.21,2.90,-5.63,-6.13,3.20,25.65,2.29
PV6MATH,Δ SD (Synthetic − Real),16.75,-31.49,-7.28,-13.75,36.44,-9.10,-41.29,-2.01
PV7MATH,Δ Mean (Synthetic − Real),14.59,24.01,3.87,-5.81,-2.07,4.66,23.99,2.78
PV7MATH,Δ SD (Synthetic − Real),10.90,-29.01,-6.66,-9.76,38.40,-5.65,-41.49,-1.17
PV8MATH,Δ Mean (Synthetic − Real),6.46,25.92,4.06,-6.79,-4.30,3.89,25.70,3.47
PV8MATH,Δ SD (Synthetic − Real),12.84,-30.96,-6.49,-16.12,30.43,-6.75,-41.98,-0.97
PV9MATH,Δ Mean (Synthetic − Real),5.74,24.24,3.92,-7.03,-4.15,2.91,26.45,2.20
PV9MATH,Δ SD (Synthetic − Real),15.54,-29.31,-6.64,-4.97,37.70,-8.37,-40.14,-1.45
SCHSIZE,Δ Mean (Synthetic − Real),128.94,42.13,49.35,321.57,1.99,-30.30,88.15,-61.08
SCHSIZE,Δ SD (Synthetic − Real),75.98,-6.20,-92.71,164.95,-21.18,-45.42,48.61,-129.88
