Construct,Technique,alpha_Range,rhoC_Range,rhoA_Range,AVE_Range
SPI,CTGAN,0.070,0.190,0.100,0.020
SPI,GReaT,0.050,0.420,0.180,0.020
SPI,Tabula,0.500,0.620,0.570,0.130
SPI,TapTap,0.050,0.150,0.040,0.040
SPI,PredLLM,0.060,0.500,0.390,0.090
SPI,TabSyn,0.090,0.180,0.060,0.010
SPI,TabDiff,0.050,0.150,0.050,0.010
SPI,REaLTabFormer,0.030,0.390,0.230,0.070
SMS,CTGAN,0.030,0.020,0.040,0.020
SMS,GReaT,0.060,0.030,0.190,0.030
SMS,Tabula,0.660,0.250,0.810,0.290
SMS,TapTap,0.030,0.020,0.070,0.030
SMS,PredLLM,0.050,0.020,0.070,0.030
SMS,TabSyn,0.060,0.030,0.070,0.030
SMS,TabDiff,0.050,0.030,0.030,0.040
SMS,REaLTabFormer,0.070,0.020,0.080,0.040
SMP,CTGAN,0.010,0.000,0.010,0.040
SMP,GReaT,0.000,0.000,0.000,0.010
SMP,Tabula,0.010,0.010,0.010,0.080
SMP,TapTap,0.000,0.000,0.000,0.010
SMP,PredLLM,0.000,0.000,0.000,0.010
SMP,TabSyn,0.000,0.000,0.000,0.000
SMP,TabDiff,0.010,0.000,0.010,0.010
SMP,REaLTabFormer,0.000,0.010,0.000,0.020
