Indicator,CTGAN,GReaT,Tabula,TapTap,PredLLM,TabSyn,TabDiff,REaLTabFormer
PV10MATH,0.030,0.020,0.050,0.010,0.000,0.000,0.060,0.000
PV1MATH,0.050,0.030,0.050,0.000,0.010,0.000,0.030,0.010
PV2MATH,0.060,0.000,0.050,0.000,0.000,0.010,0.030,0.040
PV3MATH,0.040,0.010,0.050,0.000,0.000,0.000,0.050,0.010
PV4MATH,0.030,0.010,0.040,0.010,0.010,0.010,0.070,0.000
PV5MATH,0.040,0.010,0.050,0.010,0.010,0.000,0.000,0.020
PV6MATH,0.040,0.010,0.050,0.000,0.010,0.010,0.070,0.020
PV7MATH,0.050,0.010,0.040,0.000,0.000,0.010,0.030,0.030
PV8MATH,0.030,0.010,0.050,0.010,0.010,0.000,0.060,0.000
PV9MATH,0.020,0.010,0.040,0.000,0.010,0.000,0.050,0.010
ST268Q01JA,0.080,0.040,0.300,0.040,0.030,0.060,0.040,0.050
ST268Q04JA,0.050,0.100,0.290,0.050,0.030,0.020,0.010,0.040
ST268Q07JA,0.060,0.270,0.480,0.110,0.080,0.070,0.070,0.110
SC064Q01TA,0.310,0.490,1.290,0.310,1.150,0.240,0.420,0.570
SC064Q02TA,0.150,0.220,1.670,0.270,1.080,0.120,0.130,0.280
SC064Q03TA,0.080,0.260,1.030,0.310,1.120,0.160,0.250,0.200
SC064Q04NA,0.310,0.300,0.810,0.330,0.390,0.210,0.190,0.460
SC064Q05WA,0.190,0.470,0.950,0.280,0.520,0.220,0.220,0.530
SC064Q06WA,0.070,0.160,1.390,0.210,0.840,0.100,0.130,0.230
SC064Q07WA,0.110,0.190,1.230,0.190,0.520,0.170,0.040,0.400
