Variable,Metric,REAL,CTGAN,GReaT,PredLLM,REaLTabFormer,TabDiff,TabSyn,Tabula,TapTap
AGE,Mean,15.78,15.89,15.75,15.76,15.82,15.78,15.78,15.76,15.75
AGE,SD,0.28,0.29,0.28,0.27,0.30,0.32,0.27,0.27,0.28
AGE,Range,15 to 16,15 to 16,15 to 16,15 to 16,15 to 16,15 to 16,15 to 16,15 to 16,15 to 16
ESCS,Mean,0.48,0.46,0.65,0.56,0.56,0.50,0.57,0.75,0.49
ESCS,SD,0.84,0.95,0.66,0.73,0.80,0.88,0.74,0.58,0.77
ESCS,Range,-2 to 2,-2 to 2,-2 to 2,-2 to 1,-3 to 2,-2 to 2,-2 to 2,-2 to 2,-2 to 1
MCLSIZE,Mean,29.48,29.18,29.65,30.34,29.16,29.38,29.32,29.50,29.97
MCLSIZE,SD,8.01,7.81,7.94,7.97,7.97,8.20,8.02,8.08,7.99
MCLSIZE,Range,18 to 38,18 to 38,18 to 38,18 to 37,14 to 41,18 to 38,18 to 38,18 to 38,18 to 37
PV10MATH,Mean,589.65,580.26,612.20,593.88,585.82,583.41,594.43,616.13,592.07
PV10MATH,SD,100.78,112.09,66.85,93.93,86.40,136.71,92.12,63.92,98.87
PV10MATH,Range,238 to 817,238 to 816,338 to 817,238 to 817,188 to 825,238 to 817,246 to 816,382 to 841,238 to 817
PV1MATH,Mean,588.30,581.14,610.88,591.66,580.23,591.24,587.56,613.82,590.66
PV1MATH,SD,101.41,126.32,67.84,94.76,93.60,134.81,96.13,64.11,98.98
PV1MATH,Range,237 to 943,237 to 916,331 to 816,207 to 817,188 to 943,246 to 942,249 to 936,372 to 843,206 to 816
PV2MATH,Mean,586.83,604.84,610.42,590.68,583.57,582.48,589.56,615.29,589.59
PV2MATH,SD,102.03,116.36,67.25,95.28,91.34,138.46,94.53,64.86,100.93
PV2MATH,Range,277 to 878,277 to 856,311 to 878,286 to 878,281 to 868,277 to 878,277 to 878,365 to 861,209 to 878
PV3MATH,Mean,587.01,593.35,610.34,591.04,577.57,585.36,593.13,614.81,589.86
PV3MATH,SD,100.63,115.02,67.98,95.29,83.03,129.39,91.94,64.35,98.84
PV3MATH,Range,282 to 838,282 to 838,353 to 838,287 to 831,289 to 809,282 to 838,290 to 837,376 to 819,282 to 838
PV4MATH,Mean,585.36,587.55,608.39,591.25,577.98,577.49,588.36,614.88,587.17
PV4MATH,SD,104.01,127.01,70.04,97.41,87.75,144.93,94.44,64.69,101.95
PV4MATH,Range,201 to 833,201 to 833,311 to 805,274 to 882,201 to 860,201 to 833,211 to 833,381 to 850,203 to 833
PV5MATH,Mean,585.74,586.25,609.26,588.87,571.74,586.16,585.74,613.29,588.33
PV5MATH,SD,103.28,127.45,70.24,96.50,89.80,104.17,95.04,64.81,101.70
PV5MATH,Range,206 to 850,206 to 850,322 to 850,205 to 874,278 to 870,206 to 806,211 to 806,367 to 840,206 to 850
PV6MATH,Mean,588.04,601.41,611.41,590.94,582.41,581.92,591.25,615.90,590.33
PV6MATH,SD,101.43,118.19,66.60,94.15,87.68,137.87,92.33,65.18,99.42
PV6MATH,Range,266 to 851,266 to 851,350 to 834,214 to 811,211 to 865,266 to 851,266 to 851,391 to 859,258 to 851
PV7MATH,Mean,589.52,604.11,612.58,593.39,583.71,587.45,594.18,615.48,592.30
PV7MATH,SD,102.24,113.14,70.22,95.58,92.48,140.64,96.59,65.41,101.07
PV7MATH,Range,238 to 876,238 to 841,333 to 876,232 to 875,194 to 872,238 to 876,239 to 874,367 to 835,231 to 881
PV8MATH,Mean,588.60,595.06,611.06,592.66,581.81,584.30,592.49,615.07,592.07
PV8MATH,SD,102.05,114.89,67.44,95.56,85.93,132.48,95.30,65.86,101.08
PV8MATH,Range,293 to 828,293 to 828,327 to 813,254 to 843,293 to 870,293 to 828,295 to 828,375 to 841,211 to 832
PV9MATH,Mean,588.48,594.22,611.21,592.40,581.45,584.33,591.39,615.91,590.67
PV9MATH,SD,101.09,116.63,68.06,94.45,96.12,138.79,92.72,65.52,99.64
PV9MATH,Range,269 to 841,269 to 841,329 to 841,270 to 842,186 to 887,269 to 841,269 to 841,358 to 838,269 to 883
SCHSIZE,Mean,1330.08,1459.01,1377.40,1379.42,1651.65,1332.07,1299.77,1453.31,1268.99
SCHSIZE,SD,832.75,908.73,808.47,740.04,997.70,811.57,787.33,899.16,702.87
SCHSIZE,Range,315 to 4020,315 to 4020,23 to 4020,314 to 4018,164 to 4018,315 to 4020,315 to 4020,315 to 4020,63 to 4019
