Variable,Technique,REAL_Range,Synthetic_Range,Same_As_REAL
AGE,REAL,"[15.33, 16.25]","[15.33, 16.25]",-
AGE,CTGAN,"[15.33, 16.25]","[15.33, 16.25]",✓
AGE,GReaT,"[15.33, 16.25]","[15.33, 16.25]",✓
AGE,PredLLM,"[15.33, 16.25]","[15.33, 16.37]",✗
AGE,REaLTabFormer,"[15.33, 16.25]","[15.33, 16.25]",✓
AGE,TabDiff,"[15.33, 16.25]","[15.33, 16.25]",✓
AGE,TabSyn,"[15.33, 16.25]","[15.33, 16.25]",✓
AGE,Tabula,"[15.33, 16.25]","[15.33, 16.25]",✓
AGE,TapTap,"[15.33, 16.25]","[15.33, 16.25]",✓
ESCS,REAL,"[-2.94, 2.77]","[-2.94, 2.77]",-
ESCS,CTGAN,"[-2.94, 2.77]","[-2.94, 2.2]",✗
ESCS,GReaT,"[-2.94, 2.77]","[-2.27, 1.97]",✗
ESCS,PredLLM,"[-2.94, 2.77]","[-2.67, 1.97]",✗
ESCS,REaLTabFormer,"[-2.94, 2.77]","[-3.07, 2.8]",✗
ESCS,TabDiff,"[-2.94, 2.77]","[-2.94, 2.77]",✓
ESCS,TabSyn,"[-2.94, 2.77]","[-2.92, 2.66]",✗
ESCS,Tabula,"[-2.94, 2.77]","[-2.91, 2.17]",✗
ESCS,TapTap,"[-2.94, 2.77]","[-2.67, 1.93]",✗
MCLSIZE,REAL,"[18.0, 38.0]","[18.0, 38.0]",-
MCLSIZE,CTGAN,"[18.0, 38.0]","[18.0, 38.0]",✓
MCLSIZE,GReaT,"[18.0, 38.0]","[18.0, 38.0]",✓
MCLSIZE,PredLLM,"[18.0, 38.0]","[18.04, 37.96]",✗
MCLSIZE,REaLTabFormer,"[18.0, 38.0]","[14.99, 41.0]",✗
MCLSIZE,TabDiff,"[18.0, 38.0]","[18.0, 38.0]",✓
MCLSIZE,TabSyn,"[18.0, 38.0]","[18.0, 38.0]",✓
MCLSIZE,Tabula,"[18.0, 38.0]","[18.0, 38.0]",✓
MCLSIZE,TapTap,"[18.0, 38.0]","[18.0, 38.0]",✓
PV10MATH,REAL,"[238.5, 817.24]","[238.5, 817.24]",-
PV10MATH,CTGAN,"[238.5, 817.24]","[238.5, 816.4]",✗
PV10MATH,GReaT,"[238.5, 817.24]","[331.71, 817.24]",✗
PV10MATH,PredLLM,"[238.5, 817.24]","[238.12, 817.28]",✗
PV10MATH,REaLTabFormer,"[238.5, 817.24]","[188.77, 825.34]",✗
PV10MATH,TabDiff,"[238.5, 817.24]","[238.5, 817.23]",✗
PV10MATH,TabSyn,"[238.5, 817.24]","[246.58, 816.28]",✗
