Variable,Metric,CTGAN,GReaT,PredLLM,REaLTabFormer,TabDiff,TabSyn,Tabula,TapTap
AGE,Δ Mean (Synthetic − Real),0.11,-0.04,-0.03,0.04,0.00,0.00,-0.02,-0.03
AGE,Δ SD (Synthetic − Real),0.00,-0.00,-0.01,0.01,0.04,-0.01,-0.01,-0.01
ESCS,Δ Mean (Synthetic − Real),-0.02,0.20,0.03,0.08,0.02,0.09,0.27,0.01
ESCS,Δ SD (Synthetic − Real),0.11,-0.21,-0.08,-0.04,0.05,-0.10,-0.26,-0.06
MCLSIZE,Δ Mean (Synthetic − Real),-0.30,0.20,1.00,-0.32,-0.09,-0.16,0.03,0.50
MCLSIZE,Δ SD (Synthetic − Real),-0.19,0.02,-0.06,-0.04,0.19,0.02,0.07,-0.02
PV10MATH,Δ Mean (Synthetic − Real),-9.39,24.49,1.63,-3.83,-6.24,4.78,26.48,2.42
PV10MATH,Δ SD (Synthetic − Real),11.30,-37.34,-5.92,-14.39,35.92,-8.67,-36.86,-1.91
PV1MATH,Δ Mean (Synthetic − Real),-7.17,23.63,3.06,-8.08,2.94,-0.74,25.51,2.35
PV1MATH,Δ SD (Synthetic − Real),24.90,-36.62,-4.77,-7.81,33.40,-5.28,-37.30,-2.43
PV2MATH,Δ Mean (Synthetic − Real),18.01,25.92,2.57,-3.26,-4.35,2.74,28.46,2.76
PV2MATH,Δ SD (Synthetic − Real),14.33,-37.30,-4.49,-10.69,36.43,-7.50,-37.18,-1.10
PV3MATH,Δ Mean (Synthetic − Real),6.35,25.76,2.54,-9.44,-1.64,6.13,27.80,2.85
PV3MATH,Δ SD (Synthetic − Real),14.39,-36.28,-4.65,-17.60,28.76,-8.69,-36.28,-1.79
PV4MATH,Δ Mean (Synthetic − Real),2.19,25.03,3.32,-7.38,-7.87,2.99,29.51,1.81
PV4MATH,Δ SD (Synthetic − Real),23.00,-38.46,-4.83,-16.26,40.91,-9.58,-39.33,-2.06
PV5MATH,Δ Mean (Synthetic − Real),0.51,25.67,3.20,-14.00,0.42,-0.00,27.55,2.60
PV5MATH,Δ SD (Synthetic − Real),24.17,-35.93,-5.84,-13.48,0.89,-8.24,-38.47,-1.58
PV6MATH,Δ Mean (Synthetic − Real),13.37,24.49,1.01,-5.63,-6.13,3.20,27.86,2.29
PV6MATH,Δ SD (Synthetic − Real),16.75,-37.77,-6.80,-13.75,36.44,-9.10,-36.25,-2.01
PV7MATH,Δ Mean (Synthetic − Real),14.59,24.96,3.46,-5.81,-2.07,4.66,25.96,2.78
PV7MATH,Δ SD (Synthetic − Real),10.90,-34.35,-4.32,-9.76,38.40,-5.65,-36.83,-1.17
PV8MATH,Δ Mean (Synthetic − Real),6.46,24.48,1.86,-6.79,-4.30,3.89,26.47,3.47
PV8MATH,Δ SD (Synthetic − Real),12.84,-37.38,-4.53,-16.12,30.43,-6.75,-36.18,-0.97
PV9MATH,Δ Mean (Synthetic − Real),5.74,24.31,2.59,-7.03,-4.15,2.91,27.43,2.20
PV9MATH,Δ SD (Synthetic − Real),15.54,-36.20,-5.82,-4.97,37.70,-8.37,-35.57,-1.45
SCHSIZE,Δ Mean (Synthetic − Real),128.94,64.65,30.58,321.57,1.99,-30.30,123.23,-61.08
SCHSIZE,Δ SD (Synthetic − Real),75.98,9.03,-119.43,164.95,-21.18,-45.42,66.41,-129.88
