Variable,Metric,REAL,CTGAN,GReaT,PredLLM,REaLTabFormer,TabDiff,TabSyn,Tabula,TapTap
AGE,Mean ± SD,15.780 ± 0.285,15.887 ± 0.285,15.742 ± 0.280,15.750 ± 0.272,15.818 ± 0.297,15.781 ± 0.324,15.782 ± 0.274,15.756 ± 0.273,15.751 ± 0.276
AGE,Range,15 to 16,15 to 16,15 to 16,15 to 16,15 to 16,15 to 16,15 to 16,15 to 16,15 to 16
ESCS,Mean ± SD,0.483 ± 0.835,0.460 ± 0.948,0.686 ± 0.624,0.512 ± 0.754,0.561 ± 0.796,0.502 ± 0.882,0.573 ± 0.737,0.752 ± 0.575,0.489 ± 0.774
ESCS,Range,-2 to 2,-2 to 2,-2 to 1,-2 to 2,-3 to 2,-2 to 2,-2 to 2,-2 to 2,-2 to 1
MCLSIZE,Mean ± SD,29.478 ± 8.006,29.176 ± 7.814,29.678 ± 8.026,30.475 ± 7.951,29.155 ± 7.966,29.384 ± 8.200,29.321 ± 8.024,29.503 ± 8.080,29.974 ± 7.988
MCLSIZE,Range,18 to 38,18 to 38,18 to 38,18 to 37,14 to 41,18 to 38,18 to 38,18 to 38,18 to 37
PV10MATH,Mean ± SD,589.650 ± 100.782,580.259 ± 112.086,614.143 ± 63.440,591.281 ± 94.866,585.818 ± 86.395,583.406 ± 136.705,594.431 ± 92.115,616.130 ± 63.922,592.065 ± 98.874
PV10MATH,Range,238 to 817,238 to 816,331 to 817,238 to 813,188 to 825,238 to 817,246 to 816,382 to 841,238 to 817
PV1MATH,Mean ± SD,588.305 ± 101.412,581.138 ± 126.316,611.933 ± 64.797,591.368 ± 96.638,580.228 ± 93.604,591.244 ± 134.814,587.563 ± 96.130,613.818 ± 64.110,590.659 ± 98.984
PV1MATH,Range,237 to 943,237 to 916,363 to 816,237 to 943,188 to 943,246 to 942,249 to 936,372 to 843,206 to 816
PV2MATH,Mean ± SD,586.826 ± 102.033,604.837 ± 116.365,612.747 ± 64.733,589.397 ± 97.540,583.566 ± 91.341,582.478 ± 138.463,589.564 ± 94.530,615.289 ± 64.857,589.586 ± 100.931
PV2MATH,Range,277 to 878,277 to 856,358 to 878,276 to 835,281 to 868,277 to 878,277 to 878,365 to 861,209 to 878
PV3MATH,Mean ± SD,587.005 ± 100.635,593.351 ± 115.022,612.762 ± 64.351,589.549 ± 95.988,577.570 ± 83.032,585.365 ± 129.394,593.131 ± 91.944,614.806 ± 64.351,589.860 ± 98.840
PV3MATH,Range,282 to 838,282 to 838,355 to 831,282 to 838,289 to 809,282 to 838,290 to 837,376 to 819,282 to 838
PV4MATH,Mean ± SD,585.364 ± 104.014,587.553 ± 127.010,610.392 ± 65.552,588.683 ± 99.181,577.981 ± 87.755,577.489 ± 144.926,588.356 ± 94.436,614.875 ± 64.687,587.169 ± 101.950
PV4MATH,Range,201 to 833,201 to 833,298 to 802,201 to 833,201 to 860,201 to 833,211 to 833,381 to 850,203 to 833
PV5MATH,Mean ± SD,585.738 ± 103.278,586.250 ± 127.446,611.412 ± 67.353,588.941 ± 97.439,571.738 ± 89.800,586.159 ± 104.166,585.737 ± 95.041,613.286 ± 64.811,588.334 ± 101.696
PV5MATH,Range,206 to 850,206 to 850,331 to 806,276 to 851,278 to 870,206 to 806,211 to 806,367 to 840,206 to 850
PV6MATH,Mean ± SD,588.044 ± 101.433,601.411 ± 118.186,612.538 ± 63.667,589.059 ± 94.635,582.411 ± 87.679,581.917 ± 137.875,591.246 ± 92.333,615.903 ± 65.182,590.330 ± 99.418
PV6MATH,Range,266 to 851,266 to 851,360 to 851,265 to 844,211 to 865,266 to 851,266 to 851,391 to 859,258 to 851
PV7MATH,Mean ± SD,589.522 ± 102.242,604.112 ± 113.140,614.480 ± 67.894,592.983 ± 97.920,583.714 ± 92.478,587.454 ± 140.640,594.182 ± 96.590,615.481 ± 65.412,592.304 ± 101.070
PV7MATH,Range,238 to 876,238 to 841,348 to 876,238 to 875,194 to 872,238 to 876,239 to 874,367 to 835,231 to 881
PV8MATH,Mean ± SD,588.596 ± 102.047,595.059 ± 114.892,613.073 ± 64.665,590.452 ± 97.517,581.806 ± 85.930,584.298 ± 132.476,592.491 ± 95.297,615.070 ± 65.863,592.067 ± 101.078
PV8MATH,Range,293 to 828,293 to 828,321 to 827,293 to 829,293 to 870,293 to 828,295 to 828,375 to 841,211 to 832
PV9MATH,Mean ± SD,588.478 ± 101.088,594.220 ± 116.629,612.783 ± 64.891,591.069 ± 95.263,581.449 ± 96.122,584.326 ± 138.785,591.392 ± 92.718,615.912 ± 65.520,590.675 ± 99.640
PV9MATH,Range,269 to 841,269 to 841,372 to 841,270 to 871,186 to 887,269 to 841,269 to 841,358 to 838,269 to 883
SCHSIZE,Mean ± SD,1330.076 ± 832.751,1459.014 ± 908.731,1394.727 ± 841.785,1360.655 ± 713.317,1651.648 ± 997.703,1332.067 ± 811.570,1299.773 ± 787.334,1453.306 ± 899.164,1268.993 ± 702.869
SCHSIZE,Range,315 to 4020,315 to 4020,315 to 4020,139 to 4018,164 to 4018,315 to 4020,315 to 4020,315 to 4020,63 to 4019
