Variable,Technique,Type,Category_Adherence,Category_Proportions
IMMIG,REAL,categorical,,"1.0: 71.1%, 2.0: 10.2%, 3.0: 18.7%"
IMMIG,CTGAN,categorical,1.000,"1: 64.1%, 2: 13.3%, 3: 22.7%"
IMMIG,GReaT,categorical,1.000,"1: 74.7%, 2: 6.2%, 3: 19.0%"
IMMIG,PredLLM,categorical,1.000,"1: 81.4%, 2: 5.6%, 3: 13.0%"
IMMIG,REaLTabFormer,categorical,1.000,"1: 66.6%, 2: 10.2%, 3: 23.2%"
IMMIG,TabDiff,categorical,1.000,"1: 70.7%, 2: 9.9%, 3: 19.4%"
IMMIG,TabSyn,categorical,1.000,"1: 81.9%, 2: 6.7%, 3: 11.4%"
IMMIG,Tabula,categorical,1.000,"1: 71.0%, 2: 6.6%, 3: 22.5%"
IMMIG,TapTap,categorical,1.000,"1: 79.2%, 2: 6.8%, 3: 14.0%"
MISCED,REAL,ordinal,,"1.0: 1.2%, 2.0: 1.6%, 3.0: 3.2%, 4.0: 13.0%, 6.0: 12.9%, 7.0: 14.6%, 8.0: 24.6%, 9.0: 21.1%, 10.0: 7.8%"
MISCED,CTGAN,ordinal,1.000,"1: 1.9%, 2: 2.3%, 3: 4.3%, 4: 12.9%, 6: 11.3%, 7: 12.4%, 8: 20.9%, 9: 24.9%, 10: 9.1%"
MISCED,GReaT,ordinal,1.000,"1: 0.2%, 2: 0.7%, 3: 1.5%, 4: 7.8%, 5: 0.0%, 6: 11.5%, 7: 13.3%, 8: 34.9%, 9: 25.3%, 10: 4.9%"
MISCED,PredLLM,ordinal,1.000,"1: 0.6%, 2: 0.4%, 3: 2.5%, 4: 13.6%, 5: 0.0%, 6: 13.9%, 7: 17.7%, 8: 28.1%, 9: 19.4%, 10: 3.7%"
MISCED,REaLTabFormer,ordinal,1.000,"1: 1.1%, 2: 1.2%, 3: 12.7%, 4: 22.1%, 6: 7.8%, 7: 18.4%, 8: 15.6%, 9: 10.6%, 10: 10.4%"
MISCED,TabDiff,ordinal,1.000,"1: 1.2%, 2: 1.4%, 3: 2.8%, 4: 14.3%, 6: 12.1%, 7: 13.9%, 8: 24.0%, 9: 22.6%, 10: 7.7%"
MISCED,TabSyn,ordinal,1.000,"1: 0.3%, 2: 2.3%, 3: 1.9%, 4: 9.3%, 6: 15.3%, 7: 13.6%, 8: 23.3%, 9: 27.2%, 10: 6.8%"
MISCED,Tabula,ordinal,1.000,"1: 0.3%, 2: 0.2%, 3: 0.8%, 4: 7.5%, 6: 7.1%, 7: 12.0%, 8: 36.1%, 9: 30.9%, 10: 4.9%"
MISCED,TapTap,ordinal,1.000,"1: 0.5%, 2: 0.8%, 3: 2.1%, 4: 15.6%, 6: 13.7%, 7: 15.1%, 8: 27.6%, 9: 19.0%, 10: 5.4%"
SC064Q01TA,REAL,ordinal,,"4.0: 3.2%, 5.0: 8.4%, 6.0: 6.7%, 10.0: 12.9%, 15.0: 10.7%, 20.0: 27.8%, 25.0: 4.0%, 30.0: 8.4%, 34.0: 4.6%, 40.0: 4.7%, 70.0: 8.8%"
