Variable,Metric,CTGAN,GReaT,PredLLM,REaLTabFormer,TabDiff,TabSyn,Tabula,TapTap
ESCS → SMP,"$r_{\mathrm{REAL}} \in [\min(r_{\mathrm{SYN}}), \max(r_{\mathrm{SYN}})]$","[0.36, 0.44] ✓","[0.17, 0.31] ✗","[0.33, 0.47] ✓","[0.20, 0.48] ✓","[0.26, 0.37] ✗","[0.36, 0.45] ✓","[0.15, 0.38] ✗","[0.45, 0.50] ✗"
ESCS → SMS,"$r_{\mathrm{REAL}} \in [\min(r_{\mathrm{SYN}}), \max(r_{\mathrm{SYN}})]$","[-0.07, 0.03] ✗","[-0.05, 0.07] ✓","[0.06, 0.18] ✗","[-0.02, 0.21] ✓","[-0.01, 0.08] ✓","[0.06, 0.11] ✗","[-0.05, 0.21] ✓","[0.15, 0.22] ✗"
ESCS → SPI,"$r_{\mathrm{REAL}} \in [\min(r_{\mathrm{SYN}}), \max(r_{\mathrm{SYN}})]$","[-0.12, -0.01] ✓","[-0.12, -0.01] ✓","[-0.01, 0.13] ✗","[-0.21, -0.02] ✓","[-0.10, 0.00] ✓","[-0.18, -0.14] ✗","[-0.22, 0.07] ✓","[-0.12, -0.05] ✓"
age → SMP,"$r_{\mathrm{REAL}} \in [\min(r_{\mathrm{SYN}}), \max(r_{\mathrm{SYN}})]$","[0.07, 0.29] ✓","[-0.05, 0.12] ✓","[0.01, 0.12] ✓","[-0.06, 0.09] ✓","[0.01, 0.08] ✓","[0.02, 0.13] ✓","[-0.04, 0.09] ✓","[0.06, 0.10] ✓"
age → SMS,"$r_{\mathrm{REAL}} \in [\min(r_{\mathrm{SYN}}), \max(r_{\mathrm{SYN}})]$","[0.04, 0.14] ✗","[-0.09, 0.06] ✓","[-0.03, 0.08] ✓","[-0.14, 0.14] ✓","[-0.07, 0.00] ✗","[-0.04, 0.04] ✓","[-0.08, 0.05] ✓","[-0.03, 0.06] ✓"
age → SPI,"$r_{\mathrm{REAL}} \in [\min(r_{\mathrm{SYN}}), \max(r_{\mathrm{SYN}})]$","[-0.12, 0.15] ✓","[-0.07, 0.06] ✓","[-0.06, 0.05] ✓","[-0.10, 0.11] ✓","[-0.03, 0.10] ✓","[-0.04, 0.02] ✓","[-0.06, 0.05] ✓","[-0.12, 0.07] ✓"
classSize → SMP,"$r_{\mathrm{REAL}} \in [\min(r_{\mathrm{SYN}}), \max(r_{\mathrm{SYN}})]$","[0.07, 0.13] ✓","[-0.01, 0.14] ✓","[0.03, 0.11] ✓","[0.01, 0.14] ✓","[0.08, 0.15] ✓","[0.05, 0.16] ✓","[0.02, 0.15] ✓","[0.11, 0.17] ✗"
classSize → SMS,"$r_{\mathrm{REAL}} \in [\min(r_{\mathrm{SYN}}), \max(r_{\mathrm{SYN}})]$","[0.05, 0.11] ✗","[-0.06, 0.05] ✓","[-0.06, 0.08] ✓","[-0.01, 0.09] ✓","[0.01, 0.08] ✓","[-0.05, 0.05] ✓","[-0.05, 0.11] ✓","[0.02, 0.05] ✓"
classSize → SPI,"$r_{\mathrm{REAL}} \in [\min(r_{\mathrm{SYN}}), \max(r_{\mathrm{SYN}})]$","[-0.25, -0.18] ✗","[-0.15, -0.04] ✗","[-0.09, 0.05] ✗","[-0.37, -0.21] ✗","[-0.23, -0.11] ✓","[-0.17, -0.12] ✓","[-0.23, -0.02] ✓","[-0.18, -0.07] ✓"
gender → SMP,"$r_{\mathrm{REAL}} \in [\min(r_{\mathrm{SYN}}), \max(r_{\mathrm{SYN}})]$","[-0.08, -0.01] ✓","[0.02, 0.18] ✗","[-0.07, 0.09] ✓","[-0.02, 0.07] ✓","[0.00, 0.03] ✗","[-0.05, 0.04] ✓","[0.06, 0.30] ✗","[-0.09, 0.09] ✓"
gender → SMS,"$r_{\mathrm{REAL}} \in [\min(r_{\mathrm{SYN}}), \max(r_{\mathrm{SYN}})]$","[0.02, 0.08] ✗","[0.00, 0.12] ✓","[0.05, 0.13] ✓","[0.04, 0.13] ✓","[0.10, 0.14] ✓","[0.06, 0.12] ✓","[0.04, 0.23] ✓","[0.04, 0.12] ✓"
gender → SPI,"$r_{\mathrm{REAL}} \in [\min(r_{\mathrm{SYN}}), \max(r_{\mathrm{SYN}})]$","[-0.08, 0.06] ✓","[-0.11, 0.04] ✓","[-0.14, -0.04] ✗","[-0.10, 0.07] ✓","[-0.06, 0.00] ✓","[-0.04, 0.04] ✓","[-0.23, 0.03] ✓","[-0.06, 0.01] ✓"
