Variable,Metric,REAL,CTGAN,GReaT,PredLLM,REaLTabFormer,TabDiff,TabSyn,Tabula,TapTap
AGE,Mean,15.78,15.89,15.76,15.75,15.79,15.78,15.78,15.76,15.75
AGE,SD,0.28,0.29,0.29,0.27,0.23,0.32,0.27,0.27,0.28
AGE,Range,15 to 16,15 to 16,15 to 16,15 to 16,15 to 16,15 to 16,15 to 16,15 to 16,15 to 16
ESCS,Mean,0.48,0.46,0.62,0.51,0.38,0.50,0.57,0.75,0.49
ESCS,SD,0.84,0.95,0.68,0.75,0.82,0.88,0.74,0.58,0.77
ESCS,Range,-2 to 2,-2 to 2,-2 to 2,-2 to 2,-3 to 2,-2 to 2,-2 to 2,-2 to 2,-2 to 1
MCLSIZE,Mean,29.48,29.18,29.46,30.47,29.54,29.38,29.32,29.50,29.97
MCLSIZE,SD,8.01,7.81,8.02,7.95,8.21,8.20,8.02,8.08,7.99
MCLSIZE,Range,18 to 38,18 to 38,18 to 38,18 to 37,14 to 40,18 to 38,18 to 38,18 to 38,18 to 37
PV10MATH,Mean,589.65,580.26,609.70,591.28,594.26,583.41,594.43,616.13,592.07
PV10MATH,SD,100.78,112.09,69.25,94.87,89.03,136.71,92.12,63.92,98.87
PV10MATH,Range,238 to 817,238 to 816,270 to 817,238 to 813,288 to 881,238 to 817,246 to 816,382 to 841,238 to 817
PV1MATH,Mean,588.30,581.14,608.74,591.37,582.76,591.24,587.56,613.82,590.66
PV1MATH,SD,101.41,126.32,70.09,96.64,97.57,134.81,96.13,64.11,98.98
PV1MATH,Range,237 to 943,237 to 916,246 to 816,237 to 943,249 to 868,246 to 942,249 to 936,372 to 843,206 to 816
PV2MATH,Mean,586.83,604.84,608.35,589.40,580.19,582.48,589.56,615.29,589.59
PV2MATH,SD,102.03,116.36,68.57,97.54,99.63,138.46,94.53,64.86,100.93
PV2MATH,Range,277 to 878,277 to 856,291 to 835,276 to 835,195 to 888,277 to 878,277 to 878,365 to 861,209 to 878
PV3MATH,Mean,587.01,593.35,606.63,589.55,592.79,585.36,593.13,614.81,589.86
PV3MATH,SD,100.63,115.02,68.75,95.99,92.45,129.39,91.94,64.35,98.84
PV3MATH,Range,282 to 838,282 to 838,317 to 838,282 to 838,294 to 882,282 to 838,290 to 837,376 to 819,282 to 838
PV4MATH,Mean,585.36,587.55,606.29,588.68,591.28,577.49,588.36,614.88,587.17
PV4MATH,SD,104.01,127.01,70.29,99.18,103.42,144.93,94.44,64.69,101.95
PV4MATH,Range,201 to 833,201 to 833,298 to 833,201 to 833,274 to 859,201 to 833,211 to 833,381 to 850,203 to 833
PV5MATH,Mean,585.74,586.25,607.71,588.94,579.60,586.16,585.74,613.29,588.33
PV5MATH,SD,103.28,127.45,72.63,97.44,88.61,104.17,95.04,64.81,101.70
PV5MATH,Range,206 to 850,206 to 850,282 to 850,276 to 851,279 to 884,206 to 806,211 to 806,367 to 840,206 to 850
PV6MATH,Mean,588.04,601.41,607.72,589.06,590.70,581.92,591.25,615.90,590.33
PV6MATH,SD,101.43,118.19,68.55,94.63,99.41,137.87,92.33,65.18,99.42
PV6MATH,Range,266 to 851,266 to 851,266 to 851,265 to 844,285 to 866,266 to 851,266 to 851,391 to 859,258 to 851
PV7MATH,Mean,589.52,604.11,610.95,592.98,593.68,587.45,594.18,615.48,592.30
PV7MATH,SD,102.24,113.14,71.53,97.92,99.72,140.64,96.59,65.41,101.07
PV7MATH,Range,238 to 876,238 to 841,238 to 876,238 to 875,248 to 876,238 to 876,239 to 874,367 to 835,231 to 881
PV8MATH,Mean,588.60,595.06,610.76,590.45,583.58,584.30,592.49,615.07,592.07
PV8MATH,SD,102.05,114.89,70.17,97.52,97.00,132.48,95.30,65.86,101.08
PV8MATH,Range,293 to 828,293 to 828,308 to 813,293 to 829,285 to 879,293 to 828,295 to 828,375 to 841,211 to 832
PV9MATH,Mean,588.48,594.22,608.06,591.07,587.06,584.33,591.39,615.91,590.67
PV9MATH,SD,101.09,116.63,68.51,95.26,88.52,138.79,92.72,65.52,99.64
PV9MATH,Range,269 to 841,269 to 841,308 to 841,270 to 871,218 to 869,269 to 841,269 to 841,358 to 838,269 to 883
SCHSIZE,Mean,1330.08,1459.01,1339.41,1360.66,1385.07,1332.07,1299.77,1453.31,1268.99
SCHSIZE,SD,832.75,908.73,801.70,713.32,869.49,811.57,787.33,899.16,702.87
SCHSIZE,Range,315 to 4020,315 to 4020,315 to 4020,139 to 4018,214 to 4018,315 to 4020,315 to 4020,315 to 4020,63 to 4019
