Variable,Technique,Missing_%
AGE,REAL,0.000
AGE,CTGAN,0.000
AGE,GReaT,0.000
AGE,PredLLM,0.000
AGE,REaLTabFormer,0.000
AGE,TabDiff,0.000
AGE,TabSyn,0.000
AGE,Tabula,0.000
AGE,TapTap,0.000
ESCS,REAL,0.000
ESCS,CTGAN,0.000
ESCS,GReaT,0.000
ESCS,PredLLM,0.000
ESCS,REaLTabFormer,0.000
ESCS,TabDiff,0.000
ESCS,TabSyn,0.000
ESCS,Tabula,0.000
ESCS,TapTap,0.000
IMMIG,REAL,0.000
IMMIG,CTGAN,0.000
IMMIG,GReaT,0.000
IMMIG,PredLLM,0.000
IMMIG,REaLTabFormer,0.000
IMMIG,TabDiff,0.000
IMMIG,TabSyn,0.000
IMMIG,Tabula,0.000
IMMIG,TapTap,0.000
MCLSIZE,REAL,0.000
MCLSIZE,CTGAN,0.000
MCLSIZE,GReaT,0.000
MCLSIZE,PredLLM,0.000
MCLSIZE,REaLTabFormer,0.000
MCLSIZE,TabDiff,0.000
MCLSIZE,TabSyn,0.000
MCLSIZE,Tabula,0.000
MCLSIZE,TapTap,0.000
MISCED,REAL,0.000
MISCED,CTGAN,0.000
MISCED,GReaT,0.000
MISCED,PredLLM,0.000
MISCED,REaLTabFormer,0.000
MISCED,TabDiff,0.000
MISCED,TabSyn,0.000
MISCED,Tabula,0.000
MISCED,TapTap,0.000
PV10MATH,REAL,0.000
PV10MATH,CTGAN,0.000
PV10MATH,GReaT,0.000
PV10MATH,PredLLM,0.000
PV10MATH,REaLTabFormer,0.000
PV10MATH,TabDiff,0.000
PV10MATH,TabSyn,0.000
PV10MATH,Tabula,0.000
PV10MATH,TapTap,0.000
PV1MATH,REAL,0.000
PV1MATH,CTGAN,0.000
PV1MATH,GReaT,0.000
PV1MATH,PredLLM,0.000
PV1MATH,REaLTabFormer,0.000
PV1MATH,TabDiff,0.000
PV1MATH,TabSyn,0.000
PV1MATH,Tabula,0.000
PV1MATH,TapTap,0.000
PV2MATH,REAL,0.000
PV2MATH,CTGAN,0.000
PV2MATH,GReaT,0.000
PV2MATH,PredLLM,0.000
PV2MATH,REaLTabFormer,0.000
PV2MATH,TabDiff,0.000
PV2MATH,TabSyn,0.000
PV2MATH,Tabula,0.000
PV2MATH,TapTap,0.000
PV3MATH,REAL,0.000
PV3MATH,CTGAN,0.000
PV3MATH,GReaT,0.000
PV3MATH,PredLLM,0.000
PV3MATH,REaLTabFormer,0.000
PV3MATH,TabDiff,0.000
PV3MATH,TabSyn,0.000
PV3MATH,Tabula,0.000
PV3MATH,TapTap,0.000
PV4MATH,REAL,0.000
PV4MATH,CTGAN,0.000
PV4MATH,GReaT,0.000
PV4MATH,PredLLM,0.000
PV4MATH,REaLTabFormer,0.000
PV4MATH,TabDiff,0.000
PV4MATH,TabSyn,0.000
PV4MATH,Tabula,0.000
PV4MATH,TapTap,0.000
PV5MATH,REAL,0.000
PV5MATH,CTGAN,0.000
PV5MATH,GReaT,0.000
PV5MATH,PredLLM,0.000
PV5MATH,REaLTabFormer,0.000
PV5MATH,TabDiff,0.000
PV5MATH,TabSyn,0.000
PV5MATH,Tabula,0.000
PV5MATH,TapTap,0.000
PV6MATH,REAL,0.000
PV6MATH,CTGAN,0.000
PV6MATH,GReaT,0.000
PV6MATH,PredLLM,0.000
PV6MATH,REaLTabFormer,0.000
PV6MATH,TabDiff,0.000
PV6MATH,TabSyn,0.000
PV6MATH,Tabula,0.000
PV6MATH,TapTap,0.000
PV7MATH,REAL,0.000
PV7MATH,CTGAN,0.000
PV7MATH,GReaT,0.000
PV7MATH,PredLLM,0.000
PV7MATH,REaLTabFormer,0.000
PV7MATH,TabDiff,0.000
PV7MATH,TabSyn,0.000
PV7MATH,Tabula,0.000
PV7MATH,TapTap,0.000
PV8MATH,REAL,0.000
PV8MATH,CTGAN,0.000
PV8MATH,GReaT,0.000
PV8MATH,PredLLM,0.000
PV8MATH,REaLTabFormer,0.000
PV8MATH,TabDiff,0.000
PV8MATH,TabSyn,0.000
PV8MATH,Tabula,0.000
PV8MATH,TapTap,0.000
PV9MATH,REAL,0.000
PV9MATH,CTGAN,0.000
PV9MATH,GReaT,0.000
PV9MATH,PredLLM,0.000
PV9MATH,REaLTabFormer,0.000
PV9MATH,TabDiff,0.000
PV9MATH,TabSyn,0.000
PV9MATH,Tabula,0.000
PV9MATH,TapTap,0.000
SC064Q01TA,REAL,0.000
SC064Q01TA,CTGAN,0.000
SC064Q01TA,GReaT,0.000
SC064Q01TA,PredLLM,0.000
SC064Q01TA,REaLTabFormer,0.000
SC064Q01TA,TabDiff,0.000
SC064Q01TA,TabSyn,0.000
SC064Q01TA,Tabula,0.000
SC064Q01TA,TapTap,0.000
SC064Q02TA,REAL,0.000
SC064Q02TA,CTGAN,0.000
SC064Q02TA,GReaT,0.000
SC064Q02TA,PredLLM,0.000
SC064Q02TA,REaLTabFormer,0.000
SC064Q02TA,TabDiff,0.000
SC064Q02TA,TabSyn,0.000
SC064Q02TA,Tabula,0.000
SC064Q02TA,TapTap,0.000
SC064Q03TA,REAL,0.000
SC064Q03TA,CTGAN,0.000
SC064Q03TA,GReaT,0.000
SC064Q03TA,PredLLM,0.000
SC064Q03TA,REaLTabFormer,0.000
SC064Q03TA,TabDiff,0.000
SC064Q03TA,TabSyn,0.000
SC064Q03TA,Tabula,0.000
SC064Q03TA,TapTap,0.000
SC064Q04NA,REAL,0.000
SC064Q04NA,CTGAN,0.000
SC064Q04NA,GReaT,0.000
SC064Q04NA,PredLLM,0.000
SC064Q04NA,REaLTabFormer,0.000
SC064Q04NA,TabDiff,0.000
SC064Q04NA,TabSyn,0.000
SC064Q04NA,Tabula,0.000
SC064Q04NA,TapTap,0.000
SC064Q05WA,REAL,0.000
SC064Q05WA,CTGAN,0.000
SC064Q05WA,GReaT,0.000
SC064Q05WA,PredLLM,0.000
SC064Q05WA,REaLTabFormer,0.000
SC064Q05WA,TabDiff,0.000
SC064Q05WA,TabSyn,0.000
SC064Q05WA,Tabula,0.000
SC064Q05WA,TapTap,0.000
SC064Q06WA,REAL,0.000
SC064Q06WA,CTGAN,0.000
SC064Q06WA,GReaT,0.000
SC064Q06WA,PredLLM,0.000
SC064Q06WA,REaLTabFormer,0.000
SC064Q06WA,TabDiff,0.000
SC064Q06WA,TabSyn,0.000
SC064Q06WA,Tabula,0.000
SC064Q06WA,TapTap,0.000
SC064Q07WA,REAL,0.000
SC064Q07WA,CTGAN,0.000
SC064Q07WA,GReaT,0.000
SC064Q07WA,PredLLM,0.000
SC064Q07WA,REaLTabFormer,0.000
SC064Q07WA,TabDiff,0.000
SC064Q07WA,TabSyn,0.000
SC064Q07WA,Tabula,0.000
SC064Q07WA,TapTap,0.000
SCHSIZE,REAL,0.000
SCHSIZE,CTGAN,0.000
SCHSIZE,GReaT,0.000
SCHSIZE,PredLLM,0.000
SCHSIZE,REaLTabFormer,0.000
SCHSIZE,TabDiff,0.000
SCHSIZE,TabSyn,0.000
SCHSIZE,Tabula,0.000
SCHSIZE,TapTap,0.000
ST001D01T,REAL,0.000
ST001D01T,CTGAN,0.000
ST001D01T,GReaT,0.000
ST001D01T,PredLLM,0.000
ST001D01T,REaLTabFormer,0.000
ST001D01T,TabDiff,0.000
ST001D01T,TabSyn,0.000
ST001D01T,Tabula,0.000
ST001D01T,TapTap,0.000
ST004D01T,REAL,0.000
ST004D01T,CTGAN,0.000
ST004D01T,GReaT,0.000
ST004D01T,PredLLM,0.000
ST004D01T,REaLTabFormer,0.000
ST004D01T,TabDiff,0.000
ST004D01T,TabSyn,0.000
ST004D01T,Tabula,0.000
ST004D01T,TapTap,0.000
ST268Q01JA,REAL,0.000
ST268Q01JA,CTGAN,0.000
ST268Q01JA,GReaT,0.000
ST268Q01JA,PredLLM,0.000
ST268Q01JA,REaLTabFormer,0.000
ST268Q01JA,TabDiff,0.000
ST268Q01JA,TabSyn,0.000
ST268Q01JA,Tabula,0.000
ST268Q01JA,TapTap,0.000
ST268Q04JA,REAL,0.000
ST268Q04JA,CTGAN,0.000
ST268Q04JA,GReaT,0.000
ST268Q04JA,PredLLM,0.000
ST268Q04JA,REaLTabFormer,0.000
ST268Q04JA,TabDiff,0.000
ST268Q04JA,TabSyn,0.000
ST268Q04JA,Tabula,0.000
ST268Q04JA,TapTap,0.000
ST268Q07JA,REAL,0.000
ST268Q07JA,CTGAN,0.000
ST268Q07JA,GReaT,0.000
ST268Q07JA,PredLLM,0.000
ST268Q07JA,REaLTabFormer,0.000
ST268Q07JA,TabDiff,0.000
ST268Q07JA,TabSyn,0.000
