Construct,Technique,alpha_Range,rhoC_Range,rhoA_Range,AVE_Range
SPI,CTGAN,0.070,0.190,0.100,0.020
SPI,GReaT,0.060,0.260,0.270,0.030
SPI,Tabula,0.030,0.130,0.060,0.050
SPI,TapTap,0.050,0.150,0.040,0.040
SPI,PredLLM,0.080,0.550,0.540,0.110
SPI,TabSyn,0.090,0.180,0.060,0.010
SPI,TabDiff,0.050,0.150,0.050,0.010
SPI,REaLTabFormer,0.190,0.500,0.310,0.070
SMS,CTGAN,0.030,0.020,0.040,0.020
SMS,GReaT,0.060,0.030,0.140,0.030
SMS,Tabula,0.050,0.010,0.120,0.020
SMS,TapTap,0.030,0.020,0.070,0.030
SMS,PredLLM,0.050,0.020,0.070,0.030
SMS,TabSyn,0.060,0.030,0.070,0.030
SMS,TabDiff,0.050,0.030,0.030,0.040
SMS,REaLTabFormer,0.130,0.050,0.160,0.090
SMP,CTGAN,0.010,0.000,0.010,0.040
SMP,GReaT,0.000,0.010,0.000,0.010
SMP,Tabula,0.000,0.000,0.000,0.010
SMP,TapTap,0.000,0.000,0.000,0.010
SMP,PredLLM,0.000,0.000,0.000,0.010
SMP,TabSyn,0.000,0.000,0.000,0.000
SMP,TabDiff,0.010,0.000,0.010,0.010
SMP,REaLTabFormer,0.000,0.010,0.000,0.020
