Indicator,CTGAN,GReaT,Tabula,TapTap,PredLLM,TabSyn,TabDiff,REaLTabFormer
PV10MATH,0.088,0.021,0.013,0.010,0.011,0.007,0.284,0.021
PV1MATH,0.081,0.021,0.012,0.012,0.003,0.003,0.209,0.022
PV2MATH,0.090,0.027,0.013,0.011,0.002,0.003,0.287,0.042
PV3MATH,0.078,0.026,0.010,0.012,0.003,0.001,0.255,0.037
PV4MATH,0.080,0.034,0.009,0.012,0.005,0.008,0.273,0.027
PV5MATH,0.075,0.028,0.013,0.011,0.007,0.006,0.025,0.036
PV6MATH,0.099,0.029,0.013,0.010,0.007,0.003,0.306,0.022
PV7MATH,0.091,0.024,0.004,0.013,0.001,0.007,0.298,0.040
PV8MATH,0.085,0.027,0.013,0.012,0.009,0.004,0.272,0.026
PV9MATH,0.078,0.022,0.009,0.012,0.007,0.002,0.267,0.026
ST268Q01JA,0.086,0.029,0.010,0.014,0.014,0.054,0.016,0.000
ST268Q04JA,0.070,0.013,0.082,0.017,0.013,0.002,0.005,0.010
ST268Q07JA,0.153,0.053,0.198,0.015,0.018,0.073,0.041,0.027
SC064Q01TA,0.041,0.012,0.669,0.147,0.247,0.068,0.088,0.012
SC064Q02TA,0.092,0.088,0.602,0.204,0.523,0.019,0.073,0.109
SC064Q03TA,0.100,0.133,0.605,0.061,0.046,0.029,0.041,0.019
SC064Q04NA,0.019,0.030,0.236,0.154,0.182,0.057,0.084,0.102
SC064Q05WA,0.015,0.064,0.510,0.171,0.234,0.073,0.129,0.035
SC064Q06WA,0.060,0.071,0.021,0.000,0.345,0.013,0.011,0.085
SC064Q07WA,0.122,0.117,0.045,0.048,0.291,0.006,0.024,0.187
