Variable,Metric,CTGAN,GReaT,PredLLM,REaLTabFormer,TabDiff,TabSyn,Tabula,TapTap
AGE,Δ Mean (Synthetic − Real),0.11,-0.02,-0.03,0.01,0.00,0.00,-0.02,-0.03
AGE,Δ SD (Synthetic − Real),0.00,0.00,-0.01,-0.05,0.04,-0.01,-0.01,-0.01
ESCS,Δ Mean (Synthetic − Real),-0.02,0.14,0.03,-0.11,0.02,0.09,0.24,0.01
ESCS,Δ SD (Synthetic − Real),0.11,-0.15,-0.08,-0.01,0.05,-0.10,-0.20,-0.06
MCLSIZE,Δ Mean (Synthetic − Real),-0.30,-0.01,1.00,0.06,-0.09,-0.16,0.16,0.50
MCLSIZE,Δ SD (Synthetic − Real),-0.19,0.02,-0.06,0.20,0.19,0.02,0.06,-0.02
PV10MATH,Δ Mean (Synthetic − Real),-9.39,20.05,1.63,4.61,-6.24,4.78,32.33,2.42
PV10MATH,Δ SD (Synthetic − Real),11.30,-31.53,-5.92,-11.75,35.92,-8.67,-40.46,-1.91
PV1MATH,Δ Mean (Synthetic − Real),-7.17,20.44,3.06,-5.54,2.94,-0.74,32.93,2.35
PV1MATH,Δ SD (Synthetic − Real),24.90,-31.32,-4.77,-3.84,33.40,-5.28,-40.00,-2.43
PV2MATH,Δ Mean (Synthetic − Real),18.01,21.52,2.57,-6.63,-4.35,2.74,35.07,2.76
PV2MATH,Δ SD (Synthetic − Real),14.33,-33.47,-4.49,-2.40,36.43,-7.50,-41.30,-1.10
PV3MATH,Δ Mean (Synthetic − Real),6.35,19.63,2.54,5.79,-1.64,6.13,34.83,2.85
PV3MATH,Δ SD (Synthetic − Real),14.39,-31.89,-4.65,-8.19,28.76,-8.69,-40.01,-1.79
PV4MATH,Δ Mean (Synthetic − Real),2.19,20.92,3.32,5.92,-7.87,2.99,35.82,1.81
PV4MATH,Δ SD (Synthetic − Real),23.00,-33.73,-4.83,-0.59,40.91,-9.58,-43.25,-2.06
PV5MATH,Δ Mean (Synthetic − Real),0.51,21.97,3.20,-6.13,0.42,-0.00,35.00,2.60
PV5MATH,Δ SD (Synthetic − Real),24.17,-30.65,-5.84,-14.67,0.89,-8.24,-42.49,-1.58
PV6MATH,Δ Mean (Synthetic − Real),13.37,19.68,1.01,2.65,-6.13,3.20,33.47,2.29
PV6MATH,Δ SD (Synthetic − Real),16.75,-32.88,-6.80,-2.02,36.44,-9.10,-41.02,-2.01
PV7MATH,Δ Mean (Synthetic − Real),14.59,21.43,3.46,4.16,-2.07,4.66,32.12,2.78
PV7MATH,Δ SD (Synthetic − Real),10.90,-30.71,-4.32,-2.53,38.40,-5.65,-41.69,-1.17
PV8MATH,Δ Mean (Synthetic − Real),6.46,22.16,1.86,-5.02,-4.30,3.89,33.30,3.47
PV8MATH,Δ SD (Synthetic − Real),12.84,-31.88,-4.53,-5.05,30.43,-6.75,-41.22,-0.97
PV9MATH,Δ Mean (Synthetic − Real),5.74,19.58,2.59,-1.41,-4.15,2.91,33.48,2.20
PV9MATH,Δ SD (Synthetic − Real),15.54,-32.58,-5.82,-12.57,37.70,-8.37,-40.11,-1.45
SCHSIZE,Δ Mean (Synthetic − Real),128.94,9.33,30.58,55.00,1.99,-30.30,52.80,-61.08
SCHSIZE,Δ SD (Synthetic − Real),75.98,-31.05,-119.43,36.74,-21.18,-45.42,17.76,-129.88
