Variable,Metric,REAL,CTGAN,GReaT,PredLLM,REaLTabFormer,TabDiff,TabSyn,Tabula,TapTap
AGE,Mean,15.78,15.89,15.76,15.75,15.79,15.78,15.78,15.76,15.75
AGE,SD,0.28,0.29,0.29,0.27,0.23,0.32,0.27,0.28,0.28
AGE,Range,15 to 16,15 to 16,15 to 16,15 to 16,15 to 16,15 to 16,15 to 16,15 to 16,15 to 16
ESCS,Mean,0.48,0.46,0.62,0.51,0.38,0.50,0.57,0.72,0.49
ESCS,SD,0.84,0.95,0.68,0.75,0.83,0.88,0.74,0.64,0.77
ESCS,Range,-2 to 2,-2 to 2,-2 to 2,-2 to 2,-3 to 2,-2 to 2,-2 to 2,-2 to 1,-2 to 1
MCLSIZE,Mean,29.48,29.18,29.46,30.47,29.58,29.38,29.32,29.64,29.97
MCLSIZE,SD,8.01,7.81,8.02,7.95,8.16,8.20,8.02,8.07,7.99
MCLSIZE,Range,18 to 38,18 to 38,18 to 38,18 to 37,14 to 40,18 to 38,18 to 38,18 to 38,18 to 37
PV10MATH,Mean,589.65,580.26,609.70,591.28,595.66,583.41,594.43,621.98,592.07
PV10MATH,SD,100.78,112.09,69.25,94.87,88.82,136.71,92.12,60.32,98.87
PV10MATH,Range,238 to 817,238 to 816,270 to 817,238 to 813,288 to 881,238 to 817,246 to 816,407 to 861,238 to 817
PV1MATH,Mean,588.30,581.14,608.74,591.37,584.53,591.24,587.56,621.23,590.66
PV1MATH,SD,101.41,126.32,70.09,96.64,96.80,134.81,96.13,61.42,98.98
PV1MATH,Range,237 to 943,237 to 916,246 to 816,237 to 943,249 to 868,246 to 942,249 to 936,397 to 835,206 to 816
PV2MATH,Mean,586.83,604.84,608.35,589.40,581.60,582.48,589.56,621.89,589.59
PV2MATH,SD,102.03,116.36,68.57,97.54,99.58,138.46,94.53,60.74,100.93
PV2MATH,Range,277 to 878,277 to 856,291 to 835,276 to 835,195 to 888,277 to 878,277 to 878,391 to 843,209 to 878
PV3MATH,Mean,587.01,593.35,606.63,589.55,594.41,585.36,593.13,621.84,589.86
PV3MATH,SD,100.63,115.02,68.75,95.99,92.38,129.39,91.94,60.62,98.84
PV3MATH,Range,282 to 838,282 to 838,317 to 838,282 to 838,294 to 882,282 to 838,290 to 837,380 to 838,282 to 838
PV4MATH,Mean,585.36,587.55,606.29,588.68,592.24,577.49,588.36,621.19,587.17
PV4MATH,SD,104.01,127.01,70.29,99.18,102.73,144.93,94.44,60.76,101.95
PV4MATH,Range,201 to 833,201 to 833,298 to 833,201 to 833,274 to 859,201 to 833,211 to 833,418 to 861,203 to 833
PV5MATH,Mean,585.74,586.25,607.71,588.94,580.25,586.16,585.74,620.73,588.33
PV5MATH,SD,103.28,127.45,72.63,97.44,88.51,104.17,95.04,60.79,101.70
PV5MATH,Range,206 to 850,206 to 850,282 to 850,276 to 851,279 to 884,206 to 806,211 to 806,393 to 840,206 to 850
PV6MATH,Mean,588.04,601.41,607.72,589.06,592.52,581.92,591.25,621.51,590.33
PV6MATH,SD,101.43,118.19,68.55,94.63,98.96,137.87,92.33,60.42,99.42
PV6MATH,Range,266 to 851,266 to 851,266 to 851,265 to 844,285 to 866,266 to 851,266 to 851,405 to 811,258 to 851
PV7MATH,Mean,589.52,604.11,610.95,592.98,595.10,587.45,594.18,621.64,592.30
PV7MATH,SD,102.24,113.14,71.53,97.92,98.17,140.64,96.59,60.55,101.07
PV7MATH,Range,238 to 876,238 to 841,238 to 876,238 to 875,248 to 876,238 to 876,239 to 874,388 to 824,231 to 881
PV8MATH,Mean,588.60,595.06,610.76,590.45,585.05,584.30,592.49,621.90,592.07
PV8MATH,SD,102.05,114.89,70.17,97.52,96.31,132.48,95.30,60.82,101.08
PV8MATH,Range,293 to 828,293 to 828,308 to 813,293 to 829,285 to 885,293 to 828,295 to 828,405 to 845,211 to 832
PV9MATH,Mean,588.48,594.22,608.06,591.07,588.38,584.33,591.39,621.96,590.67
PV9MATH,SD,101.09,116.63,68.51,95.26,87.74,138.79,92.72,60.98,99.64
PV9MATH,Range,269 to 841,269 to 841,308 to 841,270 to 871,216 to 869,269 to 841,269 to 841,420 to 819,269 to 883
SCHSIZE,Mean,1330.08,1459.01,1339.41,1360.66,1398.03,1332.07,1299.77,1382.88,1268.99
SCHSIZE,SD,832.75,908.73,801.70,713.32,880.46,811.57,787.33,850.51,702.87
SCHSIZE,Range,315 to 4020,315 to 4020,315 to 4020,139 to 4018,214 to 4018,315 to 4020,315 to 4020,1 to 4020,63 to 4019
