Variable,Metric,REAL,CTGAN,GReaT,PredLLM,REaLTabFormer,TabDiff,TabSyn,Tabula,TapTap
AGE,Mean ± SD,15.780 ± 0.285,15.887 ± 0.285,15.760 ± 0.286,15.750 ± 0.272,15.791 ± 0.233,15.781 ± 0.324,15.782 ± 0.274,15.763 ± 0.277,15.751 ± 0.276
AGE,Range,15 to 16,15 to 16,15 to 16,15 to 16,15 to 16,15 to 16,15 to 16,15 to 16,15 to 16
ESCS,Mean ± SD,0.483 ± 0.835,0.460 ± 0.948,0.621 ± 0.680,0.512 ± 0.754,0.378 ± 0.826,0.502 ± 0.882,0.573 ± 0.737,0.723 ± 0.638,0.489 ± 0.774
ESCS,Range,-2 to 2,-2 to 2,-2 to 2,-2 to 2,-3 to 2,-2 to 2,-2 to 2,-2 to 1,-2 to 1
MCLSIZE,Mean ± SD,29.478 ± 8.006,29.176 ± 7.814,29.465 ± 8.023,30.475 ± 7.951,29.582 ± 8.164,29.384 ± 8.200,29.321 ± 8.024,29.638 ± 8.069,29.974 ± 7.988
MCLSIZE,Range,18 to 38,18 to 38,18 to 38,18 to 37,14 to 40,18 to 38,18 to 38,18 to 38,18 to 37
PV10MATH,Mean ± SD,589.650 ± 100.782,580.259 ± 112.086,609.697 ± 69.251,591.281 ± 94.866,595.658 ± 88.815,583.406 ± 136.705,594.431 ± 92.115,621.979 ± 60.323,592.065 ± 98.874
PV10MATH,Range,238 to 817,238 to 816,270 to 817,238 to 813,288 to 881,238 to 817,246 to 816,407 to 861,238 to 817
PV1MATH,Mean ± SD,588.305 ± 101.412,581.138 ± 126.316,608.742 ± 70.090,591.368 ± 96.638,584.525 ± 96.799,591.244 ± 134.814,587.563 ± 96.130,621.230 ± 61.416,590.659 ± 98.984
PV1MATH,Range,237 to 943,237 to 916,246 to 816,237 to 943,249 to 868,246 to 942,249 to 936,397 to 835,206 to 816
PV2MATH,Mean ± SD,586.826 ± 102.033,604.837 ± 116.365,608.350 ± 68.567,589.397 ± 97.540,581.595 ± 99.577,582.478 ± 138.463,589.564 ± 94.530,621.893 ± 60.737,589.586 ± 100.931
PV2MATH,Range,277 to 878,277 to 856,291 to 835,276 to 835,195 to 888,277 to 878,277 to 878,391 to 843,209 to 878
PV3MATH,Mean ± SD,587.005 ± 100.635,593.351 ± 115.022,606.630 ± 68.746,589.549 ± 95.988,594.410 ± 92.377,585.365 ± 129.394,593.131 ± 91.944,621.837 ± 60.621,589.860 ± 98.840
PV3MATH,Range,282 to 838,282 to 838,317 to 838,282 to 838,294 to 882,282 to 838,290 to 837,380 to 838,282 to 838
PV4MATH,Mean ± SD,585.364 ± 104.014,587.553 ± 127.010,606.286 ± 70.289,588.683 ± 99.181,592.244 ± 102.731,577.489 ± 144.926,588.356 ± 94.436,621.187 ± 60.759,587.169 ± 101.950
PV4MATH,Range,201 to 833,201 to 833,298 to 833,201 to 833,274 to 859,201 to 833,211 to 833,418 to 861,203 to 833
PV5MATH,Mean ± SD,585.738 ± 103.278,586.250 ± 127.446,607.712 ± 72.630,588.941 ± 97.439,580.245 ± 88.510,586.159 ± 104.166,585.737 ± 95.041,620.735 ± 60.786,588.334 ± 101.696
PV5MATH,Range,206 to 850,206 to 850,282 to 850,276 to 851,279 to 884,206 to 806,211 to 806,393 to 840,206 to 850
PV6MATH,Mean ± SD,588.044 ± 101.433,601.411 ± 118.186,607.721 ± 68.550,589.059 ± 94.635,592.519 ± 98.961,581.917 ± 137.875,591.246 ± 92.333,621.509 ± 60.416,590.330 ± 99.418
PV6MATH,Range,266 to 851,266 to 851,266 to 851,265 to 844,285 to 866,266 to 851,266 to 851,405 to 811,258 to 851
PV7MATH,Mean ± SD,589.522 ± 102.242,604.112 ± 113.140,610.951 ± 71.535,592.983 ± 97.920,595.103 ± 98.170,587.454 ± 140.640,594.182 ± 96.590,621.639 ± 60.551,592.304 ± 101.070
PV7MATH,Range,238 to 876,238 to 841,238 to 876,238 to 875,248 to 876,238 to 876,239 to 874,388 to 824,231 to 881
PV8MATH,Mean ± SD,588.596 ± 102.047,595.059 ± 114.892,610.757 ± 70.171,590.452 ± 97.517,585.047 ± 96.311,584.298 ± 132.476,592.491 ± 95.297,621.900 ± 60.824,592.067 ± 101.078
PV8MATH,Range,293 to 828,293 to 828,308 to 813,293 to 829,285 to 885,293 to 828,295 to 828,405 to 845,211 to 832
PV9MATH,Mean ± SD,588.478 ± 101.088,594.220 ± 116.629,608.062 ± 68.507,591.069 ± 95.263,588.383 ± 87.742,584.326 ± 138.785,591.392 ± 92.718,621.958 ± 60.978,590.675 ± 99.640
PV9MATH,Range,269 to 841,269 to 841,308 to 841,270 to 871,216 to 869,269 to 841,269 to 841,420 to 819,269 to 883
SCHSIZE,Mean ± SD,1330.076 ± 832.751,1459.014 ± 908.731,1339.411 ± 801.700,1360.655 ± 713.317,1398.025 ± 880.457,1332.067 ± 811.570,1299.773 ± 787.334,1382.880 ± 850.514,1268.993 ± 702.869
SCHSIZE,Range,315 to 4020,315 to 4020,315 to 4020,139 to 4018,214 to 4018,315 to 4020,315 to 4020,1 to 4020,63 to 4019
