Construct,Metric,CTGAN,GReaT,Tabula,TapTap,PredLLM,TabSyn,TabDiff,REaLTabFormer
SPI,Absolute error (α),0.070,0.020,0.200,0.010,0.050,0.040,0.040,0.040
SPI,Absolute error (ρC),0.040,0.090,0.300,0.080,0.020,0.020,0.040,0.060
SPI,Absolute error (ρA),0.190,0.140,0.010,0.040,0.220,0.060,0.020,0.120
SPI,Absolute error (AVE),0.060,0.000,0.010,0.010,0.030,0.010,0.000,0.030
SMS,Absolute error (α),0.010,0.050,0.420,0.000,0.000,0.090,0.040,0.040
SMS,Absolute error (ρC),0.010,0.020,0.170,0.000,0.010,0.040,0.020,0.020
SMS,Absolute error (ρA),0.090,0.010,0.490,0.040,0.040,0.050,0.020,0.030
SMS,Absolute error (AVE),0.020,0.030,0.220,0.000,0.010,0.060,0.030,0.040
SMP,Absolute error (α),0.020,0.010,0.000,0.000,0.000,0.000,0.100,0.010
SMP,Absolute error (ρC),0.020,0.010,0.000,0.000,0.000,0.000,0.080,0.010
SMP,Absolute error (ρA),0.020,0.010,0.000,0.000,0.000,0.000,0.090,0.010
SMP,Absolute error (AVE),0.160,0.050,0.030,0.020,0.010,0.010,0.410,0.060
