Variable,Metric,CTGAN,GReaT,PredLLM,REaLTabFormer,TabDiff,TabSyn,Tabula,TapTap
AGE,Δ Mean (Synthetic − Real),0.11,-0.02,-0.03,0.01,0.00,0.00,-0.03,-0.03
AGE,Δ SD (Synthetic − Real),0.00,0.00,-0.01,-0.05,0.04,-0.01,-0.00,-0.01
ESCS,Δ Mean (Synthetic − Real),-0.02,0.14,0.03,-0.11,0.02,0.09,0.16,0.01
ESCS,Δ SD (Synthetic − Real),0.11,-0.15,-0.08,-0.01,0.05,-0.10,-0.18,-0.06
MCLSIZE,Δ Mean (Synthetic − Real),-0.30,-0.01,1.00,0.10,-0.09,-0.16,0.25,0.50
MCLSIZE,Δ SD (Synthetic − Real),-0.19,0.02,-0.06,0.16,0.19,0.02,0.05,-0.02
PV10MATH,Δ Mean (Synthetic − Real),-9.39,20.05,1.63,6.01,-6.24,4.78,19.52,2.42
PV10MATH,Δ SD (Synthetic − Real),11.30,-31.53,-5.92,-11.97,35.92,-8.67,-33.46,-1.91
PV1MATH,Δ Mean (Synthetic − Real),-7.17,20.44,3.06,-3.78,2.94,-0.74,17.90,2.35
PV1MATH,Δ SD (Synthetic − Real),24.90,-31.32,-4.77,-4.61,33.40,-5.28,-34.70,-2.43
PV2MATH,Δ Mean (Synthetic − Real),18.01,21.52,2.57,-5.23,-4.35,2.74,20.61,2.76
PV2MATH,Δ SD (Synthetic − Real),14.33,-33.47,-4.49,-2.46,36.43,-7.50,-35.15,-1.10
PV3MATH,Δ Mean (Synthetic − Real),6.35,19.63,2.54,7.41,-1.64,6.13,19.91,2.85
PV3MATH,Δ SD (Synthetic − Real),14.39,-31.89,-4.65,-8.26,28.76,-8.69,-32.41,-1.79
PV4MATH,Δ Mean (Synthetic − Real),2.19,20.92,3.32,6.88,-7.87,2.99,20.56,1.81
PV4MATH,Δ SD (Synthetic − Real),23.00,-33.73,-4.83,-1.28,40.91,-9.58,-36.29,-2.06
PV5MATH,Δ Mean (Synthetic − Real),0.51,21.97,3.20,-5.49,0.42,-0.00,20.60,2.60
PV5MATH,Δ SD (Synthetic − Real),24.17,-30.65,-5.84,-14.77,0.89,-8.24,-33.98,-1.58
PV6MATH,Δ Mean (Synthetic − Real),13.37,19.68,1.01,4.48,-6.13,3.20,19.76,2.29
PV6MATH,Δ SD (Synthetic − Real),16.75,-32.88,-6.80,-2.47,36.44,-9.10,-33.99,-2.01
PV7MATH,Δ Mean (Synthetic − Real),14.59,21.43,3.46,5.58,-2.07,4.66,18.70,2.78
PV7MATH,Δ SD (Synthetic − Real),10.90,-30.71,-4.32,-4.07,38.40,-5.65,-32.88,-1.17
PV8MATH,Δ Mean (Synthetic − Real),6.46,22.16,1.86,-3.55,-4.30,3.89,20.36,3.47
PV8MATH,Δ SD (Synthetic − Real),12.84,-31.88,-4.53,-5.74,30.43,-6.75,-33.74,-0.97
PV9MATH,Δ Mean (Synthetic − Real),5.74,19.58,2.59,-0.10,-4.15,2.91,20.12,2.20
PV9MATH,Δ SD (Synthetic − Real),15.54,-32.58,-5.82,-13.35,37.70,-8.37,-33.04,-1.45
SCHSIZE,Δ Mean (Synthetic − Real),128.94,9.33,30.58,67.95,1.99,-30.30,-69.25,-61.08
SCHSIZE,Δ SD (Synthetic − Real),75.98,-31.05,-119.43,47.71,-21.18,-45.42,-25.45,-129.88
