Path,REAL β,CTGAN,GReaT,Tabula,TapTap,PredLLM,TabSyn,TabDiff,REaLTabFormer
SPI  ->  SMS,-0.053 ns,-0.038 ± 0.070 ns,-0.086 ± 0.090 ns,-0.012 ± 0.090 ns,-0.015 ± 0.070 ns,-0.257 ± 0.080 ns,-0.135 ± 0.040 *,-0.088 ± 0.040 ns,-0.291 ± 0.050 **
SPI  ->  SMP,-0.207 **,-0.374 ± 0.050 **,-0.139 ± 0.070 *,-0.119 ± 0.080 ns,-0.116 ± 0.040 **,0.391 ± 0.100 **,-0.205 ± 0.030 **,-0.254 ± 0.030 **,-0.433 ± 0.070 **
gender  ->  SMS,0.121 **,0.058 ± 0.040 ns,0.067 ± 0.040 ns,0.075 ± 0.040 ns,0.092 ± 0.030 *,0.014 ± 0.040 *,0.108 ± 0.040 *,0.137 ± 0.040 **,0.115 ± 0.040 **
gender  ->  SMP,-0.042 ns,-0.058 ± 0.030 ns,0.042 ± 0.030 ns,0.003 ± 0.030 ns,-0.027 ± 0.030 ns,0.165 ± 0.030 ns,-0.023 ± 0.030 ns,-0.025 ± 0.030 ns,0.012 ± 0.030 ns
grade  ->  SMS,0.087 *,0.101 ± 0.040 ns,0.034 ± 0.040 ns,0.032 ± 0.040 ns,0.071 ± 0.040 ns,0.029 ± 0.040 ns,0.039 ± 0.040 ns,0.097 ± 0.040 *,0.058 ± 0.040 ns
grade  ->  SMP,0.122 **,0.045 ± 0.030 ns,0.136 ± 0.040 **,0.091 ± 0.040 *,0.119 ± 0.030 **,0.193 ± 0.040 *,0.125 ± 0.040 **,0.145 ± 0.030 **,0.106 ± 0.040 *
motherEdu  ->  SMS,0.032 ns,0.014 ± 0.040 ns,0.029 ± 0.050 ns,0.053 ± 0.040 ns,-0.036 ± 0.050 ns,-0.028 ± 0.050 ns,0.044 ± 0.050 ns,0.029 ± 0.040 ns,0.148 ± 0.060 *
motherEdu  ->  SMP,-0.145 **,0.007 ± 0.040 ns,-0.119 ± 0.050 ns,0.083 ± 0.040 *,-0.095 ± 0.050 ns,0.075 ± 0.050 ns,-0.077 ± 0.040 ns,-0.014 ± 0.040 ns,-0.058 ± 0.050 ns
ESCS  ->  SMS,0.049 ns,-0.072 ± 0.040 ns,0.017 ± 0.050 ns,0.033 ± 0.040 ns,0.241 ± 0.050 **,0.073 ± 0.050 ns,0.073 ± 0.050 ns,0.045 ± 0.040 ns,-0.219 ± 0.050 **
ESCS  ->  SMP,0.380 **,0.241 ± 0.030 **,0.294 ± 0.040 **,0.219 ± 0.040 **,0.434 ± 0.040 **,0.350 ± 0.050 **,0.341 ± 0.040 **,0.262 ± 0.040 **,0.127 ± 0.050 *
age  ->  SMS,-0.027 ns,0.092 ± 0.040 ns,0.026 ± 0.040 ns,0.012 ± 0.040 ns,0.013 ± 0.040 ns,0.010 ± 0.040 ns,-0.016 ± 0.040 ns,-0.066 ± 0.040 ns,0.090 ± 0.040 *
age  ->  SMP,0.027 ns,0.054 ± 0.030 ns,0.071 ± 0.030 *,0.016 ± 0.030 ns,0.040 ± 0.030 ns,0.016 ± 0.030 ns,0.023 ± 0.030 ns,0.019 ± 0.030 ns,-0.026 ± 0.030 ns
immig  ->  SMS,0.091 *,0.075 ± 0.040 ns,0.065 ± 0.050 ns,0.048 ± 0.040 ns,0.036 ± 0.040 ns,0.156 ± 0.040 ns,0.147 ± 0.050 *,0.146 ± 0.050 **,0.236 ± 0.040 **
immig  ->  SMP,0.035 ns,0.086 ± 0.030 **,-0.056 ± 0.040 ns,-0.060 ± 0.040 ns,0.032 ± 0.030 ns,-0.227 ± 0.040 ns,0.031 ± 0.040 ns,0.041 ± 0.040 ns,0.061 ± 0.040 ns
classSize  ->  SMS,0.014 ns,0.092 ± 0.040 *,-0.017 ± 0.040 ns,0.006 ± 0.040 ns,0.027 ± 0.040 ns,-0.072 ± 0.040 ns,0.000 ± 0.040 ns,0.043 ± 0.040 ns,-0.005 ± 0.040 ns
classSize  ->  SMP,0.092 **,0.048 ± 0.030 *,0.073 ± 0.030 ns,0.079 ± 0.040 *,0.080 ± 0.030 *,0.397 ± 0.040 ns,0.100 ± 0.030 **,0.091 ± 0.030 ns,-0.070 ± 0.040 ns
schoolSize  ->  SMS,-0.112 **,-0.006 ± 0.040 ns,-0.122 ± 0.050 ns,-0.025 ± 0.040 ns,-0.008 ± 0.040 ns,-0.023 ± 0.040 ns,-0.164 ± 0.050 **,-0.138 ± 0.050 **,-0.222 ± 0.050 *
schoolSize  ->  SMP,0.059 ns,0.011 ± 0.030 ns,0.105 ± 0.040 *,0.072 ± 0.040 ns,-0.005 ± 0.040 ns,-0.060 ± 0.040 ns,0.062 ± 0.040 ns,0.083 ± 0.040 ns,-0.098 ± 0.050 ns
SMS  ->  SMP,0.316 **,0.438 ± 0.030 **,0.272 ± 0.030 **,0.301 ± 0.030 **,0.319 ± 0.030 **,0.271 ± 0.030 *,0.284 ± 0.030 **,0.312 ± 0.030 **,0.337 ± 0.030 **
