Path,REAL β,CTGAN,GReaT,Tabula,TapTap,PredLLM,TabSyn,TabDiff,REaLTabFormer
SPI  ->  SMS,-0.050,"[-0.11, 0.03] ✓","[-0.18, 0.00] ✓","[-0.10, 0.08] ✓","[-0.09, 0.05] ✓","[-0.17, -0.03] ✓","[-0.17, -0.09] ✗","[-0.13, -0.05] ✓","[-0.34, -0.24] ✗"
SPI  ->  SMP,-0.210,"[-0.42, -0.32] ✗","[-0.21, -0.07] ✗","[-0.20, -0.04] ✗","[-0.16, -0.08] ✗","[-0.28, -0.18] ✓","[-0.24, -0.18] ✓","[-0.28, -0.22] ✗","[-0.50, -0.36] ✗"
gender  ->  SMS,0.120,"[0.02, 0.10] ✗","[0.03, 0.11] ✗","[0.04, 0.12] ✗","[0.06, 0.12] ✓","[0.03, 0.11] ✗","[0.07, 0.15] ✓","[0.10, 0.18] ✓","[0.07, 0.15] ✓"
gender  ->  SMP,-0.040,"[-0.09, -0.03] ✓","[0.01, 0.07] ✗","[-0.03, 0.03] ✗","[-0.06, 0.00] ✓","[-0.08, -0.02] ✓","[-0.05, 0.01] ✓","[-0.06, 0.00] ✓","[-0.02, 0.04] ✗"
grade  ->  SMS,0.090,"[0.06, 0.14] ✓","[-0.01, 0.07] ✗","[-0.01, 0.07] ✗","[0.03, 0.11] ✓","[0.02, 0.10] ✓","[-0.00, 0.08] ✗","[0.06, 0.14] ✓","[0.02, 0.10] ✓"
grade  ->  SMP,0.120,"[0.02, 0.08] ✗","[0.10, 0.18] ✓","[0.05, 0.13] ✓","[0.09, 0.15] ✓","[0.04, 0.10] ✗","[0.09, 0.17] ✓","[0.11, 0.17] ✓","[0.07, 0.15] ✓"
motherEdu  ->  SMS,0.030,"[-0.03, 0.05] ✓","[-0.02, 0.08] ✓","[0.01, 0.09] ✓","[-0.09, 0.01] ✗","[-0.01, 0.09] ✓","[-0.01, 0.09] ✓","[-0.01, 0.07] ✓","[0.09, 0.21] ✗"
motherEdu  ->  SMP,-0.140,"[-0.03, 0.05] ✗","[-0.17, -0.07] ✓","[0.04, 0.12] ✗","[-0.15, -0.05] ✓","[-0.10, 0.00] ✗","[-0.12, -0.04] ✗","[-0.05, 0.03] ✗","[-0.11, -0.01] ✗"
ESCS  ->  SMS,0.050,"[-0.11, -0.03] ✗","[-0.03, 0.07] ✓","[-0.01, 0.07] ✓","[0.19, 0.29] ✗","[-0.02, 0.08] ✓","[0.02, 0.12] ✓","[0.00, 0.08] ✓","[-0.27, -0.17] ✗"
ESCS  ->  SMP,0.380,"[0.21, 0.27] ✗","[0.25, 0.33] ✗","[0.18, 0.26] ✗","[0.39, 0.47] ✗","[0.23, 0.33] ✗","[0.30, 0.38] ✓","[0.22, 0.30] ✗","[0.08, 0.18] ✗"
age  ->  SMS,-0.030,"[0.05, 0.13] ✗","[-0.01, 0.07] ✗","[-0.03, 0.05] ✗","[-0.03, 0.05] ✗","[-0.04, 0.04] ✓","[-0.06, 0.02] ✓","[-0.11, -0.03] ✓","[0.05, 0.13] ✗"
age  ->  SMP,0.030,"[0.02, 0.08] ✓","[0.04, 0.10] ✗","[-0.01, 0.05] ✓","[0.01, 0.07] ✓","[-0.05, 0.01] ✗","[-0.01, 0.05] ✓","[-0.01, 0.05] ✓","[-0.06, 0.00] ✗"
immig  ->  SMS,0.090,"[0.03, 0.11] ✓","[0.01, 0.11] ✓","[0.01, 0.09] ✗","[-0.00, 0.08] ✗","[0.03, 0.11] ✓","[0.10, 0.20] ✗","[0.10, 0.20] ✗","[0.20, 0.28] ✗"
immig  ->  SMP,0.030,"[0.06, 0.12] ✗","[-0.10, -0.02] ✗","[-0.10, -0.02] ✗","[0.00, 0.06] ✓","[0.07, 0.13] ✗","[-0.01, 0.07] ✓","[0.00, 0.08] ✓","[0.02, 0.10] ✓"
classSize  ->  SMS,0.010,"[0.05, 0.13] ✗","[-0.06, 0.02] ✓","[-0.03, 0.05] ✓","[-0.01, 0.07] ✓","[0.01, 0.09] ✗","[-0.04, 0.04] ✓","[0.00, 0.08] ✓","[-0.04, 0.04] ✓"
classSize  ->  SMP,0.090,"[0.02, 0.08] ✗","[0.04, 0.10] ✓","[0.04, 0.12] ✓","[0.05, 0.11] ✓","[0.03, 0.09] ✗","[0.07, 0.13] ✓","[0.06, 0.12] ✓","[-0.11, -0.03] ✗"
schoolSize  ->  SMS,-0.110,"[-0.05, 0.03] ✗","[-0.17, -0.07] ✓","[-0.07, 0.01] ✗","[-0.05, 0.03] ✗","[-0.00, 0.08] ✗","[-0.21, -0.11] ✗","[-0.19, -0.09] ✓","[-0.27, -0.17] ✗"
schoolSize  ->  SMP,0.060,"[-0.02, 0.04] ✗","[0.06, 0.14] ✗","[0.03, 0.11] ✓","[-0.04, 0.04] ✗","[-0.03, 0.05] ✗","[0.02, 0.10] ✓","[0.04, 0.12] ✓","[-0.15, -0.05] ✗"
SMS  ->  SMP,0.320,"[0.41, 0.47] ✗","[0.24, 0.30] ✗","[0.27, 0.33] ✓","[0.29, 0.35] ✓","[0.30, 0.36] ✓","[0.25, 0.31] ✗","[0.28, 0.34] ✓","[0.31, 0.37] ✓"
