CTGAN,GReaT,PredLLM,REaLTabFormer,TabDiff,TabSyn,Tabula,TapTap
0.030,0.050,0.050,0.040,0.030,0.050,0.050,0.080
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.030,0.020,0.010,0.070,0.010,0.020,0.020,0.030
0.010,0.020,0.040,0.020,0.010,0.020,0.030,0.020
0.070,0.020,0.030,0.030,0.040,0.000,0.020,0.010
0.030,0.030,0.060,0.040,0.010,0.020,0.020,0.030
0.040,0.050,0.030,0.060,0.020,0.020,0.050,0.020
0.010,0.040,0.040,0.070,0.020,0.030,0.050,0.010
0.040,0.070,0.040,0.050,0.020,0.030,0.070,0.010
0.030,0.040,0.040,0.100,0.020,0.030,0.010,0.060
0.020,0.060,0.100,0.090,0.010,0.040,0.040,0.070
