Variable,Metric,CTGAN,GReaT,PredLLM,REaLTabFormer,TabDiff,TabSyn,Tabula,TapTap
AGE,Δ Mean (Synthetic − Real),0.11,-0.02,-0.03,0.02,0.00,0.00,-0.03,-0.03
AGE,Δ SD (Synthetic − Real),0.00,0.00,-0.01,0.01,0.04,-0.01,-0.00,-0.01
ESCS,Δ Mean (Synthetic − Real),-0.02,0.14,0.01,-0.12,0.02,0.09,0.16,0.01
ESCS,Δ SD (Synthetic − Real),0.11,-0.15,-0.08,0.07,0.05,-0.10,-0.18,-0.06
MCLSIZE,Δ Mean (Synthetic − Real),-0.30,-0.01,0.83,-2.37,-0.09,-0.16,0.25,0.50
MCLSIZE,Δ SD (Synthetic − Real),-0.19,0.02,-0.06,-0.13,0.19,0.02,0.05,-0.02
PV10MATH,Δ Mean (Synthetic − Real),-9.39,20.05,3.92,-24.27,-6.24,4.78,19.52,2.42
PV10MATH,Δ SD (Synthetic − Real),11.30,-31.53,-5.42,5.43,35.92,-8.67,-33.46,-1.91
PV1MATH,Δ Mean (Synthetic − Real),-7.17,20.44,3.37,-28.21,2.94,-0.74,17.90,2.35
PV1MATH,Δ SD (Synthetic − Real),24.90,-31.32,-4.62,5.60,33.40,-5.28,-34.70,-2.43
PV2MATH,Δ Mean (Synthetic − Real),18.01,21.52,2.98,-29.78,-4.35,2.74,20.61,2.76
PV2MATH,Δ SD (Synthetic − Real),14.33,-33.47,-5.07,7.34,36.43,-7.50,-35.15,-1.10
PV3MATH,Δ Mean (Synthetic − Real),6.35,19.63,3.52,-24.46,-1.64,6.13,19.91,2.85
PV3MATH,Δ SD (Synthetic − Real),14.39,-31.89,-4.15,14.40,28.76,-8.69,-32.41,-1.79
PV4MATH,Δ Mean (Synthetic − Real),2.19,20.92,4.58,-23.22,-7.87,2.99,20.56,1.81
PV4MATH,Δ SD (Synthetic − Real),23.00,-33.73,-3.65,16.67,40.91,-9.58,-36.29,-2.06
PV5MATH,Δ Mean (Synthetic − Real),0.51,21.97,3.63,-27.53,0.42,-0.00,20.60,2.60
PV5MATH,Δ SD (Synthetic − Real),24.17,-30.65,-5.09,1.28,0.89,-8.24,-33.98,-1.58
PV6MATH,Δ Mean (Synthetic − Real),13.37,19.68,3.35,-27.96,-6.13,3.20,19.76,2.29
PV6MATH,Δ SD (Synthetic − Real),16.75,-32.88,-6.09,14.36,36.44,-9.10,-33.99,-2.01
PV7MATH,Δ Mean (Synthetic − Real),14.59,21.43,4.10,-26.14,-2.07,4.66,18.70,2.78
PV7MATH,Δ SD (Synthetic − Real),10.90,-30.71,-4.12,11.92,38.40,-5.65,-32.88,-1.17
PV8MATH,Δ Mean (Synthetic − Real),6.46,22.16,3.86,-34.67,-4.30,3.89,20.36,3.47
PV8MATH,Δ SD (Synthetic − Real),12.84,-31.88,-4.82,13.96,30.43,-6.75,-33.74,-0.97
PV9MATH,Δ Mean (Synthetic − Real),5.74,19.58,3.39,-33.93,-4.15,2.91,20.12,2.20
PV9MATH,Δ SD (Synthetic − Real),15.54,-32.58,-5.45,8.55,37.70,-8.37,-33.04,-1.45
SCHSIZE,Δ Mean (Synthetic − Real),128.94,9.33,32.07,39.92,1.99,-30.30,-69.25,-61.08
SCHSIZE,Δ SD (Synthetic − Real),75.98,-31.05,-114.66,90.94,-21.18,-45.42,-25.45,-129.88
