Indicator,CTGAN,GReaT,Tabula,TapTap,PredLLM,TabSyn,TabDiff,REaLTabFormer
PV10MATH,0.030,0.010,0.010,0.010,0.010,0.000,0.060,0.010
PV1MATH,0.050,0.010,0.010,0.000,0.010,0.000,0.030,0.020
PV2MATH,0.060,0.010,0.020,0.000,0.010,0.010,0.030,0.010
PV3MATH,0.040,0.020,0.000,0.000,0.010,0.000,0.050,0.000
PV4MATH,0.030,0.020,0.020,0.010,0.000,0.010,0.070,0.020
PV5MATH,0.040,0.010,0.010,0.010,0.010,0.000,0.000,0.020
PV6MATH,0.040,0.010,0.020,0.000,0.010,0.010,0.070,0.020
PV7MATH,0.050,0.010,0.000,0.000,0.000,0.010,0.030,0.020
PV8MATH,0.030,0.010,0.010,0.010,0.010,0.000,0.060,0.010
PV9MATH,0.020,0.010,0.010,0.000,0.010,0.000,0.050,0.010
ST268Q01JA,0.080,0.030,0.040,0.040,0.070,0.060,0.040,0.080
ST268Q04JA,0.050,0.040,0.060,0.050,0.060,0.020,0.010,0.060
ST268Q07JA,0.060,0.080,0.190,0.110,0.180,0.070,0.070,0.160
SC064Q01TA,0.310,0.320,0.840,0.310,0.460,0.240,0.420,0.480
SC064Q02TA,0.150,0.260,0.590,0.270,0.350,0.120,0.130,0.070
SC064Q03TA,0.080,0.240,0.380,0.310,0.330,0.160,0.250,0.190
SC064Q04NA,0.310,0.410,0.690,0.330,0.110,0.210,0.190,0.300
SC064Q05WA,0.190,0.400,0.880,0.280,0.470,0.220,0.220,0.480
SC064Q06WA,0.070,0.100,0.180,0.210,0.420,0.100,0.130,0.400
SC064Q07WA,0.110,0.260,0.330,0.190,0.620,0.170,0.040,0.380
