Variable,Technique,Type,Category_Adherence,Category_Proportions
IMMIG,REAL,categorical,,"1.0: 71.1%, 2.0: 10.2%, 3.0: 18.7%"
IMMIG,CTGAN,categorical,1.000,"1: 64.1%, 2: 13.3%, 3: 22.7%"
IMMIG,GReaT,categorical,1.000,"1: 73.8%, 2: 8.1%, 3: 18.1%"
IMMIG,PredLLM,categorical,1.000,"1: 80.0%, 2: 6.1%, 3: 14.0%"
IMMIG,REaLTabFormer,categorical,1.000,"1: 67.8%, 2: 12.8%, 3: 19.4%"
IMMIG,TabDiff,categorical,1.000,"1: 70.7%, 2: 9.9%, 3: 19.4%"
IMMIG,TabSyn,categorical,1.000,"1: 81.9%, 2: 6.7%, 3: 11.4%"
IMMIG,Tabula,categorical,1.000,"1: 76.1%, 2: 6.6%, 3: 17.3%"
IMMIG,TapTap,categorical,1.000,"1: 79.2%, 2: 6.8%, 3: 14.0%"
MISCED,REAL,ordinal,,"1.0: 1.2%, 2.0: 1.6%, 3.0: 3.2%, 4.0: 13.0%, 6.0: 12.9%, 7.0: 14.6%, 8.0: 24.6%, 9.0: 21.1%, 10.0: 7.8%"
MISCED,CTGAN,ordinal,1.000,"1: 1.9%, 2: 2.3%, 3: 4.3%, 4: 12.9%, 6: 11.3%, 7: 12.4%, 8: 20.9%, 9: 24.9%, 10: 9.1%"
MISCED,GReaT,ordinal,1.000,"1: 0.1%, 2: 0.7%, 3: 1.5%, 4: 10.1%, 5: 0.0%, 6: 9.8%, 7: 13.0%, 8: 32.6%, 9: 26.5%, 10: 5.7%"
MISCED,PredLLM,ordinal,1.000,"1: 0.7%, 2: 1.0%, 3: 2.7%, 4: 14.4%, 5: 0.0%, 6: 13.3%, 7: 15.2%, 8: 29.4%, 9: 18.4%, 10: 5.0%"
MISCED,REaLTabFormer,ordinal,1.000,"1: 1.0%, 2: 1.4%, 3: 3.8%, 4: 17.7%, 6: 7.6%, 7: 13.1%, 8: 29.8%, 9: 12.0%, 10: 13.6%"
MISCED,TabDiff,ordinal,1.000,"1: 1.2%, 2: 1.4%, 3: 2.8%, 4: 14.3%, 6: 12.1%, 7: 13.9%, 8: 24.0%, 9: 22.6%, 10: 7.7%"
MISCED,TabSyn,ordinal,1.000,"1: 0.3%, 2: 2.3%, 3: 1.9%, 4: 9.3%, 6: 15.3%, 7: 13.6%, 8: 23.3%, 9: 27.2%, 10: 6.8%"
MISCED,Tabula,ordinal,1.000,"1: 0.5%, 2: 0.7%, 3: 1.5%, 4: 11.4%, 6: 10.9%, 7: 13.0%, 8: 31.2%, 9: 25.1%, 10: 5.8%"
MISCED,TapTap,ordinal,1.000,"1: 0.5%, 2: 0.8%, 3: 2.1%, 4: 15.6%, 6: 13.7%, 7: 15.1%, 8: 27.6%, 9: 19.0%, 10: 5.4%"
SC064Q01TA,REAL,ordinal,,"4.0: 3.2%, 5.0: 8.4%, 6.0: 6.7%, 10.0: 12.9%, 15.0: 10.7%, 20.0: 27.8%, 25.0: 4.0%, 30.0: 8.4%, 34.0: 4.6%, 40.0: 4.7%, 70.0: 8.8%"
