Path,REAL β,CTGAN,GReaT,Tabula,TapTap,PredLLM,TabSyn,TabDiff,REaLTabFormer
SPI  ->  SMS,-0.053 ns,-0.038 ± 0.070 ns,-0.086 ± 0.090 ns,-0.012 ± 0.090 ns,-0.015 ± 0.070 ns,-0.098 ± 0.070 ns,-0.135 ± 0.040 *,-0.088 ± 0.040 ns,-0.276 ± 0.060 **
SPI  ->  SMP,-0.207 **,-0.374 ± 0.050 **,-0.139 ± 0.070 *,-0.119 ± 0.080 ns,-0.116 ± 0.040 **,-0.232 ± 0.050 **,-0.205 ± 0.030 **,-0.254 ± 0.030 **,-0.425 ± 0.100 **
gender  ->  SMS,0.121 **,0.058 ± 0.040 ns,0.067 ± 0.040 ns,0.075 ± 0.040 ns,0.092 ± 0.030 *,0.071 ± 0.040 ns,0.108 ± 0.040 *,0.137 ± 0.040 **,0.191 ± 0.050 **
gender  ->  SMP,-0.042 ns,-0.058 ± 0.030 ns,0.042 ± 0.030 ns,0.003 ± 0.030 ns,-0.027 ± 0.030 ns,-0.054 ± 0.030 ns,-0.023 ± 0.030 ns,-0.025 ± 0.030 ns,-0.132 ± 0.030 **
grade  ->  SMS,0.087 *,0.101 ± 0.040 ns,0.034 ± 0.040 ns,0.032 ± 0.040 ns,0.071 ± 0.040 ns,0.059 ± 0.040 ns,0.039 ± 0.040 ns,0.097 ± 0.040 *,0.024 ± 0.040 ns
grade  ->  SMP,0.122 **,0.045 ± 0.030 ns,0.136 ± 0.040 **,0.091 ± 0.040 *,0.119 ± 0.030 **,0.074 ± 0.030 ns,0.125 ± 0.040 **,0.145 ± 0.030 **,0.094 ± 0.030 *
motherEdu  ->  SMS,0.032 ns,0.014 ± 0.040 ns,0.029 ± 0.050 ns,0.053 ± 0.040 ns,-0.036 ± 0.050 ns,0.041 ± 0.050 ns,0.044 ± 0.050 ns,0.029 ± 0.040 ns,0.065 ± 0.060 ns
motherEdu  ->  SMP,-0.145 **,0.007 ± 0.040 ns,-0.119 ± 0.050 ns,0.083 ± 0.040 *,-0.095 ± 0.050 ns,-0.049 ± 0.050 ns,-0.077 ± 0.040 ns,-0.014 ± 0.040 ns,0.008 ± 0.050 ns
ESCS  ->  SMS,0.049 ns,-0.072 ± 0.040 ns,0.017 ± 0.050 ns,0.033 ± 0.040 ns,0.241 ± 0.050 **,0.032 ± 0.050 ns,0.073 ± 0.050 ns,0.045 ± 0.040 ns,-0.061 ± 0.070 ns
ESCS  ->  SMP,0.380 **,0.241 ± 0.030 **,0.294 ± 0.040 **,0.219 ± 0.040 **,0.434 ± 0.040 **,0.284 ± 0.050 **,0.341 ± 0.040 **,0.262 ± 0.040 **,0.242 ± 0.050 **
age  ->  SMS,-0.027 ns,0.092 ± 0.040 ns,0.026 ± 0.040 ns,0.012 ± 0.040 ns,0.013 ± 0.040 ns,0.003 ± 0.040 ns,-0.016 ± 0.040 ns,-0.066 ± 0.040 ns,-0.059 ± 0.050 ns
age  ->  SMP,0.027 ns,0.054 ± 0.030 ns,0.071 ± 0.030 *,0.016 ± 0.030 ns,0.040 ± 0.030 ns,-0.018 ± 0.030 ns,0.023 ± 0.030 ns,0.019 ± 0.030 ns,-0.018 ± 0.030 ns
immig  ->  SMS,0.091 *,0.075 ± 0.040 ns,0.065 ± 0.050 ns,0.048 ± 0.040 ns,0.036 ± 0.040 ns,0.071 ± 0.040 ns,0.147 ± 0.050 *,0.146 ± 0.050 **,0.079 ± 0.040 ns
immig  ->  SMP,0.035 ns,0.086 ± 0.030 **,-0.056 ± 0.040 ns,-0.060 ± 0.040 ns,0.032 ± 0.030 ns,0.096 ± 0.030 ns,0.031 ± 0.040 ns,0.041 ± 0.040 ns,0.102 ± 0.030 **
classSize  ->  SMS,0.014 ns,0.092 ± 0.040 *,-0.017 ± 0.040 ns,0.006 ± 0.040 ns,0.027 ± 0.040 ns,0.051 ± 0.040 ns,0.000 ± 0.040 ns,0.043 ± 0.040 ns,0.121 ± 0.040 ns
classSize  ->  SMP,0.092 **,0.048 ± 0.030 *,0.073 ± 0.030 ns,0.079 ± 0.040 *,0.080 ± 0.030 *,0.057 ± 0.030 ns,0.100 ± 0.030 **,0.091 ± 0.030 ns,0.151 ± 0.040 **
schoolSize  ->  SMS,-0.112 **,-0.006 ± 0.040 ns,-0.122 ± 0.050 ns,-0.025 ± 0.040 ns,-0.008 ± 0.040 ns,0.036 ± 0.040 ns,-0.164 ± 0.050 **,-0.138 ± 0.050 **,-0.126 ± 0.050 *
schoolSize  ->  SMP,0.059 ns,0.011 ± 0.030 ns,0.105 ± 0.040 *,0.072 ± 0.040 ns,-0.005 ± 0.040 ns,0.011 ± 0.040 ns,0.062 ± 0.040 ns,0.083 ± 0.040 ns,-0.141 ± 0.040 *
SMS  ->  SMP,0.316 **,0.438 ± 0.030 **,0.272 ± 0.030 **,0.301 ± 0.030 **,0.319 ± 0.030 **,0.330 ± 0.030 **,0.284 ± 0.030 **,0.312 ± 0.030 **,0.176 ± 0.030 **
