Indicator,CTGAN,GReaT,Tabula,TapTap,PredLLM,TabSyn,TabDiff,REaLTabFormer
PV10MATH,0.088,0.021,0.011,0.010,0.008,0.007,0.284,0.010
PV1MATH,0.081,0.021,0.006,0.012,0.007,0.003,0.209,0.008
PV2MATH,0.090,0.027,0.011,0.011,0.006,0.003,0.287,0.018
PV3MATH,0.078,0.026,0.007,0.012,0.005,0.001,0.255,0.018
PV4MATH,0.080,0.034,0.013,0.012,0.006,0.008,0.273,0.034
PV5MATH,0.075,0.028,0.011,0.011,0.007,0.006,0.025,0.022
PV6MATH,0.099,0.029,0.011,0.010,0.007,0.003,0.306,0.012
PV7MATH,0.091,0.024,0.004,0.013,0.006,0.007,0.298,0.007
PV8MATH,0.085,0.027,0.010,0.012,0.009,0.004,0.272,0.008
PV9MATH,0.078,0.022,0.006,0.012,0.004,0.002,0.267,0.017
ST268Q01JA,0.086,0.029,0.010,0.014,0.013,0.054,0.016,0.020
ST268Q04JA,0.070,0.013,0.006,0.017,0.015,0.002,0.005,0.017
ST268Q07JA,0.153,0.053,0.080,0.015,0.035,0.073,0.041,0.196
SC064Q01TA,0.041,0.012,0.079,0.147,0.054,0.068,0.088,0.187
SC064Q02TA,0.092,0.088,0.122,0.204,0.258,0.019,0.073,0.093
SC064Q03TA,0.100,0.133,0.168,0.061,0.097,0.029,0.041,0.144
SC064Q04NA,0.019,0.030,0.046,0.154,0.190,0.057,0.084,0.439
SC064Q05WA,0.015,0.064,0.021,0.171,0.169,0.073,0.129,0.290
SC064Q06WA,0.060,0.071,0.013,0.000,0.206,0.013,0.011,0.144
SC064Q07WA,0.122,0.117,0.040,0.048,0.373,0.006,0.024,0.312
